Name;FAT16, dosfs; FAT32, vfat;NTFS;Ext2;Ext3;XFS;ReiserFS;UFS;UFS2;HFS;HFS+;MINIXfs;BFS;ISO 9660;UDF;NFS;SMBFS;RAM disk, tmpfs;ZFS;Other special file systems;
Linux;Yes;Yes[Note 1][Note 2];Yes;Yes;Yes;Yes;Yes[Note 3];Yes[32];Yes;Yes[Note 4];Yes;Yes[Note 3];Yes;Yes;Yes;Yes;Yes;Yes;9P,[Note 5] FUSE,[Note 5] sysfs,[Note 5] configfs,[Note 5] Reiser4,[Note 5][Note 6] JFS, Btrfs, UnionFS, Ext4;
FreeBSD;Yes;Yes[Note 3][Note 2];Yes;Yes[Note 3];Yes[Note 1];Yes[Note 3];Yes;Yes;No;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;FUSE, nullfs, UnionFS;
NetBSD;Yes;Yes[Note 3][Note 2];Yes;;No;No;Yes;Yes;;Yes[Note 3];No;No;Yes;Yes[Note 3];Yes;Yes;Yes;Yes;PUFFS, LFS, EFS;
OpenBSD;Yes;Yes[Note 3];Yes;;No;No;Yes;Yes;No;No;No;No;Yes;Yes;Yes;Yes;Yes;No;AFS;
DragonFly BSD;Yes;Yes[Note 3];Yes;No;No;No;Yes;No;No;No;No;No;Yes;Yes[Note 7];Yes;Yes;Yes;No;HAMMER, nullfs, PUFFS;
OpenSolaris, illumos;Yes;Yes [Note 2][Note 8];No;No;No;No;Yes;;No;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;SMB (native), QFS;
AuroraUX;Yes;Yes [Note 2][Note 8];Yes;Yes;No;No;Yes;;No;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;SMB (native), QFS;
Darwin, OpenDarwin;Yes;Yes[Note 3][Note 2];;;;;Yes;;Yes;Yes;;;Yes;Yes;Yes;Yes;;;;
MINIX;Yes;No;Yes;;;;;;;;Yes;No;;;;;;;;
FreeDOS;Yes;No;No;No;No;No;No;;;;No;No;Yes;;;;Yes;;;
Genode;Yes;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;Extensible VFS layer;
Haiku;Yes;Yes [Note 2];Yes [Note 9];Yes [Note 9];;;;;;;;Yes;Yes;Yes;Yes;No[Note 10];;;;
KolibriOS;Yes;Yes[Note 3];Yes[Note 3];Yes[Note 3];Yes[Note 3];;;;;;;;Yes;;;;Yes;;;
MenuetOS;Yes;;;;;;;;;;;;;;;;;;;
GNU;Yes;;Yes;Yes[Note 11];;;Yes[Note 12];;;;;;Yes;;Yes;;Yes;No;;
ReactOS;Yes;;Yes;No;No;No;No;;;;No;No;;;;;;;;
L4, Fiasco, Pistachio;Yes;No;;;;;;;;;;;;;;;;;;
Plan 9;Yes;;Yes;No;No;No;No;No;No;No;No;No;Yes;No;Yes;Yes;Yes;No;Fossil, Venti, most system services;
AROS;Yes;;;;;;;;;;;;;;;;Yes;;SFS, AFFS;
Syllable;Yes;Yes[Note 3];Yes[Note 3];Yes[Note 3];;;;;;;;Yes;Yes;;;;Yes;;AFS;
Inferno;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;Yes;;kfs, most system services;
FreeRTOS;;;;;;;;;;;;;;;;;;No;;
eCos;Yes;;Yes[Note 3];;;;;;;;;;;;;;Yes;;MMFS, ROMfs, JFFS2, YAFFS;
RTEMS;Yes;;;;;;;;;;;;;;Yes;;Yes;;TarFS, TFTP FS, IMFS, miniIMFS;
HelenOS;Yes;No;Yes;Yes;No;No;No;No;No;No;Yes;No;Yes;Yes;No;No;Yes;;locfs, exFAT;
E/OS;Yes;No;Yes;No;No;No;No;No;No;No;Yes;Yes[Note 13];Yes;No;Yes;Yes;Yes;;;
Name;FAT16, dosfs; FAT32, vfat;NTFS;Ext2;Ext3;XFS;ReiserFS;UFS;UFS2;HFS;HFS+;MINIXfs;BFS;ISO 9660;UDF;NFS;SMBFS;RAM disk, tmpfs;ZFS;Other special file systems;
