Meaning;Portuguese < French;Spanish;
lampshade, lamp;abajur, abat-jour < abat-jour;lámpara < Gr. ??????;
dam;barragem < barrage;dársena < Arabic ??? ??????? (d?r a?-?in??a);
boutique;boutique, butique < boutique;tienda < Lat tendere;
roadside, berm;berma < berme;arcén< Lat arger;
skid;derrapagem < dérapage;resbalo < Lat. re + exvarare;
clutch (car);embraiagem, embreagem < embrayage < Gaulish/Celtic 'braca';embrague < Lat. 'braca' < Gaulish/Celtic 'braca';
electric drill;berbequim < vilebrequin;taladradora eléctrica < Lat. + Greek taratrum + ???????? + ikos;
lipstick;batom, baton < bâton;pintalabios < Lat. pingere+labium;
crib;berço < berceau;cuna < Lat. cunam;
appearance-money (artists, performers);caché, cachet < cachet;emolumento< Lat. mol?re;
shop window;montra < montre;escaparate < Dutch schraprade;
grey-haired;grisalho < grison;canoso < Lat. canosus;
flower basket;corbelha < corbeille;cesta < Lat. cista;
beetroot, beet;beterraba < betterave;remolacha < Ita. ramolaccio, < Lat. armorac?um, < Gr. ?????????;
swing;balancé < balancé;columpio < Gr. ????????;
brioche;brioche < brioche;bollo de leche < Lat. bulla + lacte;
candy, sweet;bombom, bombons < bonbon(s);dulce < Lat. dulcis;
club, (police) baton;cassetete, casse-tête < casse-tête;porra (de policía) < Lat. porrum;
cap;boné < bonnet;gorra < (unknown);
coat;casaco < casaque < Ukrainian ?????;abrigo < Lat. apricus < aperire;
reciter (poetry);diseur < diseur;recitador < Lat. recit?tor;
basket, shopping-basket;cabaz < cabas < Old Provençal/Occitan cabas;cesta < Lat. cista;
delicatessen;charcuteria/charcutaria < charcuterie;embutidos < Lat. in + buttis;
gaffe;gafe < gaffe;metedura de pata < Lat. + Ar. mitt?re + ?? ba??;
gauze;gaze < gaze;gasa < Pers. kaz;
gouache;guache < gouache;aguada < Lat. aqua;
crane, hoist;guindaste < guindeau < guindas;grúa < Lat. gruae;
helmet;capacete < cabasset < Old Provençal/Occitan cabas;casco < Lat. quassare;
to tidy up (verb);arrumar < arrimer < arrumer;arreglar < Lat. regulare;
to roll (verb);rolar < rouler;rodar < Lat. rot?re;
