Name;Unicode Support;Single parent family;Same sex marriage;Witness to events;Name variants;Conflicting evidence;Source surety;Adoption & foster parent;non-standard calendar in date fields;
Agelong Tree;Yes;Yes;No;Yes;Yes;?;Yes;Yes;Yes;
Ahnenblatt;Yes;Yes;Yes;No;No;?;No;No;Yes;
Ancestral Quest;Yes;Yes;No;?;Yes;Yes;Yes;Yes;?;
Brother's Keeper;No;Yes;Yes;Yes;Yes;?;Yes;Yes;Yes;
Family Historian;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Family Tree Builder;Yes;Yes;Yes;?;Yes;?;Yes;Yes;Yes;
Family Tree Maker;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;No;
GEDitCOM II;Yes;?;Yes;?;?;?;?;?;?;
Genbox Family History;Yes;?;?;?;?;?;?;?;?;
GenealogyJ;Yes;?;Partial One partner's gender mislabelled;No;Yes;Yes;?;Yes;?;
GenEarth;Yes;Yes;No;No;No;?;?;Yes;Yes;
Genney;Yes;Yes;Yes;?;Yes;?;Yes;Yes;Yes;
GenoPro;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Gramps;Yes;Yes;Partial One partner's gender mislabelled[1];Yes;Yes;?;Yes;Yes;Yes;
Heredis;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Legacy Family Tree[b];No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;
LifeLines;Yes;?;No;?;?;?;?;?;?;
MacFamilyTree;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Personal Ancestral File;Yes;?;No;?;?;?;?;?;?;
Reunion;Yes;Yes;Yes;Yes;Yes;Yes;?;Yes;Yes;
RootsMagic;Yes;?;Yes;Yes (paid version);Yes;Yes;Yes;Yes;Yes;
The Master Genealogist;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
