Language;Major purpose;Based on;Markup type;Structural markup;Presentational markup[4];
AsciiDoc;Multi-purpose;;Tag;Yes;Yes;
Computable Document Format;Interactive technical documents, infographics, blogs[5];Wolfram Language;Tag;Yes;Yes;
Darwin Information Typing Architecture (DITA);Technical documents;XML;Tag;Yes;Yes[6];
DocBook;Technical documents;SGML / XML;Tag;Yes;Yes[7];
Encoded Archival Description (EAD);Finding aids;XML;Tag;Yes;No;
Extensible HyperText Markup Language (XHTML);Hypertext documents;XML;Tag;Yes;Yes[8];
HyperText Markup Language (HTML);Hypertext documents;SGML;Tag;Yes;Yes[9];
Lilypond;Music notation;;Control code;Yes;Yes;
Maker Interchange Format (MIF);Technical documents;;Tag;Yes;Yes;
Markdown;Formatted Technical documents, Hypertext documents, E-mail;Text E-mail conventions;Tag;Yes;Yes;
Math Markup Language (MathML);Mathematical documents;XML;Tag;Yes;Yes[10];
The Music Encoding Initiative (MEI);Music notation;XML;Tag;Yes;Yes;
Music Extensible Markup Language (MusicXML);Music notation;XML;Tag;Yes;Yes;
Office Open XML (OOXML);Multi-purpose;XML / ZIP;Tag;Yes;Yes;
OpenDocument Format (ODF);Multi-purpose;XML / ZIP;Tag;Yes;Yes;
Open Mathematical Document (OMDoc);Mathematical documents;XML;Tag;Yes[11];Yes[12];
Org-mode;Multi-purpose (notes, project management, publishing, literate programming);Text outliner;Tag;Yes;Yes;
reStructuredText;Technical and Multi-purpose documents[13];Structured Text and Setext;Tag;Yes;Yes[14];
Rich Text Format (RTF);Formatted documents;TeX;Pattern parsing;Yes;Yes;
Scalable Vector Graphics (SVG);2D Vector graphics;XML;Tag;Yes;Yes;
Script;Multi-purpose;RUNOFF;Control code;Yes;Yes;
TeX;Academic documents;;Control code;Yes;Yes;
Texinfo;Technical documents;TeX, Scribe;Control code;Yes;Yes;
Textile;Hypertext documents;AsciiDoc (based on some similarities and dates of release);Tag;Yes;Yes;
Text Encoding Initiative (TEI);Academic, linguistic, literary and technical documents;SGML / XML;Tag;Yes;No;
troff (typesetter runoff), groff (GNU runoff);Technical documents;RUNOFF;Control code;Yes;Yes;
Wireless Markup Language (WML);Hypertext documents;XML;Tag;Yes;Yes;
Language;Major purpose;Based on;Markup type;Structural markup;Presentational markup;
