Format;Languages;
std.string.join(array_of_strings, separator);D;
string:join(list_of_strings, separator);Erlang;
join(separator, list_of_strings);Perl 5, Perl 6, PHP;
implode(separator, array_of_strings);PHP;
separator.join(sequence_of_strings);Python, Swift 1.x;
array_of_strings.join(separator);Ruby, JavaScript, Perl 6;
(string-join array_of_strings separator);Scheme (SRFI 13);
(format nil "~{~a~^separator~}" array_of_strings);Common Lisp;
(clojure.string/join separator list_of_strings) (apply str (interpose separator list_of_strings));Clojure;
strings.Join(array_of_strings, separator);Go;
join(array_of_strings, separator);Seed7;
String.concat separator list_of_strings;OCaml;
String.concatWith separator list_of_strings;Standard ML;
Data.List.intercalate separator list_of_strings;Haskell (GHC 6.8+);
Join(array_of_strings, separator);VB;
String.Join(separator, array_of_strings);VB .NET, C#, F#;
String.join(separator, array_of_strings);Java 8+;
&{$OFS=$separator; "$array_of_strings"}, or array_of_strings -join separator;Windows PowerShell;
[array_of_strings componentsJoinedByString:separator];Objective-C (NSString * only);
table.concat(table_of_strings, separator);Lua;
{|String streamContents: [ :stream | collectionOfAnything asStringOn: stream delimiter: separator ] collectionOfAnything joinUsing: separator;Smalltalk (Squeak, Pharo);
array_of_strings.join(separator«, final_separator»);Cobra;
sequence_of_strings.joinWithSeparator(separator);Swift 2.x;
1??separator,¨list_of_strings;APL;
