Format;Languages;
string1 & string2;Ada, FreeBASIC, Seed7, BASIC, VB, VB .NET, COBOL (between literals only);
strcat(string1, string2);C, C++ (char * only)[8];
string1 . string2;Perl, PHP;
string1 + string2;ALGOL 68, C++ (STL), C#, Cobra, FreeBASIC, Go, Pascal, Object Pascal (Delphi), Java, JavaScript, Windows PowerShell, Python, Ruby, Rust, F#, Swift, Turing, VB, Ya;
string1 ~ string2;D, Perl 6;
(string-append string1 string2);Scheme, ISLISP;
(concatenate 'string string1 string2);Common Lisp;
(str string1 string2);Clojure;
string1 || string2;Rexx, SQL, PL/I;
string1 // string2;Fortran;
string1 ++ string2;Erlang, Haskell;
string1 ^ string2;OCaml, Standard ML, F#;
[string1 stringByAppendingString:string2];Objective-C (NSString * only);
string1 .. string2;Lua;
string1 , string2;Smalltalk, APL;
string1 string2;SNOBOL;
string1string2;Bash shell;
string1 <> string2;Mathematica;
concat string1 string2;Tcl;
