File system;Tail packing;Transparent compression;Block suballocation;Allocate-on-flush;Extents;Variable file block size[ci];Sparse files;Copy on write;Trim support;
DECtape;No;No;No;No;No;No;No;No;No;
BeeGFS;No;Yes;No;Yes;Yes;Yes;Yes;Yes;?;
Level-D;No;No;No;No;Yes;No;No;No;?;
APFS;?;No;?;Yes;Yes;?;Yes;Yes;Yes[58][59];
Version 6 Unix file system (V6FS);No;No;No;No;No;No;Yes;?;No;
Version 7 Unix file system (V7FS);No;No;No;No;No;No;Yes;?;No;
FAT12;No;Partial[cj];Partial (only inside of Stacker 3/4 and DriveSpace 3 compressed volumes[60]);No;Partial (only inside of compressed volumes)[61];No;Partial (only inside of compressed volumes)[62];No;Yes (Linux);
FAT16 / FAT16B / FAT16X;No;Partial[cj];Partial (only inside of Stacker 3/4 and DriveSpace 3 compressed volumes[60]);No;Partial (only inside of compressed volumes)[61];No;Partial (only inside of compressed volumes)[62];No;Yes (Linux);
FAT32 / FAT32X;No;No;No;No;No;No;No;No;Yes (Linux);
GFS;Partial[ck];No;No;No;No;No;Yes;?;Yes;
HPFS;No;No;No;No;Yes;No;No;?;No;
NTFS;No;Yes;Partial;No;Yes;No;Yes;?;Yes (NT 6.1 + newer);
HFS Plus;No;No;No;No;Yes;No;No;?;Yes (macOS);
FFS;No;No;8:1[cl];No;No;No;Yes;?;No;
UFS1;No;No;8:1[cl];No;No;No;Yes;?;No;
UFS2;No;No;8:1[cl];No;No;Yes;Yes;?;Yes[63][64];
LFS;No;No;8:1[cl];No;No;No;Yes;Yes;?;
ext;No;No;No;No;No;No;Yes;No;No;
Xiafs;No;No;No;No;No;No;Yes;?;?;
ext2;No;No[cm];No[cn];No;No;No;Yes;No;Yes;
ext3;No;No;No[cn];No;No;No;Yes;No;Yes;
ext4;No;No;No[cn];Yes;Yes;No;Yes;No;Yes;
NOVA;No;No;No;No;Yes;No;Yes;Yes;?;
F2FS;No;No;No;Yes;Partial[co];No;Yes;Yes;Yes[65];
Lustre;No;No;No;Yes;Yes;No;Yes;?;?;
NILFS;No;No;No;Yes;No;No;Yes;Yes;?;
ReiserFS;Yes;No;Yes[cp];No;No;No;Yes;?;?;
Reiser4;Yes;Yes[bx];Yes[cp];Yes;Yes[cq];No;Yes;?;?;
OCFS;No;No;No;No;Yes;No;?;?;?;
OCFS2;No;No;No;No;Yes;No;Yes;?;?;
XFS;No;No;No;Yes;Yes;No;Yes;Yes, on request[66];Yes (Linux);
JFS;No;only in JFS1 on AIX[67];Yes;No;Yes;No;Yes;?;Yes (Linux);
QFS;No;No;Yes;No;No;No;?;?;?;
BFS;No;No;No;No;Yes;No;?;?;Yes (Haiku);
NSS;No;Yes;No;No;Yes;No;?;?;?;
NWFS;No;Yes;Yes[cr];No;No;No;?;?;?;
ODS-5;No;No;No;No;Yes;No;?;?;?;
VxFS;No;No;?;No;Yes;No;Yes;?;?;
UDF;No;No;No;?[cs];Yes;No;No;?;No;
Fossil;No;Yes;No;No;No;No;?;?;?;
ZFS;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes (FreeBSD, illumos);
Btrfs;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
VMFS2;No;No;Yes;No;No;No;Yes;?;?;
VMFS3;No;No;Yes;No;No;No;Yes;?;?;
ReFS;?;No;?;?;?;No;Yes;Yes;?;
ISO 9660;No;No[ct];No;No;Yes[cu];No;No;No;No;
Rock Ridge;No;No[ct];No;No;Yes[cu];No;No;No;No;
Joliet ("CDFS");No;No[ct];No;No;Yes[cu];No;No;No;No;
SquashFS;No;Yes;No;No;No;No;Yes;No;No;
File system;Tail packing;Transparent compression;Block suballocation;Allocate-on-flush;Extents;Variable file block size[ci];Sparse files;Copy on write;Trim support;
