Driver;Chipset;Integration;Free firmware[45];License;Development;Free software[46];
ath[69][70];Atheros AR5211/ AR5212/ AR5213/ AR5214;Integrated with Solaris Nevada build 29;No firmware required[4];Dual GPL/BSD with proprietary HAL;Port of Madwifi;{{no}};
ipw;Intel PRO/Wireless 2100;Community project;{{no}};BSD;Ported from OpenBSD;{{yes}};
iwi;Intel PRO/Wireless 2200BG/2225BG/2915ABG;Community project;{{no}};BSD;Ported from OpenBSD;{{yes}};
pcan;Cisco Aironet 340/350;Community project;{{n/a}};BSD;Ported from FreeBSD;{{yes}};
pcwl;Lucent/Agere Systems Hermes (WaveLAN/ORiNOCO), Intersil PRISM-2 802.11b;Community project;{{n/a}};BSD;Ported from FreeBSD;{{yes}};
ral;Ralink RT2500;Community project;{{n/a}};BSD;Ported from OpenBSD;{{yes}};
rtw;Realtek RTL8180L;Community project;{{n/a}};BSD;Ported from NetBSD;{{yes}};
malo;Marvell 88W8335/ 88W8310;Community project;{{n/a}};BSD;Ported from OpenBSD;{{yes}};
wpi;Intel PRO/Wireless 3945ABG;Community project;{{no}};BSD;Ported from OpenBSD;{{yes}};
iwk;Intel Wireless WiFi Link 4965AGN;Community project;{{no}};BSD;Ported from OpenBSD;{{yes}};
arn;Atheros 9000;Community project;{{no}};BSD;based on ath9k;{{yes}};
rwd;Ralink RT2561/RT2561S/RT2661;Community project;{{no}};BSD;;{{yes}};
rwn;Ralink RT2700/2800;Community project;{{no}};BSD;;{{yes}};
urtw;Realtek RTL8187L/B USB;Community project;{{no}};BSD;;{{yes}};
atu;Atmel AT76C50x;Community project;{{no}};BSD;;{{yes}};
mwl;Marvell 88W8363;Community project;{{no}};BSD;;{{yes}};
ural;Ralink RT2500USB;Community project;{{no}};BSD;;{{yes}};
zyd;ZyDAS ZD1211 chipsets;Community project;{{yes}};BSD;Ported from OpenBSD;{{yes}};
