;Maintainer;First public release date;Latest stable version;Latest release date;License;Public issues list;
4D (4th Dimension);4D S.A.S.;1984;v16.0;2017-01-10[1];{{Proprietary}};{{No}};
ADABAS;Software AG;1970;8.1;2013-06;{{Proprietary}};{{No}};
Adaptive Server Enterprise;SAP AG;1987;16.0;2015;{{Proprietary}};{{No}};
Advantage Database Server (ADS);SAP AG;1992;12.0;2015;{{Proprietary}};{{No}};
Altibase;Altibase Corp.;2000;7.1.0.1.2;2018-03-02;GNU-AGPLv3; GNU-LGPLv3(for client-libraries);{{No}};
Apache Derby;Apache;2004;10.14.2.0[2];2018-05-03;{{free|Apache License}};{{Yes}}[3];
ClustrixDB;Clustrix;2010;v7.0;2015-08-19;{{Proprietary}};{{No}};
CUBRID;NHN Corporation;2008-11;10.1.0;2017-07-14;{{free|GPL v2 or later, BSD license for APIs and GUI tools}};{{Yes}}[4];
Datacom;CA, Inc.;Early 70s[5];14[6];2012[7];{{Proprietary}};{{No}};
DB2;IBM;1983;11.1;2016-04-12;{{Proprietary}};{{No}};
Empress Embedded Database;Empress Software Inc;1979;10.20;2010-03;{{Proprietary}};{{No}};
EXASolution;EXASOL AG;2004;6.0.0;2017-03-17;{{Proprietary}};{{No}};
FileMaker;FileMaker, Inc., an Apple subsidiary;1985-04;16;2017-05-09;{{Proprietary}};{{No}};
Firebird;Firebird project;2000-07-25;3.0.4;2018-10-04;{{free|IPL[8] and IDPL[9]}};{{Yes}}[10];
GPUdb;GIS Federal;2014;3.2.5;2015-01-14;{{Proprietary}};{{No}};
HSQLDB;HSQL Development Group;2001;2.4.1;2018-05-20;{{free|BSD}};{{Yes}}[11];
H2;H2 Software;2005;1.4.197;2018-03-18;{{free|EPL and modified MPL}};{{Yes}}[12];
Informix Dynamic Server;IBM;1981????1980;12.10.xC10;2017-12-05;{{Proprietary}};{{No}};
Ingres;Ingres Corp.;1974;10.2;2014-09-30;{{partial|GPL and Proprietary}};{{No}};
InterBase;Embarcadero;1984;XE7 v12.0.4.357;2015-08-12;{{Proprietary}};{{No}};
Linter SQL RDBMS;RELEX Group;1990;6.0.18, 6.1.15;2016-03-15;{{Proprietary}};{{No}};
LucidDB;The Eigenbase Project;2007-01;0.9.4;2012-01-05;{{free|GPL v2}};{{No}};
MariaDB;MariaDB Community;2010-02-01;10.3.11;2018-11-20[13];{{free|GPL v2, LGPL (for client-libraries)[14]}};{{Yes}}[15];
MaxDB;SAP AG;2003-05;7.9.0.8;2014;{{Proprietary}};{{Yes}}[16];
Microsoft Access (JET);Microsoft;1992;16 (2016);2015-09-22;{{Proprietary}};{{No}};
Microsoft Visual Foxpro;Microsoft;1984;9 (2005);2007-10-11;{{Proprietary}};{{No}};
Microsoft SQL Server;Microsoft;1989;2017 (14);2017-10-02;{{Proprietary}};{{No}};
Microsoft SQL Server Compact (Embedded Database);Microsoft;2000;2011 (v4.0);;{{Proprietary}};{{No}};
Mimer SQL;Mimer Information Technology;1978;v10.1.4F;2018-11-02;{{Proprietary}};{{No}};
MonetDB;The MonetDB Team / CWI;2004;Aug2018-SP1;2018-10-17;{{free|Mozilla Public License, version 2.0[17]}};{{Yes}}[18];
mSQL;Hughes Technologies;1994;4.1[19];2017-06-30;{{Proprietary}};{{No}};
MySQL;Oracle Corporation;1995-11;8.0.12[20];2018-07-27;{{partial|GPL v2 or Proprietary}};{{Yes}}[21];
MemSQL;MemSQL;2012-06;5.8.6 (2017);2017-06-30;{{Proprietary}};{{No}};
NexusDB;NexusDB Pty Ltd;2003;4.00.14;2015-06-25;{{Proprietary}};{{No}};
HP NonStop SQL;Hewlett-Packard;1987;SQL/MX 3.4;;{{Proprietary}};{{No}};
NuoDB;NuoDB;2013;3.0.1;;{{Proprietary}};{{No}};
Omnis Studio;TigerLogic Inc;1982-07;6.1.3 Release 1no;2015-12;{{Proprietary}};{{No}};
OpenBase SQL;OpenBase International;1991;11.0.0;;{{Proprietary}};{{No}};
OpenEdge;Progress Software Corporation;1984;11.6.3;2016-08-19;{{Proprietary}};{{No}};
OpenLink Virtuoso;OpenLink Software;1998;7.2.5;2017-04-28;{{partial|GPL v2 or Proprietary}};{{Yes}}[22];
Oracle DB;Oracle Corporation;1979-11;18.1.0.0;2018-07-23[23];{{Proprietary}};{{No}};
Oracle Rdb;Oracle Corporation;1984;7.3.1.2;2014-10-08[24];{{Proprietary}};{{No}};
Paradox;Corel Corporation;1985;11;2009-09-07;{{Proprietary}};{{No}};
Percona Server for MySQL;Percona;2006;5.7.23-23[25];2018-09-12;{{free|GPL v2}};{{Yes}};
Pervasive PSQL;Pervasive Software;1982;v12;2015;{{Proprietary}};{{No}};
Polyhedra DBMS;ENEA AB;1993;9.0;2015-06-24;{{Proprietary}}, with Polyhedra Lite available as Freeware[26];{{No}};
PostgreSQL;PostgreSQL Global Development Group;1989-06;11.1;2018-11-08[27];{{free|PostgreSQL Licence (a liberal Open Source license)[28]}};{{No}}[29];
R:Base;R:BASE Technologies;1982;10.0;2016-05-26;{{Proprietary}};{{No}};
Raima Database Manager;Raima Inc.;1984;14.1;2018-03-23;{{Proprietary}};{{No}};
RDM Server;Raima Inc.;1993;8.4;2012-10-31;{{Proprietary}};{{No}};
SAP HANA;SAP AG;2010;2.0 SPS02;2017-07-26;{{Proprietary}};{{No}};
solidDB;UNICOM Global;1992;7.0.0.10;2014-04-29;{{Proprietary}};{{No}};
SQL Anywhere;Sybase;1992;17.0;2015-07-15;{{Proprietary}};{{No}};
SQLBase;Unify Corp.;1982;11.5;2008-11;{{Proprietary}};{{No}};
SQLite;D. Richard Hipp;2000-09-12;3.24.2;2018-09-25[30];{{free|Public domain}};{{Yes}}[31];
SQream DB;SQream Technologies;2014;2.1[32];2018-01-15;{{Proprietary}};{{No}};
Superbase;Superbase;1984;Scientific (2004);;{{Proprietary}};{{No}};
Teradata;Teradata;1984;15;2014-04;{{Proprietary}};{{No}};
Tibero;TmaxSoft;1992;6;2015-04;{{Proprietary}};{{No}};
UniData;Rocket Software;1988;8.2.1;2017-07;{{Proprietary}};{{No}};
;Maintainer;First public release date;Latest stable version;Latest release date;License;Public issues list;
