Software;Windows;Mac OS X;Linux;ChromeOS;BSD;Unix;iOS App;Android App;Windows App;
Aigaion;{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
Bebop;{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
BibBase;{{n/a}};{{n/a}};{{n/a}};{{n/a}};{{n/a}};{{n/a}};{{dunno}};{{dunno}};{{dunno}};
BibDesk;{{no}};{{yes}};{{no}};{{dunno}};{{no}};{{no}};Third-party - PocketBib;{{dunno}};{{dunno}};
BibSonomy;{{n/a}};{{n/a}};{{n/a}};{{n/a}};{{n/a}};{{n/a}};{{dunno}};{{dunno}};{{dunno}};
Bibus;{{yes}};{{table-experimental}};{{yes}};{{dunno}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
Bookends;{{no}};{{yes}};{{no}};{{dunno}};{{no}};{{no}};{{yes}};{{dunno}};{{dunno}};
Citavi;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
CiteULike;{{n/a}};{{n/a}};{{n/a}};{{n/a}};{{n/a}};{{n/a}};{{dunno}};{{dunno}};{{dunno}};
colwiz;{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};
EndNote;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};
F1000Workspace;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{Yes}};{{Yes}};{{no}};
JabRef;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
KBibTeX;{{table-experimental}};{{table-experimental}};{{yes}};{{dunno}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
Mendeley;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{no}};
Paperpile;{{yes}};{{yes}};{{yes}};{{yes}};{{no}} (requires Chrome);{{no}} (requires Chrome);{{no}};{{no}};{{no}};
Papers;{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{depends|third party}} - EZPaperz[10] or Aziz, Lite! [11];{{no}};
Pybliographer;{{partial}}[12];{{partial}}[12];{{yes}};{{dunno}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
Qiqqa;{{yes}};{{no}};{{no}};{{dunno}};{{no}};{{no}};{{no}};{{yes}};{{no}};
ReadCube;{{yes}};{{yes}};{{no}};{{dunno}};{{no}};{{no}};{{yes}};{{yes}};{{no}};
refbase;{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
RefDB;{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
Reference Manager;{{yes}}[13];{{no}};{{no}};{{dunno}};{{no}};{{no}};{{no}};{{no}};{{no}};
Referencer;{{no}};{{no}};{{yes}};{{dunno}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};
RefWorks[14];{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{dunno}};No - but is responsive;{{dunno}};{{no}};
SciRef;{{yes}};{{no}};{{no}};{{dunno}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};
Sente;{{no}};{{yes}};{{no}};{{dunno}};{{no}};{{no}};{{yes}}[15];{{dunno}};{{dunno}};
Wikindx;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
WizFolio;{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};
Zotero;{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{depends|third party}};{{depends|third party}} - Aziz, Lite![11];{{no}};
