Model;Launch;Code name;Fab (nm);Bus interface;Core clock (MHz);Memory clock (MHz);Core config1;Fillrate;Memory;API (version);
MPixels/s;MTexels/s;MVertices/s;Size (MB);Bandwidth (GB/s);Bus type;Bus width (bit);Direct3D;OpenGL;
All-in-Wonder Radeon;Jul 31, 2000;R100;180;AGP 4x;166;332;2:1:6:2;332;996;41.5;32;5.312;DDR;128;7.0;1.4;
All-in-Wonder 7500;Jan 22, 2002;RV200;150;AGP 4x;260;360;2:0:6:2;520;1560;0;64;11.52;DDR;128;7.0;1.4;
All-in-Wonder VE;Dec 2, 2002;RV200;150;AGP 4x;250;500;2:0:6:2;500;1500;0;64;8;DDR;128;7.0;1.4;
All-in-Wonder 8500;Apr 4, 2002;R200;150;AGP 4x;260;550;4:2:8:4;1100;2200;137.5;128;8.8;DDR;128;8.1;1.4;
All-in-Wonder 8500 DV;Aug 30, 2001;R200;150;AGP 4x;230;380;4:2:8:4;920;1840;115;64;6.08;DDR;128;8.1;1.4;
All-in-Wonder 9000 Pro;Mar 31, 2003;RV250;150;AGP 8x;275;550;4:1:4:4;1110;1110;68.75;64, 128;8.8;DDR;128;8.1;1.4;
All-in-Wonder 9200;Jan 26, 2004;RV250;150;AGP 8x;250;400;4:1:4:4;1000;1000;62.5;128;6.4;DDR;128;8.1;1.4;
All-in-Wonder 9200 SE;N/A;RV250;150;AGP 8x;250;332;4:1:4:4;1000;1000;62.5;128;2.656;DDR;64;8.1;1.4;
All-in-Wonder 9600;Jan 26, 2004;RV350;130;AGP 8x;325;400;4:2:4:4;1300;1300;162.5;128;6.4;DDR;128;9.0;2.0;
All-in-Wonder 9600 Pro;Aug 05, 2003;RV350;130;AGP 8x;400;650;4:2:4:4;1600;1600;200;128;10.4;DDR;128;9.0;2.0;
All-in-Wonder 9600 XT;Jan 26, 2004;RV360;130;AGP 8x;525;650;4:2:4:4;2100;2100;262.5;128;10.4;DDR;128;9.0;2.0;
All-in-Wonder 9700 Pro;Dec 30, 2002;R300;150;AGP 8x;325;620;8:4:8:8;2600;2600;325;128;19.84;DDR;256;9.0;2.0;
All-in-Wonder 9800 Pro;Apr 7, 2003;R350;150;AGP 8x;380;680;8:4:8:8;3040;3040;380;128;21.76;DDR;256;9.0;2.0;
All-in-Wonder 9800 SE;Nov 1, 2003;R350;150;AGP 8x;380;680;4:4:4:8;3040;1520;380;128;10.88;DDR;128;9.0;2.0;
All-in-Wonder X600 Pro;Sept 21, 2004;RV370;110;AGP 8x;400;600;4:2:4:4;1600;1600;200;256;9.6;DDR;128;9.0;2.0;
All-in-Wonder X800 GT;Aug 8, 2005;R430;110;PCI-E x16;490;980;8:6:8:16;6400;3200;600;128;31.36;GDDR3;256;9.0b;2.0;
All-in-Wonder X800 XL;Jul 5, 2005;R430;110;PCI-E x16 AGP 8X;400;980;16:6:16:16;6400;6400;600;256;31.36;GDDR3;256;9.0b;2.0;
All-in-Wonder X800 XT;Sept 9, 2004;R420;130;AGP 8x;500;1000;16:6:16:16;8000;8000;750;256;32;GDDR3;256;9.0b;2.0;
All-in-Wonder 2006;Dec 22, 2005;RV515;90;PCI-E x16;450;800;4:2:4:4;1800;1800;225;256;12.8;DDR2;128;9.0c;2.0;
All-in-Wonder X1800 XL;Nov 21, 2005;R520;90;PCI-E x16;500;1000;16:8:16:16;8000;8000;1000;256;32;GDDR3;256;9.0c;2.0;
All-in-Wonder X1900;Jan 24, 2006;R580;90;PCI-E x16;500;960;48:8:16:16;8000;8000;1000;256;30.72;GDDR3;256;9.0c;2.0;
All-in-Wonder HD 3650;Jun 28, 2008;RV635;55;PCI-E x16;725;1200;120:8:4;2900;5800;N/A;512;19.2;DDR2;128;10.1;3.3;
