Family;Country;{{abbr|Manufac.|manufacturer}};Payload (kg);Cost (US$, millions);Launches reaching…;Status;Date of flight;Refs;Notes;
LEO;GTO;TLI;Total;Space;Any orbit;Target orbit;First;Last;
Angara 1.2;{{flag|Russia}};Khrunichev;{{nts|3800}};;;{{nts|25}};{{nts|1}};1;;;Active;2014;;[1][2][3];As of 2017, only launch was suborbital[4];
Angara A5;{{flag|Russia}};Khrunichev;{{nts|14600}} to 35,000;{{nts|3600}} to 12,500;;;{{nts|1}};1;1;1;Active;2014;;[1][5];;
Antares;{{flag|USA}};Orbital ATK;{{nts|6500}};;;{{nts|80}};{{nts|7}};{{nts|6}};{{nts|6}};{{nts|6}};Active;2013;;[6][7][8];Cygnus launcher;
Ariane 1-2-3;{{flag|Europe}};Aérospatiale;;{{nts|2650}};;;{{nts|28}};;;;Retired;1979;1989;[9][10];;
Ariane 4;{{flag|Europe}};Aérospatiale;{{nts|7000}};{{nts|4720}};;;{{nts|116}};;;;Retired;1988;2003;[10];Var: 40, 42P. 42L, 44P, 44L, 44LP;
Ariane 5;{{flag|Europe}};Airbus;{{nts|21000}};{{nts|10735}}[11];;{{nts|165}}-220;{{nts|76}};{{nts|74}};{{nts|74}};{{nts|72}};Active;1996;;[12][13][14];Var: G,G+,GS, ECA, ES.;
Ariane 6;{{flag|Europe}};Airbus Safran;;{{nts|10500}};;{{nts|115}};;;;;Devel.;2020;;;Var: Ariane 62 & Ariane 64.;
ASLV;{{flag|India}};ISRO;{{nts|150}};;;;{{nts|4}};;;;Retired;1987;1994;[15];;
Athena I & II;{{flag|USA}};Lockheed ATK;{{nts|2065}};;{{nts|295}};;{{nts|7}};;;;Retired;1995;2001;[16];Launch Lunar Prospector.[17];
Atlas A-B-C-D-E-F-G Atlas I;{{flag|USA}};Lockheed;{{nts|5900}};{{nts|2340}};;;{{nts|514}};;;;Retired;1957;1997;[18][19][20][21];Launch Mercury. Atlas or Centaur upper stage.;
Atlas II;{{flag|USA}};Lockheed;{{nts|8618}};{{nts|3833}};;;{{nts|63}};{{nts|63}};{{nts|63}};;Retired;1991;2004;[22][23][24];;
Atlas III;{{flag|USA}};Lockheed;{{nts|10759}};{{nts|4609}};;;{{nts|6}};{{nts|6}};{{nts|6}};;Retired;2003;2005;[25][26];variants: IIIA, IIIB;
Atlas V;{{flag|USA}};ULA;{{nts|18850}};{{nts|8900}};{{nts|2807}};{{nts|109}}-153;{{nts|74}};{{nts|74}};{{nts|74}};{{nts|73}};Active;2002;;[27][28];Launched Juno & New Horizons;
BFR;{{flag|USA}};SpaceX;{{nts|100,000}}+;;{{nts|100,000}}+{{efn|With in-orbit refueling}};;{{nts|0}};;;;Devel.;2020;;[29][30][31][32];Fully reusable. Expected as early as 2020, with suborbital spaceship tests beginning in the first half of 2019.;
Black Arrow;{{flag|UK}};RAE Westland;{{nts|132}};;;;{{nts|4}};{{nts|3}};;;Retired;1969;1971;[33];;
Delta;{{flag|USA}};Douglas;{{nts|3848}};{{nts|1312}};;;{{nts|186}};;;;Retired;1960;1989;[34][35];Launched Pioneer & Explorer probes. Variants : A, B, C, D, E, G, J, L, M, N, 300, 900, 1X00, 4X00, 2X00, 3X00, 5X00;
Delta II;{{flag|USA}};ULA;{{nts|6000}};{{nts|2171}};{{nts|1508}};{{nts|51}};{{nts|153}};{{nts|152}};{{nts|152}};{{nts|151}};Retired;1989;2018;[34][36][37];Launched Mars probes MGS to Phoenix Variants : 6000, 7000 and Heavy.;
Delta III;{{flag|USA}};Boeing;{{nts|8290}};{{nts|3810}};;;{{nts|3}};{{nts|2}};{{nts|2}};;Retired;1998;2000;[38][39];;
Delta IV;{{flag|USA}};ULA;{{nts|23040}};{{nts|13130}};{{nts|9000}};;{{nts|35}};{{nts|35}};{{nts|35}};{{nts|34}};Active;2002;;[40];Variants : M, M+ and Heavy.;
Diamant;{{flag|France}};SEREB;{{nts|}};;;;{{nts|12}};{{nts|}};{{nts|}};{{nts|9}};Retired;1965;1975;{{citation needed|date=March 2013}};;
R-36M Dnepr;{{flag|Ukraine}}{{flag|Russia}};Yuzhmash;{{nts|3600}};;{{nts|750}};{{nts|14}};{{nts|17}};;;;Retired;1999;2015;[41][42] {{full citation needed|date=March 2013}}[43];;
Electron;{{flag|NZ}}{{flag|USA}};Rocket Lab;{{nts|225}};;;{{nts|6}};{{nts|2}};{{nts|2}};{{nts|1}};{{nts|1}};Active;2017;;[44];;
Energia;{{flag|USSR}};NPO Energia;{{nts|100000}};;;{{nts|240}};{{nts|2}};{{nts|2}};{{nts|1}};{{nts|1}};Retired;1987;1988;[45]{{citation needed|date=January 2014}};1 partial failure with Polyus spacecraft, 1 successful flight with Buran shuttle.;
Epsilon;{{flag|Japan}};IHI Corporation;{{nts|1200}};;;;{{nts|1}};{{nts|1}};{{nts|1}};{{nts|1}};Active;2013;;[46][47];;
Falcon 1;{{flag|USA}};SpaceX;{{nts|420}}[48];;;{{nts|7.9}}[48];{{nts|5}}[49];{{nts|4}}[48];{{nts|2}}[48];{{nts|2}}[49];Retired[48];2006;2009;;;
