Name;Platform;License;Builders: Windows;Builders: Java;Builders: other;Notification;Integration, IDEs;Integration, other;
Abstruse CI;Cross-Platform, Self-Hosted;Proprietary, MIT;{{no}};{{yes|Ant, Maven, Gradle, Android}};{{yes|C, C++, Go, Groovy, Java, Node.js, Perl, PHP, Python, Ruby}};{{no}};{{no}};{{yes|GitHub, Bitbucket, Gitlab, Gogs}};
AnthillPro;Cross-platform;{{proprietary}};{{yes|MSBuild, NAnt, Visual Studio}};{{yes|Ant, Maven 1-2-3}};{{yes|Shell script, batch script, cross-platform command-line, Groovy, Make, RTC Jazz, TFS Build, Custom Script Interpreter}};Email, XMPP, RSS, Systray;{{yes|Eclipse, Visual Studio}};{{yes|Many}};
Apache Continuum;JDK, web container;{{free|Apache 2.0}};{{unknown}};{{yes|Maven 1-2-3}};{{yes|Shell script[2]}};Mail, XMPP and Google Talk, MSN, IRC, report deployment with wagon;{{unknown}};{{unknown}};
Apache Gump;Python;{{free|Apache 2.0}};{{unknown}};{{yes|Ant, Maven 1}};{{unknown}};Email;{{unknown}};{{unknown}};
AppVeyor;Hosted;{{proprietary}};{{yes|Visual Studio, MSBuild, Psake}};{{no}};{{yes|Custom Script, PowerShell}};Email, HipChat, Slack, Catlight;{{no}};{{yes|GitHub, Bitbucket, Kiln, Windows Azure}};
Bamboo;Web container;{{proprietary}};{{yes|MSBuild,[3] NAnt,[4] Visual Studio[5]}};{{yes|Ant,[6] Maven 1-2-3[7]}};{{yes|Custom script, command-line tool, Bash, Xcode,[8] Phing,[9] Grunt, Grails[10]}};XMPP, Google Talk, Email, RSS, Remote API, HipChat;{{yes|IntelliJ IDEA, Eclipse, Visual Studio}};{{yes|FishEye, Jira, Clover, Bitbucket, GitHub}};
Buddy;Cross-platform;{{proprietary}};{{no}};{{yes|Ant, Maven, Gradle}};{{yes|Elixir, Go, Haskell, Node.js, PHP, Python, Ruby, .NET Core}};Desktop, Email, Slack, SMS;{{no}};{{yes|Amazon Web Services, Bitbucket, GitHub, GitLab, Google Cloud Services, Heroku, Modulus}};
Buildbot;Python;{{free|GPL}};{{yes|Command-line}};{{yes|Command-line}};{{yes|Command-line}};Email, Web, GUI, IRC;{{unknown}};{{unknown}};
BuildMaster;Cross-platform;{{proprietary}};{{yes}};{{yes}};{{yes|Cross-platform command-line}};Email, custom;{{no}};{{yes|Many}};
CABIE;LAMP;{{free|GPL2}};{{unknown}};{{unknown}};{{unknown}};Web;{{unknown}};{{unknown}};
CircleCI;Hosted;{{proprietary}};{{no}};{{yes|Maven, Gradle[11]}};{{yes}}[12];Email, Web[13];{{no}};{{yes|GitHub, Bitbucket, Heroku}};
CruiseControl;Cross-platform;{{free|BSD-style}};{{yes|NAnt, Rake, Xcode}};{{yes|Phing, Apache Ant, Maven}};{{yes|catch-all 'exec'}};Email, CCTray;{{yes|Eclipse}};{{unknown}};
CruiseControl.NET;Cross-platform;{{free|BSD-style}};{{yes|MSBuild, NAnt, Visual Studio}};{{unknown}};{{yes|Command-line}};Email, CCTray, RSS;{{unknown}};{{unknown}};
Drone;Cross-platform;{{free|Apache 2.0}};{{no}};{{yes|Ant, Maven, Gradle[14]}};{{yes|Docker[15], Java, Node.js, Python, Go, Elixir, Scala[16]}};WeChat, Matrix, Discord, Email, GTalk, Telegram, Facebook, Line, Gitter, HipChat, Slack[17];{{no}};{{yes|GitHub[18], Bitbucket, Gitlab, Gitea, Gogs, Coding}};
GitLab;Cross-Platform, Self-Hosted;Proprietary, MIT;{{yes|Yes[19]}};{{yes|Maven[20], Gradle[21]}};{{yes|SSH, Shell, VirtualBox, Parallels,Docker, Kubernetes)[22]}};{{Email, Web, Slack and others[23]}};{{yes|WebIDE[24]}};{{yes|Many}};
GoCD;Cross-platform;{{free|Apache 2.0}};{{yes|Command-line}};{{yes|Command-line}};{{yes|Command-line}};Email, hipchat, Slack, Gerrit, Gitter, Riemann etc;{{no}};{{yes|GitHub}};
Jenkins-Hudson;Web container;{{free|Creative Commons and MIT}};{{yes|MSBuild, NAnt, Batch Script}};{{yes|Ant, Maven 2, Kundo}};{{yes|CMake, Gant, Gradle, Grails, Phing, Rake, Ruby, SCons, Python, shell script, command-line}};Android, Email, Google Calendar, IRC, XMPP, RSS, Twitter, Slack, Catlight, CCMenu, CCTray;{{yes|Eclipse, IntelliJ IDEA, NetBeans}};{{yes|Bugzilla, Google Code, Jira, Bitbucket, Redmine, FindBugs, Checkstyle, PMD and Mantis, Trac, HP ALM}};
OpenMake Software Meister;Cross-platform;{{proprietary}};{{yes|MSBuild, NAnt, Visual Studio}};{{yes|Ant, Maven 1-2-3}};{{yes|Shell script, batch script, cross-platform command-line, Groovy, Make, RTC Jazz, TFS Build, Custom Script Interpreter}};Email, XMPP, RSS, Systray;{{yes|Eclipse, Visual Studio}};{{yes|Bugzilla, Google Code, Jira, Bitbucket, Redmine, FindBugs, Checkstyle, PMD and Mantis, Trac}};
Semaphore (software);Hosted;{{proprietary}};{{no}};{{yes|Maven, Gradle}};{{yes|Ruby, Java, Python, Node.js, PHP, Clojure, C/C++, Elixir, Erlang, Go, Rake, command-line}};Email, Campfire, HipChat, Slack, Flowdock, Webhooks, Remote API;{{unknown}};{{yes|GitHub, Bitbucket, Heroku, AWS, Code Climate, Cloud 66}};
Travis CI;Hosted;{{free|MIT}};{{no}};{{yes|Ant, Maven, Gradle[25]}};{{yes|C, C++, Clojure, Elixir, Erlang, Go, Groovy, Haskell, Java, Node.js, Perl, PHP, Python, Ruby, Rust, Scala, Smalltalk}};Email, Campfire, HipChat, IRC, Slack, Catlight, CCMenu, CCTray;{{no}};{{yes|GitHub, Heroku}};
TeamCity;Web container;{{proprietary}};{{yes|MSBuild, NAnt, Visual Studio, ReSharper-based .NET code analysis}};{{yes|Ant, Maven 2-3, Gradle, IntelliJ IDEA-based build and code analysis}};{{yes|command-line, PowerShell,[26] Xcode,[27] Rake, FxCop}};Email, XMPP, RSS, IDE, SysTray, Catlight;{{yes|Eclipse, Visual Studio, IntelliJ IDEA, RubyMine, PyCharm, PhpStorm, WebStorm}};{{yes|JetBrains YouTrack, Jira, Bugzilla, FishEye, FindBugs, PMD, dotCover, NCover}};
Team Foundation Server, Visual Studio Team Services (VSTS);Cross-platform;Proprietary, MIT;{{yes|MSBuild, Visual Studio}};{{yes|Ant, Maven, Gradle, Android}};{{yes|C, C++, Go, Groovy, Java, Node.js, Perl, PHP, Python, Ruby}};Email, SOAP, Catlight;{{yes|Visual Studio, Eclipse, IntelliJ IDEA, Android Studio, Visual Studio Code }};{{yes|GitHub, Jenkins, Slack, Hipchat, FindBugs, Checkstyle, PMD }};
Vexor;Hosted;{{proprietary}};{{no}};{{unknown}};{{yes|Ruby, Clojure, Scala, Python, Node.js, Go, Rust, Haskell}};Email, HipChat, Slack;{{unknown}};{{yes|GitHub, Bitbucket, Gitlab}};
