Afrikaans;Dutch;English;
{{lang|af|Verstaan jy my?}};Versta jij mij? / Begrijp je me?[131];Do you understand me?;
{{lang|af|Ek verstaan dit}};Ik versta dit / Ik begrijp het[131];I understand it;
{{lang|af|Wat is jou naam?}};Hoe heet je? Wat is jouw naam?;What is your name?;
{{lang|af|Wat maak jy?}};Wat ben je aan het doen? Compare Dutch Wat maak jij? (What are you making?);What are you doing?;
{{lang|af|Dit maak my seer}};Het doet me pijn;It hurts me;
{{lang|af|Ek hou van haar}};Ik vind haar leuk;I like her;
{{lang|af|Ek is lief vir jou}};Ik hou van jou Compare Dutch Ik ben lief voor jou (I am sweet to you);I love you;
{{lang|af|Ek het jou lief}};Ik heb jou lief / Ik hou van jou;I love you;
{{lang|af|Is jy honger?}};Heb je honger? / Heb jij honger?;Are you hungry?;
{{lang|af|Dié boek is vir jou}};Dit boek is voor jou;This book is for you;
{{lang|af|Ek het al geëet}};Ik heb al gegeten;I have already eaten;
{{lang|af|Kom jy saam met ons?}};Kom je met ons mee?;Are you coming with us?;
{{lang|af|Stem jy saam?}};Ben je het daarmee eens? Stem jij daarmee in?;Do you agree?;
{{lang|af|Stem jy [daartoe] in?}};Stem jij daarmee in? / Ga je daarmee akkoord?;Do you agree [to it]?;
{{lang|af|Oop vanaand}};Open vanavond;Open tonight;
{{lang|af|Hulle woon hier}};Ze wonen hier Dialectal: Hullie wonen hier;They live here;
{{lang|af|Kan ons die middestad besoek?}};Kunnen we de binnenstad bezoeken? Belgium Dutch: Kunnen we de middenstad bezoeken? [132];Can we visit the city centre?;
{{lang|af|Ek is halfpad daar}};Ik ben halverwege;I am halfway there;
{{lang|af|Hierdie vrug proe/smaak sleg}};Die vrucht hier smaakt slecht;This fruit tastes bad;
{{lang|af|Het jy dat gesê?}};Heb je dat gezegd? Zei je dat?;Did you say that?;
{{lang|af|Hy het op die lughawe aangekom}};Hij is op de luchthaven aangekomen;He has arrived at the airport;
{{lang|af|Moenie dit vergeet nie!}};Vergeet hem niet!;Don't forget it!;
{{lang|af|As dit reën, sal dié sambreel jou beskerm}};Als het regent, zal deze paraplu jou beschermen[133] *;If it rains, this umbrella will protect you;
{{lang|af|’n Lemoen is ’n oranjekleurige vrug}};Een sinaasappel is een oranjekleurige vrucht;An orange is an orange-coloured fruit;
{{lang|af|’n Lemmetjie is ’n klein groen sitrusvrug}};Een limoen is een kleine groene citrusvrucht;A lime is a small green citrus fruit;
{{lang|af|Ons hou daarvan om te braai}};Wij houden ervan om te barbecueën Compare Dutch: braden (to roast), Wij houden ervan om te braaien (braaien is a recent loanword from Afrikaans) **;We love to barbecue;
{{lang|af|Ek kan dit nie glo nie}};Ik kan dit niet geloven;I cannot believe it;
