Engine;Origin;Designer;Vehicle;Use;Propellant;Specific impulse (s){{efn|name=VSL|Default for vacuum, SL for sea level}};Thrust (N){{efn|name=VSL}};Mass (kg);Thrust/ weight ratio{{efn|Computed as Thrust\ (\mathrm{N})} \over {Mass\ (\mathrm{kg}) \times Gravity\ (\mathrm{m/s^2})}};Chamber pressure (bar);Oxidiser to Fuel Ratio;
Aestus;{{nobr|{{EUR}}}};Airbus Defence and Space;Ariane 5 G, G+, ES;Upper;N2O4?/?MMH;{{nts|324}}[1];{{nts|30,000}};{{nts|111}};{{nts|27.6}};{{nts|11}};1.9;
Aestus II;{{EUR}};Airbus Defence and Space;Ariane 5;Upper;N2O4?/?MMH;{{nts|340}}[2];{{nts|55,400}};{{nts|138}};{{nts|41.0}};{{nts|60}};1.9;
AJ-60A;{{Flag|USA}};Aerojet;Atlas V;Booster;Solid;{{nts|275}};{{nts|1,270,000}}[3];;;;;
AR1;{{Flag|USA}};Aerojet Rocketdyne;Vulcan (potential);1st;RP-1?/?LOX;;{{nts|2,200,000}} (SL)[4];;;;2.72;
BE-3;{{Flag|USA}};Blue Origin;New Glenn New Shepard;1st,2nd,3rd;LH2?/?LOX;;{{nts|490,000}};;;;;
BE-4;{{Flag|USA}};Blue Origin;New Glenn Vulcan;1st;CH4?/?LOX;;{{nts|2,400,000}}[5][6];;;{{nts|134}}[7];;
Boeing 601HP{{efn|First ever ion engine used as a main engine on an operational commercial satellite (PAS-5)}};{{Flag|USA}};Boeing;Boeing 601HP satellites;Ion thruster;Xenon;{{nts|2,568}} @0.5 kW;{{nts|0.018}} @0.5 kW;;;;;
CE-20;{{IND}};LPSC;GSLV Mk III;Upper;LH2?/?LOX;{{nts|443}};{{nts|200,000}};{{nts|588}};;{{nts|60.00}};5.05;
CE-7.5;{{IND}};LPSC;GSLV Mk II;Upper;LH2?/?LOX;{{nts|454}}[8];{{nts|73,500}} to {{nts|93,100}};{{nts|445}};{{nts|16.85}};{{nts|58}};;
F-1{{efn|Most powerful single-chamber liquid-fueled rocket engine ever developed}};{{Flag|USA}};Rocketdyne;Saturn V;1st;RP-1?/?LOX;{{nts|304}} {{nts|263}} (SL);{{nts|7,770,000}} {{nts|6,770,000}} (SL);{{nts|8,391}};{{nts|82.27}};{{nts|70}};2.27;
F-1A{{efn|Tested but never flown}}[9];{{Flag|USA}};Rocketdyne;;1st;RP-1?/?LOX;{{nts|303}} {{nts|270}} (SL);{{nts|8,989,000}} {{nts|8,007,000}} (SL);{{nts|9,015}};{{nts|90.6}};{{nts|80}};2.27;
Gamma 2;{{UK}};Bristol Siddeley;Black Arrow;2nd;RP-1?/?H2O2;{{nts|265}}[10];{{nts|68,200}};{{nts|173}};{{nts|40.22}};{{nts|}};8;
Gamma 8;{{UK}};Bristol Siddeley;Black Arrow;1st;RP-1?/?H2O2;{{nts|265}}[11];{{nts|234,800}};{{nts|342}};{{nts|70.01}};{{nts|47.40}};8;
Hadley;{{Flag|USA}};Ursa Major Technologies;GOLauncher 1[12];1st;RP-1?/?LOX;;{{nts|22,241}} (SL)[13];;;;;
HiPEP{{efn|Most efficient inert gas ion thruster ever built}};{{Flag|USA}};NASA;Jupiter Icy Moons Orbiter;Ion thruster;Xenon;{{nts|9,620}} @39.3 kW;{{nts|0.670}} @39.3 kW;;;;;
HM-7A;{{EUR}};Snecma;Ariane 1;3rd;LH2?/?LOX;{{nts|443}}[14] {{nts|308}} (SL);{{nts|61,700}};{{nts|149}};{{nts|42.2}};{{nts|30}};5;
HM-7B;{{EUR}};Snecma;Ariane 2 Ariane 3 Ariane 4 Ariane 5 ECA;Upper;LH2?/?LOX;{{nts|446}}[15] {{nts|310}} (SL)[16];{{nts|64,800}}[15] {{nts|43,600}} (SL)[16];{{nts|165}}[15];{{nts|43.25}};{{nts|37}}[15];5;
J-2;{{Flag|USA}};Rocketdyne;Saturn V Saturn IB;2nd, 3rd;LH2?/?LOX;{{nts|421}}[17] {{nts|200}} (SL);{{nts|1,033,100}} {{nts|486,200}} (SL);{{nts|1,438}};{{nts|73.18}};{{nts|30}};5.5;
J-2X;{{Flag|USA}};Pratt & Whitney Rocketdyne;SLS;Upper;LH2?/?LOX;{{nts|448}}[18];{{nts|{{convert|294,000|lbf|disp=number}}}};{{nts|{{convert|5,450|lb|disp=number}}}};{{nts|58.41}};{{nts|{{convert|1380|psi|bar|disp=number}}}};5.5-4.5;
LE-5;{{JPN}};Mitsubishi NASDA;H-I;Upper;LH2?/?LOX;{{nts|450}}[19];{{nts|103,000}};{{nts|245}};{{nts|42.87}};{{nts|36.0}};5.5;
LE-5A;{{JPN}};Mitsubishi NASDA;H-II;Upper;LH2?/?LOX;{{nts|452}}[20];{{nts|121,500}};{{nts|242}};{{nts|51.19}};{{nts|40.0}};5;
LE-5B;{{JPN}};Mitsubishi JAXA;H-IIA H-IIB;Upper;LH2?/?LOX;{{nts|447}}[21];{{nts|137,000}};{{nts|269}};{{nts|51.93}};{{nts|36.0}};5;
