Rank;Nation;GDP {{small|(in millions $USD)}};
;{{noflag}}World[2];73,170,986;
;{{flag|United States}};17,947,000;
9999999;{{flag|European Union}}{{refn|group = n|name = clarification that the EU is not a country and should not be given a rank number}}[2];16,220,370;
1;{{flag|China}};11,007,721;
2;{{flag|Japan}};4,123,258;
3;{{flag|Germany}};3,357,614;
4;{{flag|United Kingdom}};2,849,345;
5;{{flag|California}};2,424,033;
6;{{flag|France}};2,421,560;
7;{{flag|India}};2,090,706;
8;{{flag|Italy}};1,815,757;
9;{{flag|Brazil}};1,772,589;
10;{{flag|Texas}};1,648,007;
11;{{flag|Canada}};1,552,386;
12;{{flag|South Korea}};1,376,868;
13;{{flag|Russia}};1,324,734;
14;{{flag|Australia}};1,223,887;
15;{{flag|Spain}};1,221,785;
16;{{flag|Mexico}};1,144,334;
17;{{flag|New York}};1,124,406;
18;{{flag|Florida}};883,735;
19;{{flag|Indonesia}};858,953;
20;{{flag|Illinois}};764,817;
21;{{flag|Netherlands}};738,419;
22;{{flag|Turkey}};733,642;
23;{{flag|Pennsylvania}};677,582;
24;{{flag| Switzerland}};664,603;
25;{{flag|Saudi Arabia}};653,219;
26;{{flag|Ohio}};592,899;
27;{{flag|Argentina}};585,623;
28;{{flag|New Jersey}};573,947;
29;{{flag|Taiwan}};523,581;
30;{{flag|North Carolina}};503,745;
31;{{flag|Georgia (U.S. state)|name=Georgia}};496,180;
32;{{flag|Sweden}};492,618;
33;{{flag|Nigeria}};490,207;
34;{{flag|Virginia}};476,919;
35;{{flag|Poland}};474,893;
36;{{flag|Massachusetts}};473,606;
37;{{flag|Michigan}};462,252;
38;{{flag|Belgium}};454,687;
39;{{flag|Washington}};446,096;
40;{{flag|Thailand}};395,288;
41;{{flag|Norway}};389,482;
42;{{flag|Iran}};387,611;
43;{{flag|Austria}};374,124;
44;{{flag|Maryland}};360,969;
45;{{flag|United Arab Emirates}};345,483;
46;{{flag|Minnesota}};330,782;
47;{{flag|Egypt}};330,765;
48;{{flag|Indiana}};326,538;
49;{{flag|Colorado}};316,535;
50;{{flag|South Africa}};312,957;
51;{{flag|Hong Kong}};309,931;
52;{{flag|Tennessee}};307,125;
53;{{flag|Wisconsin}};296,971;
54;{{flag|Malaysia}};296,219;
55;{{flag|Israel}};296,073;
56;{{flag|Arizona}};295,445;
57;{{flag|Denmark}};294,951;
58;{{flag|Colombia}};293,243;
59;{{flag|Singapore}};292,734;
60;{{flag|Philippines}};291,965;
61;{{flag|Missouri}};287,207;
62;{{flag|Pakistan}};269,971;
63;{{flag|Connecticut}};259,661;
64;{{flag|Louisiana}};252,965;
65;{{flag|Chile}};240,222;
66;{{flag|Venezuela}};239,572;
67;{{flag|Ireland}};238,031;
68;{{flag|Finland}};229,671;
69;{{flag|Oregon}};225,661;
70;{{flag|Alabama}};207,303;
71;{{flag|Bangladesh}};205,715;
72;{{flag|Portugal}};199,077;
73;{{flag|South Carolina}};196,887;
74;{{flag|Greece}};195,320;
75;{{flag|Kentucky}};192,874;
76;{{flag|Peru}};192,141;
77;{{flag|Vietnam}};191,454;
78;{{flag|Qatar}};185,395;
79;{{flag|Czech Republic}};181,858;
80;{{flag|Oklahoma}};181,089;
81;{{flag|Romania}};177,315;
82;{{flag|Kazakhstan}};173,212;
83;{{flag|Algeria}};172,278;
84;{{flag|New Zealand}};172,248;
85;{{flag|Iraq}};169,460;
86;{{flag|Iowa}};168,089;
87;{{flag|Utah}};146,697;
88;{{flag|Kansas}};146,219;
89;{{flag|Nevada}};140,608;
90;{{flag|Arkansas}};122,492;
91;{{flag|District of Columbia}};121,798;
92;{{flag|Kuwait}};120,682;
93;{{flag|Hungary}};120,636;
94;{{flag|Nebraska}};112,208;
95;{{flag|Mississippi}};106,880;
96;{{flag|Morocco}};103,142;
97;{{flag|Angola}};102,979;
98;{{flag|Ecuador}};98,828;
99;{{flag|New Mexico}};90,810;
100;{{flag|Ukraine}};90,524;
101;{{flag|Slovak Republic}};86,629;
102;{{flag|Sudan}};83,612;
103;{{flag|Sri Lanka}};82,095;
104;{{flag|Hawaii}};79,595;
