Name;Developer/Manufacturer;Release Year;Current Model?;
datAshur PRO;iStorage Limited;2015;{{yes}};
diskAshur PRO²;iStorage Limited;2017;{{yes}};
SafeStick;BlockMaster;2004;{{yes}};
SafeStick SuperSonic;BlockMaster;2009;{{yes}};
IronKey S100;IronKey;2005;{{no}};
IronKey S200;IronKey;2009;{{yes}};
IronKey D200;IronKey;2009;{{yes}};
CryptX2;CryptX2 / Open Source;2012;{{yes}};
DataTraveler 5000;Kingston Technology;2010;{{yes}};
DataTraveler Locker+;Kingston Technology;;{{yes}};
DataTraveler Vault;Kingston Technology;;{{yes}};
DataTraveler Vault – Privacy Edition;Kingston Technology;;{{yes}};
JumpDrive SecureII Plus;Lexar;;{{yes}};
IronClad;Lockheed Martin;2010;{{yes}};
Cruzer Enterprise;SanDisk;;{{yes}};
Store 'n' Go Corporate;Verbatim;;{{yes}};
Kanguru Defender 2000;Kanguru Solutions;2012;{{yes}};
Name;Developer/Manufacturer;Release Year;Current Model?;
