File format;Office Open XML;OpenDocument;
Based on a format developed by;Microsoft;StarDivision / Sun Microsystems;
Predecessor file format;Microsoft Office XML formats;OpenOffice.org XML;
Standardized by;Ecma International, ISO/IEC;OASIS, ISO/IEC;
First public release date;2006;2005;
First stable version;Ecma International Standard ECMA-376 Office Open XML File Formats 1st edition;OASIS OpenDocument Format for Office Applications (OpenDocument) v1.0;
Latest stable version;ISO/IEC IS 29500-1:2012—Office Open XML File Formats[1];OASIS Open Document Format for Office Applications (OpenDocument) v1.2;
Latest ISO/IEC standardised version;ISO/IEC IS 29500-1:2012—Office Open XML File Formats[1];ISO/IEC IS 26300:2006—Open Document Format for Office Applications (OpenDocument) v1.0;
Language type;Markup language (XML);Markup language (XML);
XML schema representation;XML Schema (W3C) (XSD) and RELAX NG (ISO/IEC 19757-2);RELAX NG (ISO/IEC 19757-2);
Expression of extensibility rules;NVDL (ISO/IEC 19757-4);;
Compression format;ZIP;ZIP;
Container structure;Open Packaging Convention (ISO/IEC 29500-2:2012)[2];ODF Package[3];
Metadata format;Dublin Core (ISO 15836);subset of Dublin Core and “urn:oasis:names:tc:opendocument:xmlns:meta” elements;
Drawing language;DrawingML, VML;“urn:oasis:names:tc:opendocument:xmlns:drawing” elements and “urn:oasis:names:tc:opendocument:xmlns:svg-compatible” elements;
Mathematical notation language;Office MathML (OMML);MathML[4][5];
Change-tracking;{{yes|supported}}[6];{{yes|supported}}[7];
Conditional formatting in spreadsheets;{{yes|supported}}[8];{{yes|supported}}[9];
Spreadsheet formula language;{{yes|part of the standard}}{{Citation needed|date=May 2010}};{{yes|based on OpenFormula}};
Macro language;{{no|application-defined}};{{no|application-defined}};
Digital signatures;{{yes|part of the standard}}{{Citation needed|date=May 2010}};{{yes|supported}};
Thumbnails;JPEG (ISO/IEC 10918);PNG (ISO/IEC 15948);
Interchange of digital font information;Open Font Format (ISO/IEC 14496-22);;
PANOSE font specifications;{{yes|part of the standard}}[10];;
Filename extensions;docx, docm, xlsx, xlsm, pptx, pptm;odt, ods, odp, odg, odf;
Internet media types;application/vnd.openxmlformats-officedocument.wordprocessingml.document application/vnd.ms-word.document.macroEnabled.12 application/vnd.openxmlformats-officedocument.spreadsheetml.sheet application/vnd.ms-excel.sheet.macroEnabled.12 application/vnd.openxmlformats-officedocument.presentationml.presentation application/vnd.ms-powerpoint.presentation.macroEnabled.12;application/vnd.oasis.opendocument.text application/vnd.oasis.opendocument.spreadsheet application/vnd.oasis.opendocument.presentation application/vnd.oasis.opendocument.graphics application/vnd.oasis.opendocument.formula;
Application support;Office Open XML software;OpenDocument software;
Standard licensing;ISO/IEC copyrighted free download[11] Ecma copyrighted free download / copying allowed;ISO/IEC copyrighted free download[11] OASIS copyrighted free download / copying allowed;
Additional technology patent licensing;Reasonable and Non Discriminatory Licensing (RAND-Z) Microsoft Open Specification Promise (OSP)[12] | url=http://www.microsoft.com/interop/osp/ | title=Microsoft Open Specification Promise | accessdate=2008-12-05 }} Microsoft Covenant Not to Sue (CNS)[13] | url=http://office.microsoft.com/en-us/products/HA102058151033.aspx | title=Ecma Office Open XML File Formats overview | accessdate=2008-12-05 }};Sun Microsystems intellectual property covenant IBM Interoperability Specifications Pledge[14];
Implementations covered by patent license;{{yes|Patent license covers conforming implementations}}[12];{{yes|Patent license covers fully compliant implementations}}[14];
Implemented;{{yes|Microsoft Office 2013}} (and later)[15][16][17][18] and LibreOffice (for Microsoft Office 2007 Office Open XML);{{yes|Many including LibreOffice, OpenOffice.org, KOffice, AbiWord, Lotus Notes and Microsoft Office (since 2007 SP2)}};
File format;Office Open XML;OpenDocument;
