Application and developer;Latest version/release + date;Schematic?;Simulation?;PCB editing?;Runs on POSIX style systems?;Runs on Windows?;Other platforms?;Open source?;User Interface Language(s);Imports;Exports;Scripting support;
Advanced Design System by Keysight EEsof EDA;2019 {{Start date and age|2018|11|15|p=1|br=1|df=yes}}[1];{{yes}};{{yes}};{{yes}};{{yes}}[2];{{yes}}[2];SuSE, RHEL[2];{{nonfree|No}};en;HSPICE, SPICE, Spectre netlists; Gerber, Excellon, ODB++, artwork; more;HSPICE, SPICE, Spectre netlists; Gerber, Excellon, ODB++, artwork; more;Python, Application Extension Language (proprietary; "AEL");
Active-HDL by Aldec;10.3 {{Start date and age|2016|3|16|p=1|br=1|df=yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{nonfree|No}};en;EDIF, Viewlogic, more;PDF, HTML, Verilog, VHDL, EDIF, Zuken, more;
Altium Designer (former Protel) by Altium;18.1 {{Start date and age|2018|4|26|p=1|br=1|df=yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};Wine;{{nonfree|No}};Multilingual;OrCAD, Allegro, PADS Logic, PADS PCB, Expedition, DxDesigner, EAGLE, Gerber, STEP, Solidworks, IDF, more;3D PDF, Gerber, Gerber X2, Excellon, ODB++, DXF, STEP, OrCAD, EAGLE, more;Delphi, JS, VB;
CADSTAR, Board Designer, and Visula by Zuken;18 {{Start date and age|2017|06|30|p=1|br=1|df=yes}};{{yes}};{{yes}}, Spice;{{yes}};{{no}};{{yes}};{{no}};{{nonfree|No}};en;PADS, OrCAD, P-CAD, Protel, DXF, IDF;PDF, Gerber, Excellon, ODB++, DXF, IDF more;
CircuitLogix by Logic Design Inc.;Release 9.1 {{Start date and age|2013|01||p=1|br=1|df=yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{nonfree|No}};en;SPICE, Gerber, DXF;SPICE, PDF, Gerber, DXF;;
CircuitMaker by Altium;1.3.0.119 {{Start date and age|2016|08||p=1|br=1|df=yes}};{{yes}};{{no}};{{yes}};{{no}};{{yes}};Wine;{{nonfree|No}};en;AD09, AD10, AD12, PADS, P-CAD, OrCAD, Protel, EAGLE, DXF;Gerber, Excellon, DXF, STEP, more;
CircuitStudio by Altium;1.5.1.13 {{Start date and age|2018|5|25|p=1|br=1|df=yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};Wine;{{nonfree|No}};en;AD09, AD10, AD12, PADS, P-CAD, OrCAD, Protel, EAGLE, DXF;Gerber, Excellon, SPICE, DXF, STEP, more;
CR-5000 by Zuken;13 {{Start date and age|2011|05|17|p=1|br=1|df=yes}};{{yes}};{{yes}}, SI & PI;{{yes}};{{yes}};{{yes}};Unix, Linux;{{nonfree|No}};en, jp;EDIF, DXF, IGES, IDF, BSDL, STEP, ACIS, Gerber, Excellon, more;PDF, Gerber, Excellon, ODB++ (must request[3]), DXF, STEP, IPC D-356, IPC-2581, EPS, ACIS;
DipTrace by Novarm;3.3.1.0 {{Start date and age|2018|11|29|p=1|br=1|df=yes}};{{yes}};{{yes|External}} (Spice netlist export);{{yes}};{{Yes}};{{yes}};Mac, Wine;{{nonfree|No}};21 languages;EAGLE, Altium, P-CAD, PADS, OrCAD, Gerber, N/C Drill, DXF, BSDL Pinlist, Netlists;Gerber, Gerber X2, Excellon, ODB++, DXF, P-CAD, PADS, OrCAD, IPC-D-356, STEP, VRML, Pick and Place, CSV, BOM;
DesignSpark PCB from RS Components;8 {{Start date and age|2016|06|16|p=1|br=1|df=yes}};{{yes}};{{Yes}}, Spice;{{yes}};{{no}};{{yes}};{{no}};{{nonfree|No}};Various;EAGLE, DXF, EDIF;Gerber, Excellon, ODB++, DXF, IDF, PDF, LPKF;
