Symbol;Languages;
comment ~ ;;ALGOL 60, SIMULA;
¢ ~ ¢, # ~ #, co ~ co, comment ~ comment;ALGOL 68[12][13];
/* ~ */;ActionScript, AutoHotkey, C, C++, C#, D,[14] Go, Java, JavaScript, kotlin, Objective-C, PHP, PL/I, Rexx, Rust (can be nested), Scala (can be nested), SAS, SASS, SQL, Swift, Visual Prolog, CSS;
#cs ~ #ce;AutoIt[15];
/+ ~ +/;D (can be nested)[14];
/# ~ #/;Cobra (can be nested);
<# ~ #>;Powershell;
=begin ~ =cut;Perl;
#`( ~ );Perl6 (bracketing characters can be (), <>, {}, [], any Unicode characters with BiDi mirrorings, or Unicode characters with Ps/Pe/Pi/Pf properties);
=begin ~ =end;Ruby;
#<[[Tag (metadata)|TAG]]></code> ~ <code>#</[[Tag (metadata)|TAG]]></code>, <code>#stop</code> ~ <code>[[End-of-file|EOF]]</code>,<br /><code>#iffalse</code> ~ <code>#endif</code>, <code>#ifntrue</code> ~ <code>#endif</code>,<br /> <code>#if false</code> ~ <code>#endif</code>, <code>#if !true</code> ~ <code>#endif</code>;S-Lang[16];
{- ~ -};Haskell (can be nested);
(* ~ *);Delphi, ML, Mathematica, Object Pascal, Pascal, Seed7, Applescript, OCaml (can be nested), Standard ML (can be nested), Maple, Newspeak, F#;
{ ~ };Delphi, Object Pascal, Pascal;
~ #|;Curl;
%{ ~ %};MATLAB[11] (the symbols must be in a separate line);
~ |#;Lisp, Scheme, Racket (can be nested in all three).;
--[[</code> ~ ]], --[=[ ~ ]=];Lua (the former form can be nested, but only within the latter, which can't be nested);
" ~ ";Smalltalk;
(comment ~ );Clojure;
