;C, C++;Java;C#;VB, VBScript;Delphi, Pascal;Ada;D;IDL;Access;Fortran;
Ddoc;{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{Yes}};{{No}};{{No}};{{No}};
Document! X;C++/CLI only;{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{Yes}};{{Yes}};{{No}};
Doxygen;{{Yes}};{{Yes}};{{Yes}};with Plugin{{efn|name=fn2|Though not supported as a native input language, Doxygen can be extended through the use of filters. Examples include Visual Basic, VB.NET, Perl, and Pascal.[3]}};with Plugin{{efn|name=fn2}};{{No}};Partial;{{Yes}};{{No}};{{Yes}};
Epydoc;{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
Haddock;{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
HeaderDoc;{{Yes}};{{Yes}};{{No}};{{No}};{{Yes}};{{No}};{{No}};{{Yes}};{{No}};{{No}};
Imagix 4D;{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
Javadoc;{{No}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
JSDoc;{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
JsDoc Toolkit;{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
Natural Docs;Partial;Partial;{{Yes}};Partial;Partial;Partial;{{No}};{{No}};{{No}};Partial;
NDoc;{{No}};{{No}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
perldoc;{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
phpDocumentor;{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
pydoc;{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
RDoc;Partial;{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
ROBODoc;{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};
Sphinx;{{Yes}};with Plugin;{{No}};{{No}};{{No}};with Plugin;{{No}};{{No}};{{No}};with Plugin;
Visual Expert;{{No}};{{No}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
VSdocman;{{No}};{{No}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
YARD;{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
! C, C++;Java;C#;VB, VBScript;Delphi, Pascal;Ada;D;IDL;Access;Fortran;
