;Data compression;Shell integration;Password protection;Multiple volumes;Self extraction;File repairing;Batch conversion;Unicode file / directory names{{Ref label|unicode-names|5}};Encryption;Filename Encryption;
7-Zip;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};
ALZip;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}{{Ref label|features-ALZip|8}};{{no}};{{unk}};{{unk}};
Archive Manager;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{Yes}};{{Yes}};{{Yes}};
Archive Utility;{{yes}};{{yes}};{{no}};{{unk}};{{no}};{{no}};{{yes}};{{yes}};{{unk}};{{unk}};
ARJ;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{unk}};{{unk}};{{unk}};
Ark;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};
B1 Free Archiver;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
BetterZip;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};
bsdtar/libarchive;{{no}}{{Ref label|tar-compression|2}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{unk}};{{unk}};
Commander One;{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{unk}};{{yes}} for 7z;
CRAX Commander;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};
Disk ARchiver;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Filzip;{{yes}};{{yes}};{{yes}};{{unk}};{{yes}};{{no}};{{no}};{{unk}};{{unk}};{{unk}};
FreeArc;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
GNU tar;{{no}}{{Ref label|tar-compression|2}};{{yes}};{{no}};{{yes}};{{no}};{{partial|}}Separate;{{yes}};{{yes}};{{unk}};{{unk}};
iArchiver;{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{unk}};{{unk}};
Info-ZIP;{{yes}};{{no}}{{Ref label|infozip-shell|11}};{{yes}};{{yes}}{{Ref label|infozip-since30|12}};{{yes}};{{yes}};{{yes}};{{yes}}{{Ref label|infozip-since30|12}};{{partial|}}Weak;{{no}};
KGB Archiver;{{yes}};{{partial|}}Not enabled by default;{{yes}};{{unk}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{unk}};
PeaZip;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}{{Ref label|unicode-peazip|9}};{{yes}}{{Ref label|encryption-peazip|10}};{{yes}};
PKZIP;{{yes}};{{yes}};{{yes}};{{no}};{{partial|}}Separate;{{partial|}}Separate;{{no}};{{yes}};{{yes}};{{unk}};
PowerArchiver;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}{{Ref label|powerarchiver|7}};{{yes}};{{yes}};{{yes}};
StuffIt;{{yes}};{{yes}};{{yes}};{{unk}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{unk}};
The Unarchiver;{{no}}{{Ref label|decompress-only|1}};some formats;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}{{Ref label|decompress-only|1}};{{yes}};{{unk}};
TUGZip;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{unk}};
WinAce;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{unk}};
WinRAR and RAR;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}{{Ref label|features-WinRAR|3}};{{yes}};{{yes}}{{Ref label|winrar-7z|6}};{{yes}};{{yes}};
WinZip;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}{{Ref label|batch-winzip|10}};{{yes}};{{yes}};{{yes}};
XAD;{{no}}{{Ref label|decompress-only|1}};{{yes}};{{yes}};{{unk}};{{yes}};{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};
Xarchiver;{{yes}};{{yes}};{{yes}};{{unk}};{{yes}};{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};
ZipGenius;{{yes}};{{yes}};{{yes}};{{unk}};{{yes}};{{unk}};{{yes}};{{no}};{{unk}};{{unk}};
! Data compression;Shell integration;Password protection;Multiple volumes;Self extraction;File repairing;Batch conversion;Unicode file / directory names{{Ref label|unicode-names|5}};Encryption;Filename Encryption;
