OS;Version;Claimed IPv6-ready;Installed by default;DHCPv6;ND RDNSS;Notes;
AIX;4.3;{{yes}};{{yes}};{{yes}};{{no}};;
AlliedWare Plus;5.4.4;{{yes}};{{yes}};{{yes}};{{no}};;
Android;5.0 (Lollipop);{{Yes}}[1][2];{{yes}};{{no}}[3];{{yes}};Supports ND-RDNSS in Android 5.0 and above. Does not support DHCPv6.[3] Suffers from intermittent loss of its unicast address on some phones.[4];
ChromeOS;67.0.3396.99;{{yes}};{{yes}};{{no}};{{no}};Does not support DHCPv6 or RDNSS.;
Cisco IOS;15.3;{{yes}};{{yes}};{{yes}};{{yes}}[5];Support for RDNSS option as of 15.4(1)T, 15.3(2)S.;
Cisco Meraki;MX + MR + MX series;{{no}};{{no}};{{no}};{{no}};[6] Devices can only carry / pass through IPv6 on bridge, but not route;
Debian;3.0 (woody);{{yes}};{{yes}};{{yes}};{{yes}};RDNSS support with "rdnssd" and "resolvconf" or "openresolve" packages.;
Fedora;13;{{yes}};{{yes}}[7];{{yes}}[7];{{yes}}[7];;
FreeBSD;9.0;{{yes}}[8];{{yes}};{{partial|Addon}}[9];{{yes}}[10];;
HP-UX;11i;{{yes}};{{yes}};{{yes}};{{yes}};[11];
IBM i;7.1;{{yes}};{{yes}};{{yes}};{{no}};[12];
iOS;4.1;{{yes}};{{yes}};{{yes}};{{yes}}[13];iOS supports stateless DHCPv6 since version 4 and stateful DHCPv6 since 4.3.1.;
Juniper JUNOS;14.1;{{yes}};{{yes}};{{yes}};{{yes}};RDNSS support introduced in JUNOS 14.1[14];
macOS;Mac OS X 10.7 (Lion);{{yes}};{{yes}};{{yes}}[15];{{yes}}[16];Versions 10.7 through 10.10 often prefer IPv4 even when working IPv6 connectivity is available.[17] Versions 10.11 and up will prioritize IPV6 Traffic in spec with Happy Eyeballs.[18];
MeeGo;1.2;{{no}}[19];{{yes}}[20];{{no}};{{yes}}[21];;
NetBSD;7.0;{{yes}};{{yes}};{{yes}};{{yes}};;
OpenBSD;5.2;{{yes}};{{yes}};{{partial|Addon}}[9];{{yes}};RDNSS is only supported for rtadvd so far.;
openSUSE;42.1 (Leap);{{yes}}[22];{{yes}};{{yes}};{{yes}};openSUSE Leap 42.1 is a hybrid distribution using source code from SUSE Linux Enterprise 12 Service Pack 1.;
OpenVMS;8.3;{{yes}};{{yes}};{{no}};{{no}};;
Red Hat Enterprise Linux;6;{{yes}}[23];{{yes}};{{yes}}[9];{{yes}};;
Solaris;10;{{yes}};{{yes}};{{yes}};{{no}};Not enabled by default.;
Solaris;11;{{yes}};{{yes}};{{yes}};{{yes}}[24];;
SUSE Linux Enterprise Server;11;{{yes}}[25];{{yes}};{{yes}};{{yes}};;
Symbian;7.0;{{yes}};{{yes}};{{no}};{{no}};[3]{{dead link|date=August 2017 |bot=InternetArchiveBot |fix-attempted=yes }};
Ubuntu;All supported versions;{{yes}};{{yes}};{{yes}};{{yes}};RDNSS support available so long as NetworkManager uses IPv6 "Automatic" setting, otherwise "rdnssd" package required.;
webOS;2.1.0;{{no}};{{no}};{{no}};{{no}};[26];
Windows NT [includes Windows 10 Mobile];5.1 (XP);{{yes}};{{no}};{{partial|Addon}}[9];{{no}};Windows XP users can use Dibbler, an open source DHCPv6 implementation.--update: Windows XP fully supports IPv6- but NOT IPv6 DNS queries (nslookup)[27];
6.X (Vista), 7, 8, 8.1, 10 RTM-Anniversary Update;{{yes}}[28];{{yes}};{{yes}}[9];{{no}};dnssd-win32 provides an open source implementation of ND RDNSS[29];
10 Creators Update;{{yes}}[28];{{yes}};{{yes}}[9];{{yes}};Windows 10 Creators Update introduces support for RFC 8106 (6106) RDNSS.;
Windows Mobile;6.5;{{yes}};{{yes}};{{partial|Lite}}[30];{{no}};If the OEM explicitly unsets the SYSGEN_TCPIP6 pre-processor symbol, the built image will not have any IPv6 capabilities.;
Windows Phone;7.5;{{no}};{{no}};{{no}};{{no}};Windows Phone 8 might have some support.[31];
8(.1)[32];{{yes}};{{yes}};{{yes}};{{no}};Private lab research. No privacy extensions (RFC4941).;
z/OS;V1R4.0;{{yes}};{{yes}};{{no}}[33];;;
z/VM;V5R1.0;{{yes}};{{yes}};{{no}};{{no}};[34];
z/VSE;V4R2;{{partial|Addon}}[35];{{no}};;;Via a third party TCP/IP stack, IP6/VSE from Barnard Software, Inc.;
