Portuguese;Spanish;English;
cola (< Lat. {{sm|coloere}});pegamento, cola (< Lat. {{sm|pix}}, < Lat. {{sm|coloere}});glue;
vaso (< Lat. {{sm|vasum}});maceta, tiesto (< Hisp.-Ar. maceta, maybe < Ital. mazzetto; < Lat. {{sm|testu}});vase, flowerpot;
floco (< Lat. {{sm|floccus}});copo (< Lat. {{sm|cuppa}});flake;
competência (< Lat. {{sm|competentia}});aptitud, capacidad (< Lat. {{sm|aptit?do; capac?t?tis}});competence, competency;
despido (< Lat. {{sm|expedire}});desnudo (< Lat. {{sm|ex}} + {{sm|nudus}});naked;
osso (< Lat. {{sm|ossum}});hueso (< Lat. {{sm|ossum}});bone;
pez (< Lat. {{sm|pix}});brea (< Fr. brayer);pitch, resin;
polvo (< Gr. {{sm|????????}});pulpo (< Gr. {{sm|????????}});octopus;
tenda (< Lat. {{sm|tenda < tend?re}});tienda, lona, toldo (< Lat. {{sm|tenda < tend?re}}; < Fr. Olonne; < Fr. taud < Old Germ. tialz);tent, marquee;
ganância (< Gothic {{sm|ganan}});codicia, avaricia, afán (< Lat. {{sm|cupiditia}}; < Lat. {{sm|avaritia}}; probably < Lat. {{sm|afannae}});greed, avarice, covetousness;
inversão (< Lat. {{sm|inversionis}});inversión (< Lat. {{sm|inversionis}});inversion;
embaraçada (< Lat. {{sm|in}} + O.Port. baraça, of uncertain origin);avergonzada (< Lat. {{sm|verecundia}});embarrassed;
estafa (< Ital. staffa);agotamiento, fatiga, extenuación (< Lat.{{sm|gutta}}; < Lat.{{sm|fatig?re}}; < Lat. {{sm|extenu?re}});exhaustion, tiredness, wear out;
esquisito (< Lat. {{sm|exquisitus}});raro, extraño, peculiar (< Lat. {{sm|rarus}}; < Lat. {{sm|extr?neus}}; < Lat. {{sm|peculi?ris}});odd, strange, peculiar;
moléstia (< Lat. {{sm|molestiae}});enfermedad, achaque, plaga, peste (< Lat. {{sm|infirmitas}}; < Ar. šak?; < Lat. {{sm|plaga}}; < Lat. {{sm|pestis}} );disease, plague;
serviço (< Lat. {{sm|servitium}});servicio (< Lat. {{sm|servitium}});service;
perro (origin uncertain, maybe < Sp. perro);oxidado (< Greek {{sm|oxis}} + Lat. suffix {{sm|-tatus}});rusty;
berro (< Lat. {{sm|barrire}});chillido, berrido (< Lat. {{sm|cisclare}}; < Lat. {{sm|barrire}});screech, shriek;
aceite (< Lat. {{sm|accept?re}});aceptado (< Lat. {{sm|accept?re}});accepted;
oficina (< Lat. {{sm|offic?na}} < {{sm|officium}});taller; taller de coches; taller mecánico de autos (< Old Fr. astelier; < Old Fr. estalier + Lat. {{sm|cocca}}; < Old Fr. astelier + Lat. {{sm|mechanicus}} + Gr. ????);auto repair centre, repair garage, workshop;
firma (< Lat. {{sm|firmus}});empresa; compañía; sociedad, negocio (< Lat. {{sm|prenhendere; companio; societas; nec otium}});business, firm, company, corporation, enterprise, venture, establishment, group, house;
presunto (< Lat. {{sm|persuctus}});jamón (< Fr. jambon);ham, prosciutto;
risco (< Lat. {{sm|reseca}});riesgo (< Arabic rizq[2] or maybe Italian rischio}});risk, line;
topo (< Gr. {{sm|tópos}});cumbre (< Lat. {{sm|columen}} or {{sm|culmen}});top;
