Name;Developer;Status;First release;Latest release;Current version;Based on;License;Source available;
AbsoluteTelnet;Celestial Software (Brian Pence);{{site active}};1996;2016-10-12;10.16[1];;{{Proprietary}};{{no}};
Bitvise;Bitvise Limited;{{site active}};2001;2018-11-07;8.18[2];;{{Proprietary}};{{no}};
Cisco CLI Analyzer;Cisco Systems Inc;{{site active}};2015;2018-09-06;3.6.1 [3];;{{Proprietary}};{{No}};
ConnectBot;Kenny Root / Jeffrey Sharkey;{{site active}};2007-11;2018-11-09;1.9.2 [4];Trilead SSH-2 for Java;{{free|Apache}};{{yes}};
CRAX Commander;Soft4U2 Marcin S?owik;{{site active}};2013-09;2015-12-01;1.10.6;libSSH2;{{Proprietary}};{{yes}};
Dropbear;Matt Johnston;{{site active}};2003-04-06;2017-05-18;2017.75;;{{free|MIT}};{{yes}};
eSSH Client;Ecode Software;{{site inactive}};2002-07;;;;{{Proprietary}};{{no}};
GSW ConnectBot;Georgia SoftWorks;{{site active}};2018;2018-11-09;2.5.003 [5];Trilead SSH-2 for Java;{{Proprietary}};{{No}};
lsh;Niels Möller;{{site active}};1999-05-23;2013-06-26;2.1;;{{free|GPL}};{{yes}};
OpenSSH;The OpenBSD project;{{site active}};1999-12-01;2018-10-19;7.9;ossh;{{free|BSD}};{{yes}};
PACManager;David Torrejón Vaquerizas;{{site active}};2010-01-01;2016-07-21;4.5.5.7;OpenSSH, Telnet, FTP, vncviewer, rdesktop, cu, remote-tty, mosh, cadaver;{{free|GPL}};{{yes}};
PuTTY;Simon Tatham;{{site active}};1999-01-22;2017-07-08;0.70[6];;{{free|MIT}};{{yes}};
Reflection for Secure IT;Attachmate;{{site active}};;2012-11-12;;F-Secure SSH;{{Proprietary}};{{no}};
SecureCRT;VanDyke Software;{{site active}};1998-06;2018-11-15;8.5.2[7];;{{Proprietary}};{{no}};
SSH Tectia Client/ConnectSecure;SSH Communications Security (former Tectia);{{site active}};1995-07;2017-06-22;6.4.15;Own implementation in C;{{Proprietary}};{{no}};
SSH Secure Shell Client;SSH Communications Security Corp.;{{site inactive}};2000;2003;3.2.9[8];;{{Proprietary}};{{no}};
SunSSH;Open Solaris;{{site active}};2001;;;OpenSSH 2.3;{{free|CDDL}};{{yes}};
Tera Term;TeraTerm Project;{{site active}};2004;2018-08-31;4.100[9];Tera Term Pro 2.3 (1994–1998);{{free|BSD}};{{yes}};
Termius;Crystalnix Limited;{{site active}};2012;2017-01-08;;;{{Proprietary}};{{no}};
TN3270 Plus;SDI USA, Inc.;{{site active}};2006;;;;{{Proprietary}};{{No}};
TtyEmulator;FCS Software;{{site active}};2002-05;;;;{{Proprietary}};{{no}};
Xshell;NetSarang Computer, Inc.;{{site active}};2002-11-02;2018-12-11;6.0.0109[10];;{{Proprietary}};{{no}};
ZOC Terminal;EmTec, Innovative Software;{{site active}};1995-07-01;2018-10-17;7.21.1[11];;{{Proprietary}};{{no}};
