;Inverse search[7];DDE support[8];Organises Projects;Menu for inserting symbols;Document comparison;Spell-checking;Multiple undo-redo;
AUCTeX;{{yes}};{{no}};{{partial}} (master file);{{yes}};{{yes}};{{yes}}[9];{{yes}};
  Authorea ;{{yes}};{{N/A}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};
Auto-Latex Equations for Google Docs;{{yes}};{{N/A}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};
CoCalc;{{yes}};{{N/A}};{{no}};{{no}};{{no}};{{yes}};{{yes}};
Gummi;{{yes}};{{N/A}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};
Kile;{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};
GNOME-LaTeX;{{yes}};{{N/A}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};
LEd;{{yes}};?;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};
LyX;{{yes}};?;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};
MeWa;{{no}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};
Notepad++;{{yes}}, with SumatraPDF;{{yes}}, with a DDE client;{{yes}};{{partial}}[10];{{yes}};{{yes}};{{yes}};
Scientific WorkPlace;{{N/A}};?;?;{{yes}};{{no}};{{yes}};{{no}} (one level);
ShareLaTeX;{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};
TeXmacs;{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};
Texmaker;{{yes}};{{no}};{{partial}} (master file);{{yes}};{{no}};{{yes}};{{yes}};
TeXnicCenter;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};
TeXShop;{{yes}};{{no}};{{no}};{{yes}}[11];{{no}};{{yes}};{{yes}};
TeXstudio;{{yes}};{{yes}};{{partial}} (master file);{{yes}};{{yes}};{{yes}};{{yes}};
TeXworks;{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}}[12];{{yes}};
Verbosus;{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};
WinEdt;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
WinShell;{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};
Inverse search;DDE Support;Organises Projects;Menu for inserting symbols;Document comparison;Spell-checking;Multiple undo-redo;;
