CIN;Cineon;;;.cin;image/cineon;;;
Corel Paint Shop Pro Pattern;;;;.pat;;Supported by Corel Paint Shop Pro;;
CPC;Cartesian Perceptual Compression;Cartesian Products, Inc.;;.cpc, .cpi;image/cpi;Highly compressed raster imaging format.;{{No|Yes}};
CPKT;APP5-CPKT Format;;JPEG;.jpg, .jpe, .jpeg;image/jpeg;Used by PROSERPINE.;;
CPT;Corel Photo-Paint Image;;;.cpt;;Variant of TIFF up to and including version 6.0; proprietary as of 7.0 (1997);;
Crack Art;;Detlef Röttger & Jan Borchers;;.ca1, .ca2, .ca3;;An application on Atari ST;;
CUT;;;;.cut;;Used by DSHELL.;;
CMYK;;;;.cmyk;;;;
CMYKA;;;;.cmyka;;;;
DCS;Kodak DCS Pro RAW;Kodak;;.dcs;;;;
DCR;Digital Camera Raw;Kodak;TIFF;.dcr;;;;
DDS;DirectDraw Surface;Microsoft;;.dds;;;;
Degas;Design & Entertainment Graphic Arts System;Integral Solutions;;.pi1, .pi2, .pi3, .pc1, .pc2, .pc3;;An application on Atari ST;;
DNG;Digital Negative;Adobe Systems;Compatible with ISO 12234-2, TIFF/EP[3];.dng;;A raw image format suitable as an archival format and as the native raw format of digital cameras[4];No: no known intellectual property encumbrances or license requirements[5];
DIA;Dia Drawing;;XML;.dia;;Used by Dia;;
DICOM;Digital Imaging and Communications in Medicine;National Electrical Manufacturers Association;;.dcm, .dicom;application/dicom[6];Numerous biomedical imaging applications[6] (e.g. OsiriX, XMedCon), some general bitmap graphics applications (e.g. GIMP, Photoshop);;
DjVu;DjVu;AT&T Research;;.djvu, .djv;image/vnd.djvu;;;
Doodle;;;;.doo;;An application on Atari ST;;
DPX;Digital Picture eXchange file format;;;.dpx;image/dpx;;;
DRF;Kodak Pro Back RAW;Kodak;;.drf;;;;
Dr. Halo;;;;.cut;;;;
Encapsulated PostScript;page description/scripting language (see PostScript);Adobe;;.epi, .eps, .eps2, .eps3, .epsf, .epsi, .ept;application/postscript;printing/publishing industry standard format;;
ECW;Enhanced Compressed Wavelet;ERDAS;;.ecw;;Wavelet image format used primarily with geo-referenced aerial and satellite imagery;{{Yes|No}};
EDG;EDGE2 Original Format;TAKABO;;.edg;;Used by EDGE2;;
EMF;Enhanced Metafile Format;Microsoft;;.emf, .emz;;Microsoft Office;;
EMF+;Enhanced Metafile Format Plus Extensions;Microsoft;;.emf, .emz;;;;
ERF;EPSON RAW;EPSON;TIFF;.erf;;;;
ERI;Entis Rasterized Image format;;;.eri;;;;
Exif;Exchangeable Image File Format;;;.exif;;;;
EVA;Extended Vector Animation;Sharp Corporation;;.eva;application/x-eva;;;
EXR;OpenEXR;ILM;;.exr;image/exr;Used in film effects for 3d rendering and hdr images.;{{dunno}};
Farbfeld;;Laslo Hunhold;;.ff;;Very simple lossless bitmap format used for image processing.;{{Yes|No}};
FIF;Fractal Image Format;;;.fif;;;;
FIG;FIG format;;;.fig;application/x-xfig;Supported by Xfig;;
FITS;Flexible Image Transport System;;;.fit, .fits;;Scientific (esp. astronomical) data acquisition;;
FLA;Flash Source File;;;.fla;;;;
FLIC;;Autodesk;;.fli, .flc, .flx, .flh, .flt;;Supported by GIMP;;
FLIF;Free Lossless Image Format;;;.flif, .flf;;General-purpose lossless image compression, superior compression.;{{Yes|No}};
Kivio Document;;;.flw;;Supported by Kivio;;
FPX;FlashPix (1.0.2);;;.fpx;image/vnd.fpx;;;
FreeHand;;Adobe Systems;;.fh4, .fh5, .fh7, .fh8, .fhc, .fh;image/x-freehand;;;
FutureSplash;;Adobe Systems;;.spl;application/futuresplash;;;
FXT;;3DFX;;.fxt;;;;
GEGL composition;;;XML;.xml;application/xml;Used by GEGL;;
Gerber Format;The Gerber Format Specification[7];Ucamco;Printable ASCII;.gbr;application/vnd.gerber;Printed Circuit Board or PCB software;{{Yes|No}};
GIF;Graphics Interchange Format;CompuServe, Unisys (compression algorithm);;.gif, .gfa, .giff;image/gif;Supported by most web browsers. Supports transparency and animation.;Expired;
GIMP brush;;The GIMP Team;;.gbr;;Supported by GIMP;;
GIMP compressed XJT image;;The GIMP Team;JPEG, tar;.xjt, .xjtgz (compressed), .xjtbz2 (compressed);None. Lossy format, not suitable for editing;Supported by GIMP;;
GIH;Gimp image hose;The GIMP Team;;.gih;;Supported by GIMP;;
GIMP patterns;;The GIMP Team;;.pat;;Supported by GIMP;;
GRA;;;;.gra;;Used by QSV and QLD.;;
G3 Fax;;;;.g3;;Supported by GIMP;;
Hasselblad 3FR RAW;;;TIFF;.3fr;;;;
Hasselblad/Imacon FFF;;;;.fff;;;;
HEIF;High Efficiency Image Format;Motion Pictures Expert Group (MPEG);;.heif, .heic;image/heif, image/heic, image/heic-sequence, image/heif-sequence;;{{No|Yes}};
HDRi;;;TIFF;.tif, .tiff;image/tiff;;;
HG;Hyper Graphic Press;;;.hg;;Supported by some old Japanese applications.;;
ICER;;NASA Mars Rovers;;;;;;
IIQ RAW;Intelligent Image Quality RAW;Phase One;;.iiq;;;;
IMA;.ima;.ima team;;.ima;;Format for photographic images with HDR encoding.;{{Yes|No}};
IMG (GEM Paint);;;;.img;;Supported by GEM Paint;;
IMG (ERDAS IMAGINE);ERDAS IMAGINE;ERDAS;Hierarchical File Architecture (HFA);.img;;Image format used primarily with geo-referenced imagery, thematic grid data, and elevation grid data.;{{No|Yes}};
im4;;Masahide Hirabayashi;;.im4;;;;
Inkscape SVG;;The Inkscape Team;SVG;.svg, .svgz;image/svg+xml;Used by Inkscape;;
ICO;ICO file format;Microsoft;;.ico, .cur;image/vnd.Microsoft.icon, image/x-icon;Used by Microsoft Windows and web browsers as favicon;;
ICS;Image Cytometry Standard;;;.ics, .ids;;;;
IGES;Initial Graphics Exchange Specification;;;.igs;image/iges;CAD/CAM interoperability;{{Yes|No}};
ILBM;InterLeaved BitMap;Electronic Arts and Commodore Amiga;IFF;.iff, .ilbm, .lbm;image/x-ilbm;Planar graphics format designed for Amiga graphics hardware.;{{Yes|No}};
IPTC/NAA;IPTC/NAA;;TIFF;;;;;
JBIG;;Joint Bi-level Image Experts Group;;.jbig, .bie, .jbg;;;;
JBIG2;;Joint Bi-level Image Experts Group;;;;;;
JNG;JPEG Network Graphics;;;.jng;image/x-jng;;{{Yes|No}};
JPEG;Joint Photographic Experts Group;Joint Photographic Experts Group;;.jpg, .jpeg, .jpe (containers: .jif, .jfif, .jfi);image/jpeg;Photographic images. Supported by most web browsers.;Expired (see also Forgent);
JPEG 2000;Joint Photographic Experts Group 2000;Joint Photographic Experts Group;;.jp2, .j2c, .jpc, .j2k, .jpx;image/jp2;Photographic images, eventual replacement for JPEG.;Yes (no licence costs for part 1);
JPEG-LS;;Joint Photographic Experts Group;;.jls;;;;
JPEG-HDR;;Dolby Laboratories/BrightSide Technologies;JPEG;;;HDR format based on RGBE floating-point encoding and backward-compatible extensions to JFIF format; included in JPEG XT Part 2.;;
JPEG XT;;Joint Photographic Experts Group;;;;Backwards-compatible extension of the JPEG format for high bit depth and floating point HDR encoding of lossy and lossless images;;
JPEG XR / HD Photo;JPEG XR / HD Photo;Microsoft;;.wdp, .hdp, .jxr;image/vnd.ms-photo;TIFF-like container format with HDR encoding for photographic images;Yes (royalty-free);
J6I;;RICOH;JPEG;.j6i;;Used by RICOH DC-1/2;;
KDC;Kodak DC40/DC50 RAW;Kodak;TIFF;.kdc;;;;
KOA;;;;.koa, .gg (compressed);;Supported by Koala Paint;;
KIFF;Kt Interchange File Format;;;.kif, .kiff;;;;
KISS CEL;;;;.cel;;Supported by GIMP;;
Kodak TIFF extensions;;Kodak;TIFF;.tif;;;;
Kodak YCC;;Kodak;;.pcd;;;;
KQP;;Minolta;JPEG;.kqp;;;;
K25;Kodak DC25 RAW;Kodak;TIFF;.k25;;;;
Leaf Mosaic RAW;;;TIFF;.mos;;;;
LightStream Picture;;;;.lsp;;;;
Logluv TIFF;;Greg Ward;TIFF;;;Supported by Libtiff;;
Mac Paint;;;;.pnt, .mac;;;;
MDC;Minolta RD175 Format;Minolta;;.mdc;;;;
MET;OS/2 Metafile Format;;;.met;;Supported by SAS/GRAPH;;
MNG;Multiple-image Network Graphics;;PNG;.mng;video/x-mng;;{{Yes|No}};
MO:DCA;MO:DCA;IBM;;.mda, .ica, .mmr, .afp;image;IBM's Content Manager and Image Plus;{{No|Yes}};
MSP;Microsoft Paint;Microsoft;;.msp;;;;
MYD;Myd format;;;.myd;;;;
MYV;Myv vector format;;;.myv;;;;
NEF;Nikon RAW;Nikon;TIFF;.nef;;;;
MEF;Mamiya RAW;Mamiya;TIFF;.mef;;;;
Neochrome;;Dave Staugas;;.neo;;An application on Atari ST;;
MAG;MAKIchan Graphic loader;Woody-Rinn;;.mag;;Used by many old Japanese applications.;;
MAKI;MAKIchan net format;Woody-Rinn;;.mki;;;;
MIFF;Magick image file format;ImageMagick Studio;;.miff;;Supported by ImageMagick;;
MSA;Misachan File;Hirohumi Iguchi;;.msa;;Supported by old Japanese applications;;
MSL;Magick Scripting Language;ImageMagick Studio;;.msl;;Supported by ImageMagick;;
MVG;Magick Vector Graphics;ImageMagick Studio;;.mvg;;Supported by ImageMagick;;
MPC;Magick Persistent Cache image file format;ImageMagick Studio;;.mpc;;Supported by ImageMagick;;
MRW;Minolta RAW;Minolta;;.mrw;;;;
NSK-TIFF;NSK-TIFF;Nihon Shinbun Kyokai (??????);TIFF;;;;;
OAZ;OAZ Fax;Oaz Communications;;.oaz;;Used by NetFax Manager;;
ODG;OpenDocument drawing;;;.odg;;;;
ORA;OpenRaster;freedesktop.org;OpenDocument/XML;.ora;;DrawPile, GIMP, Krita, MyPaint, Nathive, Pinta;{{Yes|No}};
ORF;Olympus RAW;Olympus;TIFF;.orf;;;;
ORTL;Ortelius file format;Mapdiva, LLC;;.ortl;;Vector image/map format; used by Ortelius;;
PAM;portable arbitrary map file format;;;.pam;image/x-portable-arbitrarymap;;{{Yes|No}};
Panasonic RAW;;Panasonic;TIFF;.raw, .rw2;;;;
PCIF;Polyomino Compressed Image Format;;;.pcf;;;;
PhaseOne P25/P30/P45 RAW;;Phase One;;.tif, .tiff;;;;
PictureGear Pocket Image;;;;.prc;;;;
PBM;Portable Bitmap File Format;;;.pbm;image/x-portable-bitmap;;{{Yes|No}};
PCD;Kodak ImagePac Photo CD;Kodak;;.pcd;image/jpcd;;;
PCF;Pixel Coordination Format;;;.pcf;image/pcf;;;
PCX;ZSoft PC Paintbrush File;ZSoft Corporation;;.pcx, .pcc, .dcx;image/x-pcx;Dated rle packed indexed image format, used in some early 3d shooting games like Unreal Tournament as it takes up very little space and is easy to decode.;{{dunno}};
PDF;Portable Document Format;Adobe Systems;;.pdf, .epdf;application/pdf;;;
PDN;Paint.NET Image;dotPDN LLC;;.pdn;;Preferred and supported by Paint.NET;;
PEF;PENTAX RAW;PENTAX;TIFF;.pef;;;;
PGF;Progressive Graphics File;xeraina GmbH;;.pgf;;Photographic images, eventual replacement for JPEG.;{{Yes|No}};
PGM;Portable Graymap File Format;;;.pgm;image/x-portable-graymap;;{{Yes|No}};
PGML;Precision Graphics Markup Language;Adobe Systems, IBM, Netscape, Sun Microsystems;;;;;{{Yes|No}};
Photochrome;;;;.pcs;;;;
PNM;Portable Anymap File Format;;;.pnm;image/x-portable-anymap;;{{Yes|No}};
PTX;Pentax RAW Bitmap Graphic;Pentax;;.ptx;;;;
Pi;;Yanagisawa;;.pi;;Used by some old Japanese applications.;;
PIC;Yanagisawa PIC;Yanagisawa;;.pic;;Used by many old Japanese applications.;;
PIC;DoGA PIC;Project Team DoGA;;.pic;;Used by DoGA CGA System.;;
PICT;Macintosh PICT Format;Apple Inc.;;.pict, .pic, .pct, .pct1, .pct2;image/pict;Metafile for Classic Mac OS, not meant for print publishing.;Likely expired;
PICtor;;John Bridges, Doug Wolfgram;;.pic;;Supported by PCPaint;;
PIC2;;Yanagisawa;;.p2;;Supported by some old Japanese applications.;;
PLD;PhotoLine Document;Computerinsel GmbH;;.pld;application/pld;Native format of the PhotoLine image editing program.;{{dunno}};
PMP;;Sony;JPEG;.pmp;;Used by Sony Cyber-Shot;;
PNG;Portable Network Graphics;World Wide Web Consortium;;.png;image/png;W3C endorsed replacement for GIF. Supported by most web browsers.;{{Yes|No}};
PostScript;page description/scripting language, levels 1–3;Adobe;;.ps, .ps2, .ps3;;printing/publishing industry standard format;;
PPM;Portable Pixmap File Format;;;.ppm;image/x-portable-pixmap;Very easy to understand. Programs to analyze and write to this format are easily written.;{{Yes|No}};
PSD;Photoshop Document;Adobe Systems;;.psd, .psb, .pdb, .pdd;image/vnd.adobe.photoshop[8];Used mainly for storing image manipulation & editing data.;{{No|Yes}};
PSP;Paint Shop Pro Document;Corel Corporation;;.psp, .tub, .pspimage;image/x-psp;Supported by Paint Shop Pro, GIMP;{{dunno}};
PSX TIM;;;;.tim;;;;
PSX TIM2;Sony PlayStation Tim2;Sony;;.tm2, .str;;Used by PlayStation 2;;
PXA;;;;.pxa;;Used by Pixia;;
QuickTime Image;;Apple Inc.;;.qtif, .qti, .qif;;;;
Q0;;;;.q0;;;;
Q4;XLD4;MAJYO;;.q4;;;;
RAD;;Gregory Ward Larson;;.rad;;Radiance;;
RAF;Fujifilm RAW;Fujifilm;;.raf;;;;
RGB;image/colourmap data in RGB format;;;.rgb;;;;
RGBA;image/colourmap data in RGB format, with Alpha channel;;;.rgba;;;;
RGBE;;Gregory Ward Larson;;.hdr;image/vnd.radiance;Radiance, most HDR imaging software;;
RHIF;Rhapsoft Image Format;Romain Piveteau;SQLite;.rhif;;LiveQuarz file format;;
R3D;RED REDCODE RAW;Red;;.r3d;;;;
SAI;;SYSTEMAX;;.sai;;Supported by PaintTool SAI;;
SCT;Scitex Continuous Tone Picture;;;.sct;;;;
SDA;;Sun Microsystems;;.sda;;Supported by StarOffice Draw 3–5;;
SDD;;Sun Microsystems;;.sdd;;Supported by StarOffice Draw 3–5;;
SFW;Seattle File Works image;Seattle File Works;JPEG (JFIF);.sfw, .pwp;;JPEG-converters sfwjpg and pwpjpg for Unix/Linux and Windows;;
SGB;;Sun Microsystems;;.sgb;;Supported by StarOffice Graphics 2;;
SGI;Silicon Graphics Image;;;.sgi, .rgb, .rgba, .bw, .int, .inta, .icon;;;;
Shockwave Director;;Adobe Systems;;.dir, .dcr, .dxr, .fgd;application/x-director;Used by Adobe Shockwave.;;
SHAPE;Dia Stencil;;SVG;.shape;;Used by Dia.;;
SK;;;;.sk;;Supported by Skencil;;
SketchUp Format;;;;.skp, .skb;;Supported by SketchUp;;
SML;Kivio stencil;;;.sml;;Supported by Kivio;;
SRF;Sony RAW File;Sony;TIFF;.srf, .sr2;;;;
SUN;Sun rasterfile;Sun Microsystems;;.sun, .ras, .rs, .im1, .im8, .im24, .im32;;Supported by GIMP;;
STX;SBIG CCD camera ST-x;;;.stx, .st4, .st5, .st6, .st7, .st8, .st9;;;;
SView5 Graphics;;Andreas Kleinert;;.svg/.sgx;;Used by SView5-Library/SDK;;
SVG;Scalable Vector Graphics;World Wide Web Consortium;XML;.svg, .svgz (compressed);image/svg+xml;Scriptable vector image format; supported by major web browsers, occasionally via plug-in.;{{Yes|No}};
SWF;Shockwave Flash;Adobe Systems;;.swf;application/x-shockwave-flash;Supported by many web browsers via plug-in.;;
SXD;OpenOffice.org 1.0 drawing format;;;.sxd;;;;
TGA;Truevision Targa;Truevision Inc.;;.tga, .tpic;image/tga;Used by many 3D rendering applications and 3d games.;Yes?;
TIFF;Tagged Image File Format;Adobe Systems;;.tiff, .tif;image/tiff;Document scanning and imaging format, also functions as a container.;{{Yes|No}};
TIFF/EP;Tag Image File Format / Electronic Photography;International Organization for Standardization;TIFF;.tiff, .tif;;;;
TIFF-FX;Tag Image File Format Fax eXtended;;TIFF;.tiff, .tif;image/tiff-fx;;;
Tiny Stuff;;David Mumper;;.tny, .tn1, .tn2, .tn3, .tn4, .tn5, tn6;;An application on Atari ST;;
TLG5;;;;.tlg;;Used by KiriKiri;;
TLG6;;;;.tlg;;Used by KiriKiri;;
UFO;Ulead File for Objects;;;.ufo;;;;
VML;Vector Markup Language;Microsoft;XML;.htm, .html;application/vnd. openxmlformats-officedocument. vmlDrawing;Internet Explorer, Microsoft Office;{{Yes|No}};
WBMP;Wireless Application Protocol Bitmap Format;Open Mobile Alliance (formerly WAP Forum);;.wbmp, .wbm, .wbp;image/vnd.wap.wbmp;Used in WAP-pages;{{Yes|No}};
WebP;WebP image format;Google;;.webp;image/webp;Provides an alternative to JPEG, PNG and GIF with superior compression;Yes (royalty-free);
WinFax;;Symantec;;.wfx, fxs, fxo;;;;
WMF;Windows Metafile Format;Microsoft;;.wmf, .wmz;;;;
WordPerfect Graphics File;;;;.wpg;;;;
XAML;Extensible Application Markup Language;Microsoft;XML;.xaml;application/xaml+xml;Used by Windows Presentation Foundation and Microsoft Silverlight.;{{dunno}};
XAR;Xar;Xara;Xar (graphics);.xar;application/vnd.xara;Used by Xara Photo & Graphic Designer;{{Yes|No}};
XBM;X BitMap, colour variant of original black-and-white bitmap (bmp) format;;;.xbm, .bm, .icon, .bitmap;image/x-xbitmap;Used by many legacy Unix applications.;;
XCF;XCF, name derived from eXperimental Computing Facility;The GIMP Team;;.xcf, .xcfbz2 (compressed), .xcfgz (compressed);application/x-gimp-image;Used by GIMP;;
XPM;X-Pixmap;;;.xpm, .pm;image/x-xpm;Used by many legacy Unix applications.;;
X3F;SIGMA RAW;SIGMA;;.x3f;;;;
XWD;xwud X11 window dumper/undumper screenshot image;;;.xwd, .x11;;Used by X Window System;;
XYZ;RPG Maker image file;ASCII;;.xyz;;RPG Maker;{{Yes|No}};
YCbCr;;;;.ycbcr;;;;
YCbCrA;;;;.ycbcra;;;;
YUV;;;;.yuv;;;;
ZDT;;;;.zdt;;Used by TECH Win;;
Format;Full name;Owner;Based Format;File extension;MIME type;Application;Patented;
