Software;Networkable;Headphone-free sessions;Background noise;Embed audio (sounds, music, hypnosis);Volume modulation for embedded audio;Export as sound file;User-created sessions;Pre-made sessions;
BeeOne SMOD/HMS;{{yes}} (via VST);{{yes}};{{yes}} (via VST);{{yes}} (via VST);{{yes}} (via VST);{{yes}} (via VST);{{yes}};{{no}};
Brain Equalizer;{{no}};{{yes}};{{no}};{{yes}} (iPod or any sound app);{{no}};{{no}};{{yes}};{{no}};
Binaural Beethoven;{{no}};{{yes}};{{yes}};{{yes}} (iPod or any sound app);{{no}};{{no}};{{no}};{{yes}};
BrainWave Generator;{{no}};{{yes}};{{yes}} (white, pink and brown);{{yes}};{{no}};{{yes}} (WAV);{{yes}};{{yes}};
Gnaural;{{yes}};{{yes}};{{yes}} (pink);{{yes}};{{yes}};{{yes}} (OGG, MP3, WAV);{{yes}};{{yes}};
BrainIgniter Player;{{no}};{{yes}};{{yes}} (white, pink and brown);{{yes}};{{yes}};{{yes}} (MP3);{{no}};{{yes}};
Neuro Entrainment;{{no}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};
Neuro-Programmer 3;{{no}};{{yes}};{{yes}} (white, pink and brown);{{yes}};{{yes}};{{yes}} (OGG, MP3 WAV);{{yes}};{{yes}};
Mind WorkStation;{{yes}} (with plugins);{{yes}};{{yes}} (white, pink and brown);{{yes}};{{yes}};{{yes}} (OGG, MP3 WAV);{{yes}};{{yes}};
SBaGen;{{no}};{{no}};{{yes}} (pink);{{yes}} (WAV, raw audio, OGG, MP3);{{no}};{{yes}} (WAV, raw audio);{{yes}};{{yes}};
Brainwave Studio;{{no}};{{yes}};{{yes}} (white);{{yes}};{{yes}};{{no}};{{yes}};{{yes}};
Discord;{{no}};{{yes}};{{yes}} (white, pink and brown);{{yes}} (WAV, raw audio, OGG, FLAC);{{yes}};{{yes}} (WAV, raw audio, OGG, FLAC);{{yes}};{{yes}};
Isochronic Tone Generator;{{no}};{{yes}};{{no}};{{yes}} (iPod or any sound app);{{yes}};{{no}};{{yes}} (in real time);{{no}};
Lux VST Brainwave Entrainment Instrument;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}} (through DAW);{{yes}};{{yes}};
Neuro Sequencer Pro;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}} (MP3, M4A, WAV);{{yes}};{{yes}};
SHARM Studio 5;{{no}};{{yes}};{{yes}} (white, pink and brown);{{yes}} (WAV, OGG, MP3);{{yes}};{{yes}} (WAV, OGG, MP3);{{yes}};{{yes}};
