Model;Launch;Code name;Bus interface;Core clock (MHz);Memory clock (MHz);Core config1;Fillrate;Memory;Supported API version;
MOperations/s;MPixels/s;MTexels/s;MVertices/s;Size (MB);Bandwidth (GB/s);Bus type;Bus width (bit);Direct3D;OpenGL;
GeForce4 MX IGP + nForce2;October 1, 2002;NV1F;FSB;250;133 200{{citation needed|date=September 2012}};2:0:4:2;500;500;1000;0;Up to 128 system RAM;2.128 6.4{{citation needed|date=September 2012}};DDR;64 128;7.0;1.2;
GeForce4 MX420;February 6, 2002;NV17;AGP 4× PCI;250;166;2:0:4:2;500;500;1000;0;64;2.656;SDR;128;7.0;1.2;
GeForce4 MX440 SE;2002;NV17;AGP 4× PCI;250;166;2:0:4:2;500;500;1000;0;64 128;5.312;DDR;128;7.0;1.2;
GeForce MX4000;December 14, 2003;NV18B;AGP 8× PCI;250;166;2:0:4:2;500;500;1000;0;64 128;2.656;DDR;64;7.0;1.2;
GeForce PCX4300;February 19, 2004;NV18B;PCIe ×16;250;333;2:0:4:2;500;500;1000;0;128;5.328;DDR;64;7.0;1.2;
GeForce4 MX440;February 6, 2002;NV17;AGP 4× PCI;275;200;2:0:4:2;550;550;1100;0;64 128;6.4;DDR;128;7.0;1.2;
GeForce4 MX440 8x;September 25, 2002;NV18;AGP 8× PCI;275;250;2:0:4:2;550;550;1100;0;64 128;8;DDR;128;7.0;1.2;
GeForce4 MX460;February 6, 2002;NV17;AGP 4× PCI;300;275;2:0:4:2;600;600;1200;0;64 128;8.8;DDR;128;7.0;1.2;
GeForce4 Ti4200;April 16, 2002;NV25;AGP 4×;250;222 (128 MB) 250 (64 MB);4:2:8:4;1000;1000;2000;125;64 128;7.104 (128 MB) 8 (64 MB);DDR;128;8.0a;1.3;
GeForce4 Ti4200 8x;September 25, 2002;NV28;AGP 8×;250;250;4:2:8:4;1000;1000;2000;125;128;8;DDR;128;8.0a;1.3;
GeForce4 Ti4400;February 6, 2002;NV25;AGP 4×;275;275;4:2:8:4;1100;1100;2200;137.5;128;8.8;DDR;128;8.0a;1.3;
GeForce4 Ti4400 8x (Ti4800 SE2);January 20, 2003;NV28;AGP 8×;275;275;4:2:8:4;1100;1100;2200;137.5;128;8.8;DDR;128;8.0a;1.3;
GeForce4 Ti4600;February 6, 2002;NV25;AGP 4×;300;325;4:2:8:4;1200;1200;2400;150;128;10.4;DDR;128;8.0a;1.3;
GeForce4 Ti4600 8x (Ti48003);January 20, 2003;NV28;AGP 8×;300;325;4:2:8:4;1200;1200;2400;150;128;10.4;DDR;128;8.0a;1.3;
Model;Launch;Code name;Bus interface;Core clock (MHz);Memory clock (MHz);Core config1;Fillrate;Memory;Supported API version;
MOperations/s;MPixels/s;MTexels/s;MVertices/s;Size (MB);Bandwidth (GB/s);Bus type;Bus width (bit);Direct3D;OpenGL;
