Meaning;Portuguese;Spanish < Arabic;
stonemason;pedreiro < pedra < Lat. {{sm|petra}};albañil < al-bann?;
mayor;presidente da câmara (Portugal), prefeito (Brazil): < presidir < Lat. {{sm|praesid?re}}; < Lat. {{sm|camera}}; < Lat. {{sm|praefectus}};alcalde < al-q???;
monkey, macaque;macaco < Uncertain, maybe Bantu {{sm|makaku}};mono < ????? (maym?n);
aloe;aloé < Lat. {{sm|aloe}};sábila, acíbar, zábila < Hisp.-Ar. a??ibr, ?abb?ra, ?ábbira < ?ábir (Spanish also has aloe);
blackbird, thrush;melro, tordo < Lat. {{sm|mer?lus}}, < Lat. {{sm|turdus}};zorzal < zurzál < zurz?r[14] (Spanish also has mirlo);
cruet (set);galheteira(s) < Fr. gallette (< Gaulish gallos) + Port. suffix -eira;alcuza < al-k?za (< Aram. k?z[?] < Pers. kuze)[15];
gannet;mergulhão < Vulg.Lat. {{sm|merguli?re}} < {{sm|mergulus}};alcatraz < Hisp.-Ar. *qa?r?s[16] or qa???s[17] (Spanish also has somormujo, somorgujo);
bishop (chess);bispo < Lat. {{sm|episcopus}};alfil < al-f?l 'elephant';
potter;oleiro < Lat. {{sm|oll?rius}};alcaller, alfarero < Hisp-Ar. alqallál,[18] alfa???r < ?? ???[19];
fuss, overreaction;gritaria, confusão < Lat. {{sm|critare}}, < Lat. {{sm|confusionis}};alharaca < Hisp-Ar. al?aráka < ?arakah[20];
sparrowhawk, shabby, pen-pusher;falcão-peregrino, pelintra, lacaio < Lat. {{sm|falco + peregrinus}}, < Uncertain origin, < Fr. {{sm|laquai}};tagarote < Berber táhért or maybe < Ar. táhurtí;
cork oak;sobreiro < Lat. {{sm|(quercus) suber}};alcornoque < Hisp.-Ar alqurnúq < Lat. quernus + Hisp suffix occus;
cobble (stone);paralelo < Gr. {{sm|????????????????}};adoquín < addukkín < ???? (dukk?n);
defence (player);defesa (jogador) < Lat. {{sm|defensa}};zaguero < sáqa, < s?qah (Sp. also has defensa (jugador));
epilepsy, apoplexy;epilepsia, apoplexia < Lat. < Gr. {{sm|epileps?a < ????????}}, < Lat. < Gr. {{sm|apoplex?a < ?????????}};1lBSg65;
sales tax;imposto de venda < Lat. {{sm|impon?re + venditus}};alcabala < Hisp.-Ar. alqabála;
flight attendant;hospedeira < Lat. {{sm|hospitem}} (+ Port. -eira);azafata < as-sáfat (Latin-American Spanish tends to use auxiliar de vuelo);
indigo;índigo < Lat. {{sm|indicum}};añil < Hisp.-Ar. an-Nile;
lavender;lavanda < Lat. {{sm|lavandula}};alhucema < Ar. ?????????? al-?uz?m?[21];
