;FAT12;FAT16;FAT32;HPFS;ISO 9660;NTFS;exFAT;UDF;ReFS;
Windows NT 3.1, 3.5, 3.51;{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}} v1.0/v1.1;{{No}};{{dunno}};{{No}};
Windows NT 4.0;{{Yes}};{{Yes}};{{No}};{{partial}};{{Yes}};{{Yes}} v1.2;{{No}};{{dunno}};{{No}};
Windows 2000;{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}} v3.0;{{No}};{{Yes}};{{No}};
Windows XP;{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}} v3.1;{{Optional}};{{Yes}} (2.01);{{No}};
Windows Server 2003;{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}} v3.1;{{Optional}};{{Yes}};{{No}};
Windows Vista;{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}} v5;{{Yes}};{{Yes}} (2.6);{{No}};
Windows Server 2008;{{Yes}};{{Yes}};{{yes}};{{No}};{{Yes}};{{Yes}} v5;{{Yes}};{{Yes}};{{No}};
Windows 7;{{Yes}};{{Yes}};{{yes}};{{No}};{{Yes}};{{Yes}} v5;{{Yes}};{{Yes}} (2.6);{{Yes}};
Windows Server 2008 R2;{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}} v5;{{Yes}};{{Yes}} (2.6);{{Yes}};
Windows Server 2012;{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}} v5;{{Yes}};{{Yes}} (2.6);{{Yes}};
Windows 8;{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}} v5;{{Yes}};{{Yes}} (2.6);{{No}};
Windows 8.1;{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}} v5;{{Yes}};{{Yes}} (2.6);{{Yes}};
Windows Server 2012 R2;{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}} v5;{{Yes}};{{Yes}} (2.6);{{Yes}};
Windows 10;{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}} v5;{{Yes}};{{Yes}} (2.6);{{Yes}};
Windows Server 2016;{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}} v5;{{Yes}};{{Yes}} (2.6);{{Yes}};
