Rank;Country;U.S. equivalents;GDP (Billions of US$ in PPP);
1;{{Flagicon|China}} China;{{USA}};23,159.1;
2;{{Flagicon|India}} India;{{Flagicon|California}} California {{Flagicon|Texas}} Texas {{flagicon|New York}} New York {{Flagicon|New England}} New England {{Flagicon|Florida}} Florida {{Flagicon|Ohio}} Ohio;9,459.0;
3;{{Flagicon|Japan}} Japan;{{Flagicon|California}} California {{Flagicon|Texas}} Texas {{Flagicon|New York}} New York {{Flagicon|Florida}} Florida;5,428.8;
4;{{Flagicon|Germany}} Germany;{{Flagicon|California}} California {{flagicon|New England}} New England {{flagicon|Indiana}} Indiana;4,170.8;
5;{{Flagicon|Russia}} Russia;{{Flagicon|California}} California {{flagicon|New England}} New England {{flagicon|Alabama}} Alabama;4,007.8;
6;{{Flagicon|Indonesia}} Indonesia;{{Flagicon|California}} California {{Flagicon|Michigan}} Michigan;3,243.8;
7;{{Flagicon|Brazil}} Brazil;{{Flagicon|California}} California {{Flagicon|Michigan}} Michigan;3,240.3;
8;{{Flagicon|United Kingdom}} United Kingdom;{{Flagicon|California}} California {{Flagicon|Utah}} Utah;2,914.0;
9;{{Flagicon|France}} France;{{Flagicon|California}} California {{Flagicon|Hawaii}} Hawaii;2,835.7;
10;{{Flagicon|Mexico}} Mexico;{{Flagicon|Texas}} Texas {{Flagicon|Pennsylvania}} Pennsylvania;2,458.4;
11;{{Flagicon|Italy}} Italy;{{Flagicon|Texas}} Texas {{Flagicon|New Jersey}} New Jersey {{Flagicon|Vermont}} Vermont;2,310.9;
12;{{Flagicon|Turkey}} Turkey;{{Flagicon|Texas}} Texas {{Flagicon|Michigan}} Michigan;2,173.2;
13;{{Flagicon|South Korea}} South Korea;{{Flagicon|Texas}} Texas {{Flagicon|Colorado}} Colorado;2,029.0;
14;{{Flagicon|Spain}} Spain;{{flagicon|Texas}} Texas {{Flagicon|West Virginia}} West Virginia;1,773.9;
15;{{Flagicon|Saudi Arabia}} Saudi Arabia;{{flagicon|Texas}} Texas {{Flagicon|West Virginia}} West Virginia;1,773.6;
16;{{Flagicon|Canada}} Canada;{{flagicon|Texas}} Texas {{Flagicon|West Virginia}} West Virginia;1,769.3;
17;{{Flagicon|Iran}} Iran;{{Flagicon|New York}} New York {{Flagicon|New Mexico}} New Mexico;1,644.7;
18;{{Flagicon|Australia}} Australia;{{Flagicon|New England}} New England {{Flagicon|Utah}} Utah;1,246.5;
19;{{Flagicon|Thailand}} Thailand;{{Flagicon|New England}} New England {{Flagicon|Nevada}} Nevada;1,233.7;
20;{{Flagicon|Egypt}} Egypt;{{Flagicon|New England}} New England {{Flagicon|Mississippi}} Mississippi;1,201.2;
21;{{Flagicon|Taiwan}} Taiwan;{{Flagicon|New England}} New England {{Flagicon|Hawaii}} Hawaii;1,185.5;
22;{{Flagicon|Poland}} Poland;{{Flagicon|New England}} New England {{Flagicon|Vermont}} Vermont;1,121.0;
23;{{Flagicon|Nigeria}} Nigeria;{{Flagicon|New England}} New England {{Flagicon|Vermont}} Vermont;1,118.8;
24;{{Flagicon|Pakistan}} Pakistan;{{Flagicon|New England}} New England;1,057.0;
25;{{Flagicon|Malaysia}} Malaysia;{{Flagicon|Illinois}} Illinois {{Flagicon|Mississippi}} Mississippi;930.8;
26;{{Flagicon|Argentina}} Argentina;{{Flagicon|Illinois}} Illinois {{Flagicon|New Mexico}} New Mexico;920.3;
27;{{Flagicon|Netherlands}} Netherlands;{{Flagicon|Illinois}} Illinois {{Flagicon|New Mexico}} New Mexico;916.1;
28;{{Flagicon|Philippines}} Philippines;{{Flagicon|Illinois}} Illinois {{Flagicon|North Dakota}} North Dakota;875,6;
29;{{Flagicon|South Africa}} South Africa;{{Flagicon|Ohio}} Ohio {{Flagicon|Mississippi}} Mississippi;765.6;
30;{{Flagicon|Colombia}} Colombia;{{Flagicon|Ohio}} Ohio {{Flagicon|Maine}} Maine;714.0;
31;{{Flagicon|Bangladesh}} Bangladesh;{{Flagicon|Ohio}} Ohio {{Flagicon|Wyoming}} Wyoming;687.1;
32;{{Flagicon|UAE}} UAE;{{Flagicon|Ohio}} Ohio {{Flagicon|Wyoming}} Wyoming;686.8;
33;{{Flagicon|Iraq}} Iraq;{{Flagicon|Ohio}} Ohio;658.8;
34;{{Flagicon|Vietnam}} Vietnam;{{Flagicon|New Jersey}} New Jersey {{Flagicon|Wyoming}} Wyoming;647.4;
35;{{Flagicon|Algeria}} Algeria;{{Flagicon|North Carolina}} North Carolina;632.9;
36;{{Flagicon|Belgium}} Belgium;{{Flagicon|Massachusetts}} Massachusetts;528.5;
37;{{Flagicon|Singapore}} Singapore;{{Flagicon|Massachusetts}} Massachusetts;527.0;
38;{{Flagicon|Sweden}} Sweden;{{Flagicon|Virginia}} Virginia;520.9;
39;{{Flagicon|Switzerland}} Switzerland;{{Flagicon|Virginia}} Virginia;517.2;
40;{{Flagicon|Romania}} Romania;{{Flagicon|Maryland}} Maryland {{Flagicon|Hawaii}} Hawaii;481.5;
41;{{Flagicon|Kazakhstan}} Kazakhstan;{{Flagicon|Maryland}} Maryland {{Flagicon|New Hampshire}} New Hampshire;477.6;
42;{{Flagicon|Hong Kong}} Hong Kong;{{Flagicon|Maryland}} Maryland {{Flagicon|Maine}} Maine;454.9;
—;{{Flagicon|Chile}} Chile;{{Flagicon|Maryland}} Maryland {{Flagicon|Maine}} Maine;451.1;
43;{{Flagicon|Austria}} Austria;{{Flagicon|Maryland}} Maryland {{Flagicon|South Dakota}} South Dakota;439.6;
44;{{Flagicon|Peru}} Peru;{{Flagicon|Indiana}} Indiana {{Flagicon|Maine}} Maine;424.4;
45;{{Flagicon|Venezuela}} Venezuela;{{Flagicon|Indiana}} Indiana;380.7;
46;{{Flagicon|Norway}} Norway;{{Flagicon|Indiana}} Indiana;380.0;
47;{{Flagicon|Czech Republic}} Czech Republic;{{Flagicon|Indiana}} Indiana;375.7;
48;{{Flagicon|Ukraine}} Ukraine;{{Flagicon|Indiana}} Indiana;368.8;
49;{{Flagicon|Qatar}} Qatar;{{Flagicon|Tennessee}} Tennessee;347.9;
50;{{Flagicon|Ireland}} Ireland;{{Flagicon|Colorado}} Colorado;343.7;
