Package;License;Windows;Mac OS;Linux;Market focus;GL;AR/AP;DEB;$£€¥;OB;POS;EC;SOCT;PR;ERP;CRM;BI;HRM;Manf. /BOM;SCM;IM—;RM;D/WM;MU;Multi Co;Tax;Other Features;Structure;Language;
Adempiere;GPL;{{yes}};{{yes}};{{yes}};Mid-market;{{yes}};{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};{{yes}};;SaaS, Project Management, CRM.;Web-based and Client-server.;Java on JBoss, GlassFish, PostgreSQL, Oracle.;
Apache OFBiz;Apache License;{{yes}};{{yes}};{{yes}};Small to mid-sized enterprises;{{yes}};{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};;;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};{{yes}};{{yes}};SaaS, Calendar, Webmail;Multi-User, Web Access, Cloud Hostable;Java;
Compiere;GPL2, other proprietary;{{yes}};{{yes}};{{yes}};Mid-market;;;;;;{{yes}};;;;{{yes}};{{yes}};;;{{yes}};;;;{{yes}};;;;MES;Web-based;Java EE;
Dolibarr;GPL;{{yes}};{{yes}};{{yes}};Low to mid-market;{{yes}};{{yes}};{{yes}};{{yes}};;{{yes}};;{{yes}};;{{yes}};{{yes}};;{{yes}};;;;;{{yes}};{{yes}};{{yes}};;SaaS;Web-based;PHP;
GnuCash;GPL;{{yes}};{{yes}};{{yes}};Personal and small enterprise;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;;{{yes}};;;;;;;;;;;;;ltd;;Stand-alone;C, Scheme;
GNU Enterprise;GPL;{{yes}};{{yes}};{{yes}};Mid to high end market;;;;{{yes}};;;{{yes}};;;{{yes}};{{yes}};;{{yes}};;{{yes}};;;;;;;;Web-based + stand-alone;Python;
iDempiere;GPL2;{{yes}};{{yes}};{{yes}};Mid-market;{{yes}};{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};{{yes}};;SaaS, Calendar, Project Management;Web-based and Client-server;Java on Jetty, OSGi, PostgreSQL, Oracle;
JFire;GPL;{{yes}};{{no}};{{yes}};All markets;;;{{yes}};;;{{yes}};;;;{{yes}};{{yes}};;;;;;;{{yes}};;;;;Web-based, Stand-alone;Java;
LedgerSMB;GPL;{{yes}};{{yes}};{{yes}};Mid-market;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;;;{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};{{yes}};{{yes}};SaaS, Light Manufacturing, Multi-language (40),;Web-based;Perl;
Ledger (CLI);BSD;{{yes}};{{yes}};{{yes}};Personal and small enterprise;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};Can be used with git;Plain text file-based;C++;
metasfresh;GPL2;{{yes}};{{yes}};{{yes}};Mid-market;{{yes}};{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};{{yes}};;SaaS, On-Premise;Web-based, Client-server;Java on Tomcat, PostgreSQL;
Openbravo;MPL derivative with badgeware clause;{{yes}};{{yes}};{{yes}};Mid-market;{{yes}};{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;{{yes}};;;{{yes}};{{yes}};{{yes}};Project Management, Multi-language, Localized by country;Web-based, on-premises, Saas, On Demand;Java;
Postbooks;CPAL;{{yes}};{{yes}};{{yes}};Low to mid-market;{{yes}};{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};;;{{yes}};{{yes}};{{yes}};;{{yes}};;{{yes}};;{{yes}};;;;Professional Services;Client-server;C++, Qt;
SQL-Ledger;GPL;{{yes}};{{yes}};{{yes}};Mid-market;{{yes}};{{yes}};{{yes}};{{yes}};;{{yes}};;;;{{yes}};;;;{{yes}};;{{yes}};;;{{yes}};{{yes}};;;Web-based;Perl;
Tryton;GPL;{{yes}};{{yes}};{{yes}};Low to mid-market;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}[1];;{{yes}}[2];;;{{yes}};{{yes}};;;{{yes}}[3];{{yes}};{{yes}};;{{yes}};{{yes}}[4];{{yes}}[5];{{yes}};;Thin client & Web-based client - Server;Python;
