Name;ATA;SATA;SCSI;USB 3.0;USB 2.0;USB 1.1;FireWire;PCMCIA/PC card;AGP;Nvidia official driver IA-32;Nvidia official driver IA-64;Nvidia official driver AMD64;ATI official driver x86;ATI official driver x86-64;ATI r200 free software driver;ATI r300 free software driver;Nvidia free software driver;Audio;TV tuner, video editing, or webcam;
Linux;{{yes}};{{yes}};{{yes}};{{yes}} 2.6.31+[19];{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}},nv(2d only), nouveau(3d with mesa);{{yes|OSS, ALSA}};{{yes|V4L,V4L2}};
FreeBSD;{{yes}};{{yes}};{{yes}};{{yes}} 8.2+;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
OpenBSD;{{yes}};{{yes}};{{yes}};{{yes}} 5.7+;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}}[20];2d only[20];2d only[21];{{yes}};{{yes}};
NetBSD;{{yes}};{{yes}};{{yes}};{{no}} 7.1[22];{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};;;;{{yes}};{{yes}};
DragonFly BSD;{{yes}};{{yes}};{{yes}};{{yes}}[23];{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};;;;{{yes}};;
OpenSolaris, illumos;{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};;;;{{yes}};{{yes|V4L2}};
AuroraUX;{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};;;;{{yes}};;
Darwin, OpenDarwin;{{yes}};{{yes}};{{yes}};{{yes}};;{{yes}};;;;{{no}};{{no}};{{no}};{{no}};{{no}};;;;;;
MINIX;;;;;;;;;;{{no}};{{no}};{{no}};{{no}};{{no}};;;;;;
FreeDOS;{{yes}};{{yes}};{{yes}};{{no}};{{no}}[24];{{no}}[24];{{no}};;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};
Genode;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};
Haiku;{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
KolibriOS;{{yes}};{{yes}};{{no}};;{{yes}};{{yes}};;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};;;;{{yes}};{{no}};
MenuetOS;{{yes}};{{no}};{{no}};;{{yes}};{{yes}};;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};;;;{{yes}};{{yes}};
GNU;{{yes}};{{yes}}{{r|group=Note|c1}};{{yes}}{{r|group=Note|c1}};;{{yes}}{{r|group=Note|c1}};{{yes}}{{r|group=Note|c1}};{{yes}}{{r|group=Note|c1}};{{yes}}{{r|group=Note|c1}};{{yes}};{{no}}{{r|group=Note|c2}};{{no}}{{r|group=Note|c2}};{{no}}{{r|group=Note|c2}};{{no}}{{r|group=Note|c2}};{{no}}{{r|group=Note|c2}};{{no}}{{r|group=Note|c3}};{{no}}{{r|group=Note|c3}};{{yes}}{{r|group=Note|c1}};{{yes}}{{r|group=Note|c1}};{{yes}}{{r|group=Note|c1}};
ReactOS;{{yes}};{{yes}};{{yes}};;{{yes}}[25];{{yes}}[25];{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};;;;{{yes}};;
L4, Fiasco, Pistachio;;;;;;;;;;{{no}};{{no}};{{no}};{{no}};{{no}};;;;;;
Plan 9;{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};;;;{{yes}};{{yes}};
AROS;{{yes}};;;;;;;;{{yes}};{{no}};{{no}};{{no}};own;{{no}};;;2D only;;;
Syllable;{{yes}};{{yes}};;;{{yes}};{{yes}};;;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};;;;{{yes}};;
Inferno;{{yes}};{{no}};{{yes}};;{{no}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};;;;{{yes}};;
FreeRTOS;;;;;;;;;;{{no}};{{no}};{{no}};{{no}};{{no}};;;;;;
eCos;{{yes}};{{yes}};;;{{yes}};{{yes}};;;;{{no}};{{no}};{{no}};{{no}};{{no}};;;;;;
RTEMS;{{yes}};;;;;;;{{yes}};;{{no}};{{no}};{{no}};{{no}};{{no}};;;;;;
HelenOS;{{yes}};{{yes}};{{no}};;{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};
E/OS;{{yes}};{{yes}};{{yes}};;{{no}}{{Ref|11}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};;;;{{yes}};{{yes}};

K42;
UnixLite;
-->;
Name;ATA;SATA;SCSI;USB 3.0;USB 2.0;USB 1.1;FireWire;PCMCIA/PC card;AGP;Nvidia official driver IA-32;Nvidia official driver IA-64;Nvidia official driver AMD64;ATI official driver x86;ATI official driver x86-64;ATI r200 free software driver;ATI r300 free software driver;Nvidia free software driver;Audio;TV tuner, video editing, or webcam;
