Assembler;License;Instruction set;Host platform;
Assembly Language for Multics (ALM);{{free|MIT}};GE-645 Honeywell 6180;GE-645 Honeywell 6180;
Babbage;{{proprietary}};GEC 4000 series;GEC 4000 series;
COMPASS[1];{{proprietary}};CDC mainframe;CDC mainframe;
MACRO-10;{{free}};PDP-10;PDP-10;
MACRO-11;{{Free}};PDP-11;PDP-11;
vasm;{{free}};Zilog Z80, Motorola 6800 family;various;
GPASM;{{GPL-lic}};PIC microcontroller;many;
MIPS;{{free}};MIPS;MIPS;
Symbolic Optimal Assembly Program (SOAP);{{proprietary}};IBM 650;IBM 650;
Technical Assembly System (TASS);{{free}};IBM 650;IBM 650;
Autocoder[2];{{Free}};IBM 705, 14xx, 1410, 7010, 7070, 7072, 7074, 7080;various;
Fortran Assembly Program (FAP);{{Free}};IBM 709, 704x, 709x;Fortran Monitor System, IBSYS;
GCOS Macro Assembly Program (GMAP);{{free}};GE-600 series, Honeywell 6000 series;GCOS;
Macro Assembly Program (MAP);{{Free}};IBM 709, 704x, 709x;IBSYS/IBJOB on 709, 704x, 709x;
Meta-Symbol;{{free}};SDS Sigma series;BTM, UTS, CP-V;
Symbolic Assembly Program (SAP);{{free}};IBM 704;IBM 704;
Symbolic Programming System (SPS)[3];{{Free}};IBM 14xx, 1620, 1710;IBM 1401, 1440, 1460, 1620, 1710;
ASMB, ASBL, NSBL - Numeric op codes, used for 1900 Operating System Executive;{{proprietary}};ICL 1900;ICL 1900;
GINerator mnemonic opcodes, used for GEORGE (operating system);{{proprietary}};ICL 1900;ICL 1900;
PLAN mnemonic opcodes, used for commercial 1900 programs;{{proprietary}};ICL 1900;ICL 1900;
Single Address Assembly Language (SAAL);{{free}};UNIVAC 1005;UNIVAC 1005;
Sleuth;{{free}};UNIVAC 1107;EXEC, EXEC II, EXEC 8;
Meta Assembler (MASM);{{free}};UNIVAC 1100/2200 series;UNIVAC EXEC 8;
UTMOST;{{?}};UNIVAC III;UNIVAC III;
