Client;Windows;Mac OS X;Linux;BSD;Solaris;Android;iOS;Other;
Akregator;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
Amarok;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
AOL Explorer;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Avant;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Awasu;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
BlogBridge;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
Canto;{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
Claws Mail;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes|Maemo}};
CommaFeed;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|Client side: every platform with a web browser Server side: every platform with Java}};
Cooliris;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Feed Viewer;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes|Windows Phone}};
FeedDemon;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Feedreader;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Flock;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
Gnus;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes|DOS}};
IBM Lotus Notes;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
Inoreader;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};
Internet Explorer;{{included}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
iTunes;{{yes}};{{included}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Juice;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
K-Meleon;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Kazehakase;{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
Liferea;{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
Mail (OS X);{{no}};{{included}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Maxthon;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
MediaMonkey;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Microsoft Office Outlook;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes|Windows Mobile}};
Mozilla Firefox;{{no|Add-on}};{{no|Add-on}};{{no|Add-on}};{{no|Add-on}};{{no}};{{no}};{{no}};{{no}};
Mozilla Thunderbird;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
NetNewsWire;{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Netscape Browser;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Netscape Navigator 9;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
NewsAccess;{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
NewsBlur;{{yes|Web based}};{{yes|Web based}};{{yes|Web based}};{{yes|Web based}};{{yes|Web based}};{{yes}};{{yes}};every platform with a web browser;
NewsFire;{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
OmniWeb;{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Opera Mail;{{yes}};{{yes}};{{yes}};{{yes}}[11];{{dropped}};{{no}};{{no}};{{dropped|BeOS, QNX, OS/2}};
Pegasus Mail;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Protopage;{{yes|Web based}};{{yes|Web based}};{{yes|Web based}};{{yes|Web based}};{{yes|Web based}};{{yes|Dedicated Web App}};{{yes|Dedicated Web App}};{{yes|every platform with a Web browser}};
Pulse;{{yes|Web based}};{{yes|Web based}};{{yes|Web based}};{{yes|Web based}};{{yes|Web based}};{{yes|Dedicated App}};{{yes|Dedicated App}};{{yes|every platform with a Web browser}};
QuiteRSS;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};Source code available;
Rhythmbox;{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
RSS Bandit;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
RSSOwl;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};every platform with Java and SWT;
Safari;{{yes}};{{included}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Sage;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
