Spanish;Portuguese;English;
cola (< Lat. {{sm|cauda}});fila; bicha; cauda; rabo; linha (< Fr. file; < Lat. {{sm|bestius}}; < Lat. {{sm|cauda}}; < Lat. {{sm|rapum}}; < Lat. {{sm|linea}});queue, file, tail;
vaso (< Lat. {{sm|vasum}});copo (< Lat. {{sm|cuppa}});glass, cup;
copo (< Lat. {{sm|cuppa}});floco (< Lat. {{sm|floccus}});flake;
competencia (< Lat. {{sm|competentia}});concorrência, competição (< Lat. {{sm|concurrentia; competitio}});competition;
despido (< Lat. {{sm|expetere}});demissão (< Lat. {{sm|dimiss?o}});dismissal, firing;
oso (< Lat. {{sm|ursus}});urso (< Lat. {{sm|ursus}});bear;
pez (< Lat. {{sm|piscis}});peixe (< Lat. {{sm|piscis}} < Indo-European {{sm|peisk}});fish;
polvo (< Lat. {{sm|pulvis}});pó (< Lat. {{sm|pulv(er)is}});dust;
tienda (< Lat. {{sm|tenda < tend?re}});loja; negócio; butique; estabelecimento; depósito (< Fr. loge < Frankish {{sm|laubja}}; < Lat. {{sm|negotium}}; < Fr. boutique < Lat. {{sm|apotheca}}; < Lat. {{sm|stabilire}}; < Lat. {{sm|depositum}});shop, business, depot;
ganancia (< Gothic {{sm|ganan}});ganho, lucro, interesse, rendimento, proveito, vencimento, acréscimo (< Frankish {{sm|waidanjan}}; < Lat. {{sm|lucrum}}; < Lat. {{sm|interesse}}; < Lat. {{sm|re-}} + {{sm|dare}}; < Lat. {{sm|profectus}}; < Lat. {{sm|vincere}}; < Lat. {{sm|accrescere}} + suffix -imo);profit, gain, interest;
inversión (< Lat. {{sm|inversionis}});investimento (< Lat. {{sm|investire}});investment;
embarazada (< Port. embaraçada);grávida (< Lat. {{sm|grav?}} + {{sm|-idus/-ida}});pregnant;
estafa (< Ital. staffa);calote, fraude, burla (< Fr. culotte; < Lat.{{sm|fraudis}}; < probably Lat. {{sm|burr?la}});swindle, fraud, trickery;
exquisito (< Lat. {{sm|exquisitus}});refinado; esmerado (< Lat. {{sm|re + finis}}; < Lat. {{sm|exmerare}});exquisite;
molestia (< Lat. {{sm|moles}});incómodo, inconveniência, maçada (< Lat. {{sm|incommodus}}; < Lat. {{sm|inconvenientis}}; < Lat. {{sm|matea}} + Port. -ada);inconvenience, disturbance;
servicios (< Lat. {{sm|servitium}});lavabo, lavatório, toilette, toalete, WC, sanitário (< Lat. {{sm|lavabo}}; < Lat. {{sm|lavatorium}}; < Fr. toilette; < Eng. water closet; < Lat. {{sm|sanitas}});toilet, WC, lavatory;
perro (probably < onomatopoeic perr);cão (< Lat. {{sm|canis}}), cachorro (< Lat. {{sm|catulus}} + Basque -orro);dog;
berro (< Celt. {{sm|beruros}});agrião (< Gr. {{sm|ágrios}});watercress;
aceite (< Ar. az-zayt);óleo (< Lat. {{sm|oleum}});oil;
oficina (< Lat. {{sm|offic?na}} < {{sm|officium}} < {{sm|opus}} + {{sm|ficium}});escritório, gabinete, atelier, agência, cartório, bureau/birô, departamento, workshop, oficina de reparação automóvel, garagem auto mecânica (< Lat. {{sm|scriptor?um}}; < Fr. cabinet; < Fr. atelier; < Ital. agenzia; < Lat. {{sm|carta}} + suffix -ório}}; < Fr. atelier; < Lat. {{sm|departimentum}}; < Lat. + Gr {{sm|departimentum}}; < Eng. workshop; < Fr. garage + Gr. ???? + Lat. {{sm|mechanicus}});office, workshop;
firma (< Lat. {{sm|firmus}});assinatura (< Lat. {{sm|signator}});signature;
presunto (< Lat. {{sm|praesumptus}});presumível, suspeito, provável (< Lat. {{sm|praesumptus}}; < Lat. {{sm|suspectum}}; < Lat. {{sm|probabilis}});presumed, suspect;
risco (< Lat. {{sm|resecare}});falésia (< Fr. falaise);cliff;
topo (< Lat. {{sm|talpa}});toupeira (< Lat. {{sm|talpa}} + Port. -eira);mole, moleskin;
