!Shell command;Execute program;Replace current program with new executed program;
Ada[1];Not part of the language standard. Commonly done by compiler provided packages or by interfacing to C or POSIX.[15];
C;system("command");;;execl(path, args); or execv(path, arglist);;
C++;;
Objective-C;[NSTask launchedTaskWithLaunchPath:(NSString *)path arguments:(NSArray *)arguments];;;
C#;;System.Diagnostics<wbr/>.Process.Start(path, argstring);;;
F#;;;
Go;;exec.Run(path, argv, envv, dir, exec.DevNull, exec.DevNull, exec.DevNull);os.Exec(path, argv, envv);
Visual Basic;Interaction.Shell(command «, WindowStyle» «, isWaitOnReturn»);;;
Visual Basic .NET;Microsoft.VisualBasic<wbr/>.Interaction.Shell(command «, WindowStyle» «, isWaitOnReturn»);System.Diagnostics<wbr/>.Process.Start(path, argstring);;
Xojo;Shell.Execute(command «, Parameters»);FolderItem.Launch(parameters, activate);{{n/a}};
D;std.process.system("command");;;std.process.execv(path, arglist);;
Java;;Runtime.exec(command); or new ProcessBuilder(command).start();;;
JavaScript Windows Script Host implementation;WScript.CreateObject ("WScript.Shell").Run(command «, WindowStyle» «, isWaitOnReturn»);;WshShell.Exec(command);;
Common Lisp;(shell command);;;
Scheme;(system command);;;
ISLISP;{{n/a}};{{n/a}};{{n/a}};
Pascal;system(command);;;;
OCaml;Sys.command command, Unix.open_process_full command env (stdout, stdin, stderr),...;Unix.create_process prog args new_stdin new_stdout new_stderr, ...;Unix.execv prog args or Unix.execve prog args env;
Standard ML;OS.Process.system command;Unix.execute (path, args);Posix.Process.exec (path, args);
Haskell (GHC);System.system command;System.Process<wbr/>.runProcess path args ...;Posix.Process<wbr/>.executeFile path True args ...;
Perl;system(command) or $output = `command` or $output = qx(command);;exec(path, args);
Ruby;system(command) or output = `command`;;exec(path, args);
PHP;system(command) or $output = `command` or exec(command) or passthru(command);;;
Python;os.system(command) or subprocess.Popen(command);subprocess.call(["program", "arg1", "arg2", …]);os.execv(path, args);
S-Lang;system(command);;;
Fortran;CALL EXECUTE_COMMAND_LINE (COMMAND «, WAIT» «, EXITSTAT» «, CMDSTAT» «, CMDMSG») {{ref|Fortran 2008|[a]}};;;
Windows PowerShell;[Diagnostics.Process]::Start(command);«Invoke-Item »program arg1 arg2 …;;
Bash shell;output=`command` or output=$(command);program arg1 arg2 …;;
