Name;Filename casing;CRC;Filedate;Daylight saving;Character casing;
Beyond Compare;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Compare++;{{Yes}};{{Yes}};{{Yes}};;{{Yes}};
diff;{{Yes}};{{No}};{{No}};{{No}};{{optional}};
diff3;;;;;;
Eclipse (compare);;;;;;
Ediff;;;;;;
ExamDiff Pro;{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Far Manager (compare);{{Yes}};{{No}};{{Yes}};{{No}};{{Yes}};
fc;{{No}};;;;{{optional}};
FileMerge (aka opendiff);{{No}};{{No}};{{No}};;{{optional}};
Guiffy SureMerge;{{optional|filesystem dependent}};;{{Yes}};;{{Yes}};
IntelliJ IDEA (compare);;;;;;
jEdit JDiff plugin;;;;;;
Kompare;{{Yes}};;;;;
Lazarus Diff;;;;;;
Meld;;;;;;
Notepad++ (compare);{{No}};{{No}};{{No}};;{{Yes}};
Perforce P4Merge;{{n/a}};{{No}};{{No}};{{No}};{{Yes}};
Pretty Diff;{{n/a}};{{No}};{{No}};{{No}};{{Optional}};
Tkdiff;;;;;;
Total Commander (compare);;;{{optional}};{{yes}} (in synchronize only);{{optional}};
vimdiff;{{No}};{{No}};{{No}};{{No}};{{Yes}};
WinDiff;{{No}};{{No}};{{optional|when different}};{{Yes}};{{optional}};
WinMerge;{{No}};{{No}};{{optional}};;{{optional}};
UCC;{{No}};{{No}};{{Yes}};{{No}};;
Name;Filename casing;CRC;Filedate;Daylight saving;Character casing;
