Name;Windows NT;Windows Mobile (incl.Pocket PC);FreeBSD;Linux;Mac OS X;NetBSD;OpenBSD;DragonFly BSD;Android;iOS;
Aloaha Crypt Disk;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
BestCrypt Volume Encryption;{{yes}};{{no}};{{no}};{{no}}[40];{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
BitArmor DataControl;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
BitLocker;{{yes}};{{no}};{{no}};{{Partial}}[41];{{Partial}}[41];{{no}};{{no}};{{no}};{{no}};{{dunno}};
Bloombase Keyparc;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
Boxcryptor;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};
CenterTools DriveLock;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
CGD;{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{dunno}};{{dunno}};
Check Point Full Disk Encryption;{{yes}};{{yes}};{{no}};{{yes}}[42];{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
CipherShed;{{yes}};{{no}};{{no}}[43];{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}}[44];{{dunno}};
CrossCrypt;{{yes}}[45];{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};
CryFS;{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{dunno}};
Cryhod;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
Cryptainer;{{yes}};{{Yes}}[46];{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
CryptArchiver;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
Cryptoloop;{{yes}}[47];{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
Cryptomator;{{yes}}[48];{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};
CryptoPro Secure Disk Enterprise;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};
CryptoPro Secure Disk for BitLocker;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};
Cryptsetup / Dmsetup;{{yes}}[47];{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{dunno}};{{dunno}};
CryptSync;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{dunno}};
Discryptor;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
DiskCryptor;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
DISK Protect;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
Dm-crypt / LUKS;{{yes}}[47];{{yes}}[49];{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{dunno}};{{dunno}};
DriveCrypt;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
DriveSentry GoAnywhere 2;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
E4M;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
e-Capsule Private Safe;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
eCryptfs;{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
EgoSecure HDD Encryption;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
EncFS;{{yes}}[50];{{yes}}[51];{{yes}} (FUSE);{{yes}} (FUSE);{{yes}}[50];{{yes}} (FUSE);{{yes}} (FUSE);{{yes}} (FUSE);{{yes}}[51];{{dunno}};
EncryptStick;{{Yes}};{{no}};{{no}};{{yes}};{{Yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
FileVault;{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
FileVault 2;{{no}};{{no}};{{no}};{{partial}}[52];{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
FinalCrypt;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
FREE CompuSec;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
FreeOTFE;{{yes}};{{Yes}};{{no}};{{partial}}[53];{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};
GBDE;{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
GELI;{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
Knox;{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
LibreCrypt;{{yes}};{{no}};{{no}};{{partial}}[54];{{no}};{{no}};{{no}};{{no}};{{yes}}[55];{{dunno}};
