Model;Launch;Code name;Fab (nm);Bus interface;Core clock (MHz);Memory clock (MHz);Core config1;Fillrate;Memory;API support;
MOperations/s;MPixels/s;MTexels/s;MVertices/s;Size (MB);Bandwidth (GB/s);Bus type;Bus width (bit);Direct3D;OpenGL;
STG-2000;September 1995;NV1;500;PCI;12;75;1:1:1;12;12;12;0;2 4;0.6;EDO VRAM;64;n/a;n/a;
Riva 128;April 1997;NV3;350;AGP 1×,[2] PCI;100;100;1:1:1;100;100;100;0;4;1.6;SDR;128;5.0;1.0;
Riva 128ZX;February 23, 1998;NV3;350;AGP 2×, PCI;100;100;1:1:1;100;100;100;0;8;1.6;SDR;128;5.0;1.0;
Riva TNT;March 23, 1998;NV4;350;AGP 2×, PCI;90;110;2:2:2;180;180;180;0;8 16;1.76;SDR;128;6.0;1.2;
Vanta;March 22, 1999;NV6;250;AGP 4×;100;125;2:2:2;200;200;200;0;16;1;SDR;64;6.0;1.2;
Vanta LT;March 2000;NV6;250;AGP 4×;80;100;2:2:2;160;160;160;0;8 16;0.8;SDR;64;6.0;1.2;
Riva TNT2 M64;October 1999;NV6;250;AGP 4×, PCI;125;150;2:2:2;250;250;250;0;8, 16 32;1.2;SDR;64;6.0;1.2;
Riva TNT2;March 15, 1999;NV5;250;AGP 4×, PCI;125;150;2:2:2;250;250;250;0;16 32;2.4;SDR;128;6.0;1.2;
Riva TNT2 Pro;October 12, 1999;NV5;220;AGP 4×;143;166;2:2:2;286;286;286;0;32;2.656;SDR;128;6.0;1.2;
Riva TNT2 Ultra;March 15, 1999;NV5;250;AGP 4×;150;183;2:2:2;300;300;300;0;16 32;2.928;SDR;128;6.0;1.2;
