;Austria;Belgium;Czech Republic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Iceland;Ireland;Italy;Luxembourg;Netherlands;Norway;Poland;Portugal;Romania;Russia & Belarus;Slovakia;Slovenia;Spain;Sweden;Switzerland & Liechtenstein;Turkey;Ukraine;United Kingdom;
No through road;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hospital;;;;;NOT USED;;(Clinic) or;;;;;;;;;;;;;;;;;;[35] [36];;;(With A&E) or (With no A&E);
First aid;;;;;;;;;;;;NOT USED;;;;;;;;;;;;;;;;NOT USED;
Pharmacy;;NOT USED;NOT USED;;NOT USED;;;;;;;;;;;;;;;;;;;;;;;;
Bus stop;;NOT USED;Front: or Rear:;;;or [37];Fare network-specific or;;;;;;;;or [38];;;;;;;;;;Fare network-specific and:;;;;
Escape lane;;;;NOT USED;NOT USED;NOT USED;;;;;NOT USED;NOT USED;NOT USED;;;;;;;;;;;NOT USED;;;;;
Tunnel;;;;;;;;;;;NOT USED;NOT USED;or [39];;;;;;;NOT USED;;;;;[40][41];;;NOT USED;
Parking place;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Austria;Belgium;Czech Republic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Iceland;Ireland;Italy;Luxembourg;Netherlands;Norway;Poland;Portugal;Romania;Russia & Belarus;Slovakia;Slovenia;Spain;Sweden;Switzerland & Liechtenstein;Turkey;Ukraine;United Kingdom;
