Name;Networking support;NE2000/RTL8029;RTL8139;Gigabit Ethernet;10 Gigabit Ethernet;Wireless LAN;Bluetooth;IrDA;
Linux;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
FreeBSD;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
OpenBSD;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};
NetBSD;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
DragonFly BSD;{{yes}};;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;
OpenSolaris, illumos;{{yes}};;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
AuroraUX;{{yes}};;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
Darwin, OpenDarwin;{{yes}};;;;;;;;
MINIX;{{yes}};;{{yes}};;;;;;
FreeDOS;{{yes}};{{yes}};{{yes}};;;;;;
Genode;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};
Haiku;{{yes}};{{yes}};{{yes}};{{yes}};;{{yes}};;;
KolibriOS;{{yes}};{{yes}};{{yes}};;;;{{no}};{{yes}};
MenuetOS;{{yes}};{{yes}};;;;;{{no}};{{no}};
GNU;{{yes}};;;;;;;;
ReactOS;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
L4, Fiasco, Pistachio;;;;;;;;;
Plan 9;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
AROS;{{yes}};{{yes}};;;;;;;
Syllable;{{yes}};{{yes}};{{yes}};{{yes}};;;;;
Inferno;{{yes}};{{yes}};{{yes}};{{yes}};;{{yes}};{{no}};{{no}};
FreeRTOS;;;;;;;;
eCos;{{yes}};;;{{yes}};;;{{yes}};;
RTEMS;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
HelenOS;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
E/OS;V2 OS;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}}{{Ref|11}};{{no}};;
K42;
UnixLite -->;
Name;Networking support;NE2000/RTL8029;RTL8139;Gigabit Ethernet;10 Gigabit Ethernet;Wireless LAN;Bluetooth;IrDA;
