Model;Launch;Code name;Fab (nm);Bus interface;Core clock (MHz);Memory clock (MHz);Core config1;Fillrate;Memory;
MOperations/s;MPixels/s;MTexels/s;MVertices/s;Size (MB);Bandwidth (GB/s);Bus type;Bus width (bit);
GeForce 6100 + nForce 405/410/430;October 20, 2005;MCP51;90;HyperTransport;425;100–200 (DDR) 200–533 (DDR2) 400-667 (DDR3);2:1:2:1;850;425;850;106.25;Up to 256 system RAM;1.6–6.4 (DDR) 3.2–17.056 (DDR2) 6.4-21.3 (DDR3);DDR DDR2 DDR3;64 128;
GeForce 6150 SE + nForce 405/410/430;June 2006;MCP61;90;HyperTransport;425;100–200 (DDR) 200–533 (DDR2) 400-667 (DDR3);2:1:2:1;850;425;850;106.25;Up to 256 system RAM;1.6–6.4 (DDR) 3.2–17.056 (DDR2) 6.4-21.3 (DDR3);DDR DDR2 DDR3;64 128;
GeForce 6150 LE + nForce 405/410/430;June 2006;MCP61;90;HyperTransport;425;100–200 (DDR) 200–533 (DDR2) 400-667 (DDR3);2:1:2:1;850;425;850;106.25;Up to 256 system RAM;1.6–6.4 (DDR) 3.2–17.056 (DDR2) 6.4-21.3 (DDR3);DDR DDR2 DDR3;64 128;
GeForce 6150 + nForce 405/410/430;October 20, 2005;MCP51;90;HyperTransport;475;100–200 (DDR) 200–533 (DDR2) 400-667 (DDR3);2:1:2:1;950;475;950;118.75;Up to 256 system RAM;1.6–6.4 (DDR) 3.2–17.056 (DDR2) 6.4-21.3 (DDR3);DDR DDR2 DDR3;64 128;
GeForce 6200 LE;2005;NV44;110;AGP 8× PCIe ×16;350;266;2:1:2:2;700;700;700;87.5;128 256;4.256;DDR;64;
GeForce 6200A;April 4, 2005;NV44A;110;AGP 8×;350[5];250 533 (DDR2)[5];4:3:4:2;1400[5];700[5];1400[5];175 225 (DDR2)[6];128 256 (DDR2)[5] 512 (DDR2)[5];4 13.3 (DDR2)[7];DDR DDR2[6];64[6];
GeForce 6200;October 12, 2004 (PCIe) January 17, 2005 (AGP);NV43;110;AGP 8× PCI PCIe ×16;300;275;4:3:4:4;1200;1200;1200;225;128 256;8.8;DDR2;128;
GeForce 6200 TurboCache;December 15, 2004;NV44;110;PCIe ×16;350;350;4:3:4:2;1400;700;1400;262.5;128–256 System RAM incl.16/32–64/128 onboard;5.6;DDR;64;
GeForce 6500;October 1, 2005;NV44;110;PCIe ×16;400;333;4:3:4:2;1600;800;1600;300;128 256;5.328;DDR;64;
GeForce 6600 LE;2005;NV43;110;AGP 8× PCIe ×16;300;200;4:3:4:4;1200;1200;1200;225;128 256;6.4;DDR;128;
GeForce 6600;August 12, 2004;NV43;110;AGP 8× PCIe ×16;300;275 400;8:3:8:4;2400;1200;2400;225;128 256;8.8 12.8;DDR DDR2;128;
GeForce 6600 GT;August 12, 2004 (PCIe) November 14, 2004 (AGP);NV43;110;AGP 8× PCIe ×16;500;475 (AGP) 500 (PCIe);8:3:8:4;4000;2000;4000;375;128 256;15.2[8] (AGP) 16 (PCIe);GDDR3;128;
GeForce 6800 LE;July 22, 2004 (AGP) January 16, 2005 (PCIe);NV40 (AGP) NV41 (PCIe);130;AGP 8× PCIe ×16;320 (AGP) 325 (PCIe);350;8:4:8:8;2560 (AGP) 2600 (PCIe);2560 (AGP) 2600 (PCIe);2560 (AGP) 2600 (PCIe);320 (AGP) 325 (PCIe);128;22.4;DDR;256;
GeForce 6800 XT;September 30, 2005;NV40 (AGP) NV41 (PCIe);130;AGP 8× PCIe ×16;325;350;8:4:8:8;2600;2600;2600;325;256;22.4;DDR;256;
GeForce 6800;April 14, 2004 (AGP) November 8, 2004 (PCIe);NV40 (AGP) NV41 (PCIe);130;AGP 8× PCIe ×16;325;350;12:5:12:12;3900;3900;3900;406.25;128 256;22.4;DDR;256;
GeForce 6800 GTO;April 14, 2004;NV45;130;PCIe ×16;350;450;12:5:12:12;4200;4200;4200;437.5;256;28.8;GDDR3;256;
GeForce 6800 GS;November 7, 2005 (PCIe) December 8, 2005 (AGP);NV42 (PCIe) NV40 (AGP);110 130;PCIe ×16;425;500;12:5:12:12;5100;5100;5100;531.25;128 256;32;GDDR3;256;
GeForce 6800 GT;May 4, 2004 (AGP) June 28, 2004 (PCIe);NV40 (AGP) NV45 (PCIe);130;AGP 8× PCIe ×16;350;500;16:6:16:16;5600;5600;5600;525;128 256;32;GDDR3;256;
GeForce 6800 Ultra;May 4, 2004 (AGP) June 28, 2004 (PCIe) March 14, 2005 (512 MB);NV40 (AGP) NV45 (PCIe);130;AGP 8× PCIe ×16;400;525 (512 MB) 550 (256 MB);16:6:16:16;6400;6400;6400;600;256 512;33.6 (512 MB) 35.2 (256 MB);GDDR3;256;
GeForce 6800 Ultra Extreme;May 4, 2004;NV40;130;AGP 8×;450;550;16:6:16:16;7200;7200;7200;675;256;35.2;GDDR3;256;
Model;Launch;Code name;Fab (nm);Bus interface;Core clock (MHz);Memory clock (MHz);Core config1;Fillrate;Memory;
MOperations/s;MPixels/s;MTexels/s;MVertices/s;Size (MB);Bandwidth (GB/s);Bus type;Bus width (bit);
