Implementation;sect163k1 {{nowrap|NIST K-163}} (1)[73];sect163r1 (2)[73];sect163r2 {{nowrap|NIST B-163}} (3)[73];sect193r1 (4)[73];sect193r2 (5)[73];sect233k1 {{nowrap|NIST K-233}} (6)[73];sect233r1 {{nowrap|NIST B-233}} (7)[73];sect239k1 (8)[73];sect283k1 {{nowrap|NIST K-283}} (9)[73];sect283r1 {{nowrap|NIST B-283}} (10)[73];sect409k1 {{nowrap|NIST K-409}} (11)[73];sect409r1 {{nowrap|NIST B-409}} (12)[73];sect571k1 {{nowrap|NIST K-571}} (13)[73];sect571r1 {{nowrap|NIST B-571}} (14)[73];
BearSSL[146];{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Botan;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
BoringSSL;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
CryptoComply;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
GnuTLS;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
JSSE;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
LibreSSL;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
MatrixSSL;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
mbed TLS;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
NSS;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
OpenSSL;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
RomSTL;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
RSA BSAFE;{{yes}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
rustls;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
SChannel Vista/2008, 7/2008R2, 8/2012, 8.1/2012R2, 10;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Secure Transport;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
wolfSSL;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Erlang/OTP SSL application;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Implementation;sect163k1 {{nowrap|NIST K-163}} (1)[73];sect163r1 (2)[73];sect163r2 {{nowrap|NIST B-163}} (3)[73];sect193r1 (4)[73];sect193r2 (5)[73];sect233k1 {{nowrap|NIST K-233}} (6)[73];sect233r1 {{nowrap|NIST B-233}} (7)[73];sect239k1 (8)[73];sect283k1 {{nowrap|NIST K-283}} (9)[73];sect283r1 {{nowrap|NIST B-283}} (10)[73];sect409k1 {{nowrap|NIST K-409}} (11)[73];sect409r1 {{nowrap|NIST B-409}} (12)[73];sect571k1 {{nowrap|NIST K-571}} (13)[73];sect571r1 {{nowrap|NIST B-571}} (14)[73];
