English;Irish;Scottish Gaelic;Notes;
Gael;{{lang|ga|Gael}};{{lang|gd|Gàidheal}};Pre 1950s Gaeidheal in Irish;
Scotland;{{lang|ga|Alba}}, Albain;{{lang|gd|Alba}};;
Ireland;{{lang|ga|Éire}};{{lang|gd|Èirinn}}, {{lang|gd|Èire}};;
day;{{lang|ga|lá}};{{lang|gd|latha, là}};;
night;{{lang|ga|oíche}};{{lang|gd|oidhche}};Pre 1950s {{lang|ga|oidhche}} in Irish;
inside;{{lang|ga|isteach}};{{lang|gd|a-steach}};;
school;{{lang|ga|scoil}};{{lang|gd|sgoil}};Pre 1950s {{lang|ga|sgoil/scoil}} in Irish;
child;{{lang|ga|páiste/leanbh}};{{lang|gd|pàiste/leanabh}};;
without;{{lang|ga|gan}};{{lang|gd|gun}};;
authority;{{lang|ga|údarás}};{{lang|gd|ùghdarras}};Pre 1950s {{lang|ga|ughdarás}} in Irish;
office;{{lang|ga|oifig}};{{lang|gd|oifis}};;
star;{{lang|ga|réalt(a)}};{{lang|gd|reul}};Pre 1950s {{lang|ga|réalt(a), reult(a)}} in Irish;
hotel;{{lang|ga|óstán, teach/tigh ósta}};{{lang|gd|taigh-òsda}}[7];Pre 1950s {{lang|ga|óstán/ósdán, teach/tigh ósta/ósda }} in Irish;
house;{{lang|ga|teach}} (nom-acc), {{lang|ga|tigh}} (dat); Munster {{lang|ga|tigh}};{{lang|gd|taigh}};In biblical Gaelic tigh;
town;{{lang|ga|baile}};{{lang|gd|baile}};;
news;{{lang|ga|nuacht}}; Ulster {{lang|ga|nuaidheacht}};{{lang|gd|naidheachd}};;
open;{{lang|ga|oscail}};{{lang|gd|fosgail}};Also foscail in Ulster Irish;
year;{{lang|ga|bliain}};{{lang|gd|bliadhna}};Pre-1950s {{lang|ga|bliadhain}} in Irish. The form {{lang|ga|bliadhna}} ({{lang|ga|bliana}} today) is used as a special plural form following numerals; the regular plural is blianta). Some eastern Scottish Gaelic dialects use the form {{lang|gd|bliadhn}}[8].;
radio;{{lang|ga|raidió}};{{lang|gd|radio}};Also {{lang|ga|réidió}} and {{lang|gd|rèidio}} in spoken Irish and Scottish Gaelic;
report;{{lang|ga|aithris}};{{lang|gd|aithris}};;
king;{{lang|ga|rí}};{{lang|gd|rìgh}};Pre-1950s genitive {{lang|ga|ríogh}} and dative {{lang|ga|rígh}} in Irish;
government;{{lang|ga|rialtas}};{{lang|gd|riaghaltas}};Pre-1950s {{lang|ga|riaghaltas}} in Irish;
parliament;{{lang|ga|parlaimint}};{{lang|gd|pàrlamaid}};;
island;{{lang|ga|oileán}}, inis;{{lang|gd|eilean}}, inis;;
river;{{lang|ga|abhainn}}, Munster {{lang|ga|abha}};{{lang|gd|abhainn}};;
bridge;{{lang|ga|droichead}};{{lang|gd|drochaid}};;
water;{{lang|ga|uisce}};{{lang|gd|uisge}};;
whisk(e)y;{{lang|ga|uisce beatha}};{{lang|gd|uisge-beatha}};;
God;{{lang|ga|Dia}};{{lang|gd|Dia}};;
church;{{lang|ga|eaglais}};{{lang|gd|eaglais}};In Irish, {{lang|ga|eaglais}} is a Roman Catholic house of worship; a Protestant house of worship is called a {{lang|ga|teampall}} (temple). As Gaeilge 'séipéal' is also used as it can mean chapel as well.;
prayer;{{lang|ga|urnaí}};{{lang|gd|ùrnaigh}};Also {{lang|ga|urnaighe}} in Irish.;
black;{{lang|ga|dubh}};{{lang|gd|dubh}};;
white;{{lang|ga|bán}};{{lang|gd|bàn}};;
