Meaning;Spanish;Portuguese;Notes;
alibi;coartada < Lat. {{sm|coarctare}};álibi < Lat. {{sm|alibi}};;
Cheap;Barata;Barato;Barata in Portuguese meaning cockroach;
cockroach;cucaracha;Barata;;
store, shop;tienda < Late Lat. {{sm|tendam}} (< {{sm|tendere}});loja < Fr. {{sm|loge < Frankish laubja}};;
knee;rodilla < Lat. {{sm|rotellam}} ('little wheel');joelho < Lat. {{sm|genuculum}};The learned word rótula ('kneecap' in both Sp. and Port.) is from the same root as Spanish rodilla. Sp. de hinojos 'kneeling' is from the same source as Port. joelho.;
home;hogar < Lat. e{{sm|focus}};Lar < Lat. {{sm|Lar}};
street;calle < Lat. {{sm|callem}};rua < Lat. {{sm|[viam] r?gam}};;
(legal) prosecutor;fiscal < Lat. {{sm|fiscalis}};procurador < Lat. {{sm|procurator}};
highway, road;carretera < carreta + ?era < carro < Lat. {{sm|carrus}} < Gaulish carros;estrada < Lat. {{sm|strata}};;
retailer;minorista < Lat. {{sm|minor + ista}};retalhista < Late Lat. {{sm|taliare + ista}};;
sales;rebajas < Lat. prefix 're' + {{sm|bassus}};saldos, liquidação < Ita. {{sm|saldo < soldo}}, Lat. {{sm|liquidus}};;
grocer;abarrotero Uncertain < Lat. or < Pre-Roman {{sm|barra}};merceeiro < Lat. {{sm|merx + suffix eiro}};;
organic food;comida orgánica < Lat. + Greek {{sm|comeder+organ?cum < órganon }};alimentação biológica, Bio < Lat. + Greek {{sm|alere + ????+?????}};In Brazil, the most common expression is the same as in Spanish, albeit written with an â instead of an á: comida orgânica.;
leather;piel < Lat. {{sm|pellis}};couro, coiro < Lat. {{sm|c?r?um}};Spanish also has cuero. Portuguese pele usually means 'skin' or 'fur', but it can also mean 'leather'.;
fight, brawl;pelea < Lat. {{sm|pilus}};briga < Ita. or Occitan {{sm|briga}};Portuguese also has peleja;
riff-raff, mob;chusma < Genoese ciüsma < Gr. {{sm|????????}};canalha < Occitan {{sm|canalha}};;
police station;comisaría (de policía) < Lat. + Gr. {{sm|comissarius + politia < ???????? }};esquadra, posto de polícia < Lat. + Gr. {{sm|ex-quadrata, positus + politia < ????????}};Brazilian Port. tends to use 'delegacia (de polícia)';
litter, rubbish;basura < Lat. {{sm|vers?ra}};lixo < Lat. {{sm|l?x < l?cis}};;
hole;agujero < Lat. + suffix {{sm|acuc?la + ero}};buraco < Proto-Germanic {{sm|bur?, bur?n?[6]}};;
drill;taladro < Lat. {{sm|taratrum}};furadeira (Brazilian Portuguese) < Lat. {{sm|forare + eira}} or berbequim (European Portuguese) < Fr. {{sm|vilebrequin}} < Dutch {{sm|wimmelkijn}};;
demolition hammer;rompedor < Lat. {{sm|rumpere + dor}};martelo demolidor < Lat. {{sm|martulus demolitio + dor}};;
parsley;perejil;Salsa;;
Sauce;salsa;Molho;;
