File system;Maximum filename length;Allowable characters in directory entries{{efn |name=note-25 |These are the restrictions imposed by the on-disk directory entry structures themselves. Particular Installable File System drivers may place restrictions of their own on file and directory names; operating systems may also place restrictions of their own, across all filesystems. DOS, Windows, and OS/2 allow only the following characters from the current 8-bit OEM codepage in SFNs: A-Z, 0-9, characters ! # $ % & ' ( ) - @ ^ _ ` { } ~, as well as 0x80-0xFF and 0x20 (SPACE). Specifically, lowercase letters a-z, characters " * / : < > ? \ | + , . ; = [ ], control codes 0x00-0x1F, 0x7F and in some cases also 0xE5 are not allowed.) In LFNs, any UCS-2 Unicode except \ / : ? * " &gt; &lt; | and NUL are allowed in file and directory names across all filesystems. Unix-like systems disallow the characters / and NUL in file and directory names across all filesystems.}};Maximum pathname length;Maximum file size;Maximum volume size{{efn |name=note-4 |For filesystems that have variable allocation unit (block/cluster) sizes, a range of size are given, indicating the maximum volume sizes for the minimum and the maximum possible allocation unit sizes of the filesystem (e.g. 512 bytes and 128 KiB for FAT — which is the cluster size range allowed by the on-disk data structures, although some Installable File System drivers and operating systems do not support cluster sizes larger than 32 KiB).}};Max number of files;
BeeGFS;255 bytes;Any byte except NUL{{efn |name=note-26}};No limit defined{{efn |name=note-12}};16 EiB;16 EiB;{{dunno}};
CP/M file system;8.3;ASCII except for &lt; &gt; . , ; : = ? * [ ];No directory hierarchy (but accessibility of files depends on user areas via USER command since CP/M 2.2);32 MiB;512 MiB;{{dunno}};
IBM SFS;8.8;{{dunno}};{{dunno}};Non-hierarchical[6];data-sort-type="number" data-sort-value="0" {{dunno}};{{dunno}};
DECtape;6.3;A–Z, 0–9;DTxN:FILNAM.EXT = 15;369,280 bytes (577 * 640);369,920 bytes (578 * 640);{{dunno}};
Elektronika BK tape format;16 bytes;{{dunno}};No directory hierarchy;64 KiB;Not limited. Approx. 800KB (one side) for 90 min cassette;{{dunno}};
MicroDOS file system;14 bytes;{{dunno}};{{dunno}};16 MiB;32 MiB;{{dunno}};
Level-D;6.3;A–Z, 0–9;DEVICE:FILNAM.EXT[PROJCT,PROGRM] = 7 + 10 + 15 = 32; + 5*7 for SFDs = 67;34,359,738,368 words (2**35-1); 206,158,430,208 SIXBIT bytes;Approx 12 GB (64 * 178 MB);{{dunno}};
RT-11;6.3;A–Z, 0–9, $;0 (no directory hierarchy);33,554,432 bytes (65536 * 512);33,554,432 bytes;{{dunno}};
Version 6 Unix file system (V6FS);14 bytes;Any byte except NUL and /{{efn |name=note-26 |In these filesystems the directory entries named "." and ".." have special status. Directory entries with these names are not prohibited, and indeed exist as normal directory entries in the on-disk data structures. However, they are mandatory directory entries, with mandatory values, that are automatically created in each directory when it is created; and directories without them are considered corrupt.}};No limit defined{{efn |name=note-12 |The on-disk structures have no inherent limit. Particular Installable File System drivers and operating systems may impose limits of their own, however. Limited by its Current Directory Structure (CDS), DOS does not support more than 32 directory levels (except for DR DOS 3.31-6.0) or full pathnames longer than 66 bytes for FAT, or 255 characters for LFNs. Windows NT does not support full pathnames longer than 32,767 bytes for NTFS. Linux has a pathname limit of 4,096.}};16 MiB{{efn |name=note-57 |The file size in the inode is 1 8-bit byte followed by 1 16-bit word, for 24 bits. The actual maximum was 8,847,360 bytes, with 7 singly-indirect blocks and 1 doubly-indirect block; PWB/UNIX 1.0's variant had 8 singly-indirect blocks, making the maximum 524,288 bytes or half a MiB.}};32 MiB;{{dunno}};
Disk Operating System (GEC DOS);{{dunno}};{{dunno}};{{dunno}};data-sort-type="number" data-sort-value="0" {{dunno}} at least 131,072 bytes;data-sort-type="number" data-sort-value="0" {{dunno}};{{dunno}};
GEC DOS filing system extended;8 bytes;A–Z, 0–9. Period was directory separator;{{dunno}} No limit defined (workaround for OS limit);data-sort-type="number" data-sort-value="0" {{dunno}} at least 131,072 bytes;data-sort-type="number" data-sort-value="0" {{dunno}};{{dunno}};
CBM DOS;16 bytes;Any byte except NUL;0 (no directory hierarchy);16 MiB;16 MiB;{{dunno}};
