Name;RAID;quota;Resource access control;encryption;other special file system features;
Linux;{{yes}};{{yes}};Unix, ACL, MAC;{{yes}};LVM, EVMS;
FreeBSD;{{yes}};{{yes}};Unix, ACL, MAC;{{yes}};GEOM, snapshots, background fsck, user-mountable file systems;
OpenBSD;{{yes}};{{yes}};Unix;{{yes}};;
NetBSD;{{yes}};{{yes}};Unix, Veriexec;{{yes}};Snapshots, Journaling;
DragonFly BSD;{{yes}};{{yes}};Unix;{{yes}};HAMMER, Snapshots, Checksumming, Deduplication;
OpenSolaris, illumos;{{yes}};{{yes}};Unix, ACL, MAC;{{yes}};Solaris Volume Manager, ZFS, snapshots, transparent data repair;
AuroraUX;{{yes}};{{yes}};Unix, ACL, MAC;;Solaris Volume Manager, ZFS, snapshots, transparent data repair;
Darwin, OpenDarwin;;{{yes}};Unix, ACL;{{yes}};;
MINIX;;;Unix;;;
FreeDOS;;;{{no}};;;
Genode;{{no}};{{no}};{{no}};{{no}};Per-process virtual file-system layer;
KolibriOS;;;{{no}};;;
MenuetOS;;;{{no}};;;
GNU;;;Unix;;;
ReactOS;;;{{no}};;;
L4, Fiasco, Pistachio;;;;;;
Plan 9;{{no}};{{no}};Unix-like, no root;{{no}};snapshots, venti archival storage, per-process namespace, user-mountable file systems;
AROS;;;;;;
Syllable;;;Unix;;64-bit, journaling, extended file attributes;
Inferno;{{no}};{{no}};Unix-like, no root;{{no}};per-process namespace, user-mountable file systems;
FreeRTOS;;;;;;
eCos;;;;;;
RTEMS;;;;;;
HelenOS;{{no}};{{no}};{{no}};{{no}};{{no}};
E/OS;V2 OS;{{yes}};{{yes}};Unix;{{yes}};;
K42;
UnixLite -->;
Name;RAID;quota;Resource access control;encryption;other special file system features;
