;RAW imports;BMP;GIF;JPEG;JPEG 2000;HD Photo;PNG;TIFF;PSD;PSP;XCF;PCX;ORA;HEIF;
Ability Photopaint;{{dunno}};{{yes}};{{yes}};{{yes}};{{no}};;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{dunno}};;;
ACD Canvas;{{dunno}};{{yes}};{{yes}};{{yes}};{{no}};;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{dunno}};;;
ACDSee (Win);{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};;
Acorn Image Editor;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};;;
Adobe Fireworks*;{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};{{yes}};{{no}};{{no}};;
Adobe Photoshop;{{yes}};{{yes}};{{yes}};{{yes}};{{partial|Via plug-in}}[29];{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};;;
Adobe Photoshop Lightroom;{{yes}};{{no}};{{partial|Via plug-in}}[30];{{yes}};{{partial|Via plug-in}}[31];{{no}};{{partial|Via plug-in}}[30];{{yes}};{{partial}}[32];{{dunno}};{{dunno}};{{dunno}};;;
Affinity Photo;{{yes}};?;{{yes}};{{yes}};{{no}};?;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};;
Autodesk SketchBook Pro;{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};;;
Artipic;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};{{partial}};{{no}};{{no}};{{yes}};;;
ArtRage;{{dunno}};{{yes}};{{yes}};{{yes}};{{no}};;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{dunno}};;;
Artweaver;{{no}};{{yes}};{{yes}};{{yes}};{{partial}};;{{yes}};{{yes}};{{partial}};{{no}};{{no}};{{yes}};;;
Bibble*;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};;;
Brush Strokes Image Editor;{{dunno}};{{yes}};{{yes}};{{yes}};{{no}};;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};;;
Capture One;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};;;
Chasys Draw IES;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;
CinePaint;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};;{{yes}};{{yes}};{{partial}};{{no}};{{yes}};{{dunno}};;;
CodedColor PhotoStudio Pro;{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};;;
Corel PaintShop Pro;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};{{partial}}[33];{{yes}};{{no}};{{yes}};;;
Corel Painter;{{dunno}};{{yes}};{{yes}};{{yes}};{{no}};;{{no}};{{yes}}[34];{{yes}};{{yes}};{{no}};Import;;;
Corel Photo-Paint;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};;;
darktable;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};;;
Deluxe Paint*[35];{{no}};{{dunno}};{{yes}};{{yes}};{{no}};;{{yes}};{{no}};{{no}};{{no}};{{no}};{{dunno}};;;
DigiKam;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{dunno}};;;
Erdas Imagine;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};Import;;;
