;Modeling;3D Painting;Animation;Rendering;3D Tracking;Compositing;
3ds Max;{{yes}};{{yes}};{{yes}};{{yes}};{{some|Autodesk MatchMover}};{{some}};
AC3D;{{yes}};?;?;{{no}};{{no}};{{no}};
Blender;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Electric Image Animation System;{{no|dropped[6]}};?;{{yes}};{{yes}};{{no}};?;
Cinema 4D;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|R16 or later}};{{no}};
Clara.io;{{yes}};?;{{yes}};{{yes}};{{no}};?;
Cobalt;{{yes}};?;{{yes}};{{yes}};{{no}};?;
HiCAD;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
Houdini;{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};
IClone;{{yes}};?;{{yes}};{{yes}};?;?;
Lightwave 3D;{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};
MakeHuman;{{yes|parameter-based}};{{no}};{{no}};{{no}};{{no}};{{no}};
Maya;{{yes}};{{yes}};{{yes}};{{yes}};{{some|Autodesk MatchMover}};{{some|Autodesk Composite}};
Metasequoia;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};
Modo;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
Remo 3D;{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};
Shade;{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};
Softimage;{{yes}};{{yes|3.7 or later}};{{yes}};{{yes}};{{no}};{{yes}};
Solid Edge;{{yes}};?;{{yes}};{{yes}};{{no}};?;
SketchUp Make;{{yes}}[7][8];?;{{yes}}[7];{{yes}}[7];{{no}};{{no}};
SketchUp Pro;{{yes}}[7][8];?;{{yes}}[7];{{yes}}[7];{{no}};{{no}};
Wings3D;{{yes}};?;{{no}};{{yes}};{{no}};?;
