Model;Launch;Code name;Fab (nm);Transistors (million);Die size (mm2);Bus interface;Core config1;Clock rate;Fillrate;Memory;Supported API version;Processing power (GFLOPS)3;TDP (Watts);Comments;
Core (MHz);Shader (MHz);Memory (MHz);Pixel (GP/s);Texture (GT/s);Size (MB);Bandwidth (GB/s);Bus type;Bus width (bit);Direct3D;OpenGL;Single precision;
GeForce 8100 mGPU[11];2008;MCP78;80;{{unk}};{{unk}};PCIe 2.0 ×16;8:8:4;500;1200;400 (system memory);2;4;Up to 512 from system memory;6.4 12.8;DDR2;64 128;10.0;3.3;28.8;{{unk}};The block of decoding of HD-video PureVideo HD is disconnected;
GeForce 8200 mGPU[11];2008;MCP78;80;{{unk}};{{unk}};8:8:4;500;1200;400 (system memory);2;4;gt;6.4 12.8;DDR2;64 128;10.0;3.3;28.8;{{unk}};PureVideo 3 with VP3;
GeForce 8300 mGPU[11];2008;MCP78;80;{{unk}};{{unk}};8:8:4;500;1500;400 (system memory);2;4;Up to 512 from system memory;6.4 12.8;DDR2;64 128;10.0;3.3;36;{{unk}};PureVideo 3 with VP3;
GeForce 8300 GS[12];July 2007;G86;80;210;127;PCIe 1.0 ×16;8:8:4;450;900;400;1.8;3.6;128 512;6.4;DDR2;64;10.0;3.3;14.4;40;OEM only;
GeForce 8400 GS;June 15, 2007;G86;80;210;127;PCIe 1.0 ×16 PCI;16:8:4;450;900;400;1.8;3.6;128 256 512;6.4;DDR2;64;10.0;3.3;28.8;40;;
GeForce 8400 GS rev.2;December 10, 2007;G98;65;210;86;PCIe 2.0 ×16 PCIe ×1 PCI;8:8:4;567;1400;400;2.268;4.536;128 256 512;6.4;DDR2;64;10.0;3.3;22.4;25;;
GeForce 8400 GS rev.3;April 26, 2009;GT218;40;260;57;PCIe 2.0 ×16;8:4:4;520 589;1230;600;2.08 2.356;2.08 2.356;512 1024;4.8 9.6;DDR3;32 64;10.1;3.3;19.7;25;;
GeForce 8500 GT;April 17, 2007;G86;80;210;127;PCIe 1.0 ×16 PCI;16:8:4;450;900;400;1.8;3.6;256 512 1024;12.8;DDR2;128;10.0;3.3;28.8;45;;
GeForce 8600 GS;April 2007;G84;80;289;169;PCIe 1.0 ×16;16:8:8;540;1180;400;4.32;4.32;256 512;12.8;DDR2;128;10.0;3.3;75.5;47;OEM only;
GeForce 8600 GT;April 17, 2007;G84;80;289;169;PCIe 1.0 ×16 PCI;32:16:8;540;1188;400 700;4.32;8.64;256 512 1024;12.8 22.4;DDR2 GDDR3;128;10.0;3.3;76;47;;
GeForce 8600 GTS;April 17, 2007;G84;80;289;169;PCIe 1.0 ×16;32:16:8;675;1450;1000;5.4;10.8;256 512;32;GDDR3;128;10.0;3.3;92.8;71;;
GeForce 8800 GS;January 2008;G92;65;754;324;PCIe 2.0 ×16;96:48:12;550;1375;800;6.6;26.4;384 768;38.4;GDDR3;192;10.0;3.3;264;105;;
GeForce 8800 GTS (G80);February 12, 2007 (320) November 8, 2006 (640);G80;90;681;484;PCIe 1.0 ×16;96:24:20;513;1188;800;10.3;24.6;320 640;64;GDDR3;320;10.0;3.3;228;146;;
GeForce 8800 GTS 112 (G80);November 19, 2007;G80;90;681;484;112:282:20;500;1200;800;10;24;640;64;GDDR3;320;10.0;3.3;268.8;150;only XFX, EVGA and BFG models, very short-lived[13];
GeForce 8800 GT;October 29, 2007 (512) December 11, 2007 (256, 1024);G92;65;754;324;PCIe 2.0 ×16;112:56:16;600;1500;700 (256) 900 (512, 1024);9.6;33.6;256 512 1024;57.6;GDDR3;256;10.0;3.3;336;125;;
GeForce 8800 GTS (G92);December 11, 2007;G92;65;754;324;128:64:16;650;1625;970;10.4;41.6;512;62.1;GDDR3;256;10.0;3.3;416;135;;
GeForce 8800 GTX;November 8, 2006;G80;90;681;484;PCIe 1.0 ×16;128:322:24;575;1350;900;13.8;36.8;768;86.4;GDDR3;384;10.0;3.3;345.6;145;;
GeForce 8800 Ultra;May 2, 2007;G80;90;681;484;128:322:24;612;1500;1080;14.7;39.2;768;103.7;GDDR3;384;10.0;3.3;384;175;;
Model;Launch;Code name;Fab (nm);Transistors (million);Die size (mm2);Bus interface;Core config1;Core (MHz);Shader (MHz);Memory (MHz);Pixel (GP/s);Texture (GT/s);Size (MB);Bandwidth (GB/s);Bus type;Bus width (bit);Direct3D;OpenGL;Single precision;TDP (Watts);Comments;
Clock rate;Fillrate;Memory;Supported API version;Processing power (GFLOPS)3;
