Implementation;brainpoolP256r1 (26)[148];brainpoolP384r1 (27)[148];brainpoolP512r1 (28)[148];X25519 [149];Curve448 {{nowrap|Ed448-Goldilocks}} [150];M221 Curve2213 [151];E222 [151];Curve1174 [151];E382 [151];M383 [151];Curve383187 [151];Curve41417 Curve3617 [151];M511 Curve511187 [151];E521 [151];
BearSSL[146];{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Botan;{{yes}}[152];{{yes}}[152];{{yes}}[152];{{yes}}[117];{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
BoringSSL;{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
CryptoComply;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
GnuTLS;{{no}};{{no}};{{no}};{{yes}}[153];{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
JSSE;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
LibreSSL;{{yes}}[27];{{yes}}[27];{{yes}}[27];{{yes}}[154];{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
MatrixSSL;{{yes}};{{yes}};{{yes}};{{partial|TLS 1.3 only}}[155];{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
mbed TLS;{{yes}}[156];{{yes}}[156];{{yes}}[156];{{partial|Primitive only}}[157];{{partial|Primitive only}}[158];{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
NSS;{{no}}[159];{{no}}[159];{{no}}[159];{{yes}}[160];{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
OpenSSL;{{yes}}[38];{{yes}}[38];{{yes}}[38];{{yes}}[161][162];{{yes}}[163][164];{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
RomSTL;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
RSA BSAFE;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
rustls;{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
SChannel Vista/2008, 7/2008R2, 8/2012, 8.1/2012R2, 10;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Secure Transport;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
wolfSSL;{{yes}};{{yes}};{{yes}};{{yes}}[165];{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Erlang/OTP SSL application;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Implementation;brainpoolP256r1 (26);brainpoolP384r1 (27);brainpoolP512r1 (28);Curve25519;Curve448 {{nowrap|Ed448-Goldilocks}};M221 Curve2213;E222;Curve1174;E382;M383;Curve383187;Curve41417 Curve3617;M511 Curve511187;E521 [151];
