Format;Languages;
IF string1<string2 THEN -1 ELSE ABS (string1>string2) FI;ALGOL 68;
cmp(string1, string2);Python 2;
(string1 > string2) - (string1 < string2);Python;
strcmp(string1, string2);C, PHP;
std.string.cmp(string1, string2);D;
StrComp(string1, string2);VB, Object Pascal (Delphi);
string1 cmp string2;Perl 5 / Perl 6;
string1 compare: string2;Smalltalk (Squeak, Pharo);
string1 <=> ''string<sub>2</sub>''</code>;Ruby;
string1.compare(string2);C++ (STL), Swift (Foundation);
compare(string1, string2);Rexx, Seed7;
CompareStr(string1, string2);Pascal, Object Pascal (Delphi);
string1.compareTo(string2);Cobra, Java;
string1.CompareTo(string2);VB .NET, C#, F#;
(compare string1 string2);Clojure;
(string= string1 string2);Common Lisp;
(string-compare string1 string2 p<'' ''p='' ''p>'')</code>;Scheme (SRFI 13);
(string= string1 string2);ISLISP;
compare string1 string2;OCaml;
String.compare (string1, string2);Standard ML [3];
compare string1 string2;Haskell [4];
[string]::Compare(string1, string2);Windows PowerShell;
[string1 compare:string2];Objective-C (NSString * only);
LLT(string1,string2) LLE(string1,string2) LGT(string1,string2) LGE(string1,string2);Fortran [5];
string1.localeCompare(string2);JavaScript;
bytes.Compare([]byte(string1), []byte(string2));Go;
string compare ?-nocase? ?-length int? string1 string2;Tcl;
compare(string1,string2,count);PL/I[6];
