;Integer;Single precision;Double precision;Half and Quadruple precision etc.;
Ada[1];{{n/a}};Complex{{ref|generic type|[b]}};Complex{{ref|generic type|[b]}};Complex{{ref|generic type|[b]}};
ALGOL 68;{{n/a}};compl;long compl etc.;short compl etc. & long long compl etc.;
C (C99) [9];{{n/a}};float complex;double complex;rowspan=7 {{n/a}};
C++ (STL);{{n/a}};std::complex<float></code>;std::complex<double></code>;
C#;{{n/a}};{{n/a}};System.Numerics.Complex (.NET 4.0);
Java;{{n/a}};{{n/a}};{{n/a}};
Go;{{n/a}};complex64;complex128;
D;{{n/a}};cfloat;cdouble;
Objective-C;{{n/a}};{{n/a}};{{n/a}};
Common Lisp;(complex integer);(complex single-float);(complex double-float);complex;
Scheme;;;;rowspan=4 {{n/a}};
Pascal;{{n/a}};{{n/a}};;
Visual Basic;{{n/a}};{{n/a}};;
Visual Basic .NET;{{n/a}};{{n/a}};System.Numerics.Complex (.NET 4.0);
Perl;;;Math::Complex;;
Perl 6;;complex64;complex128;Complex;
Python;;;complex;rowspan=15 {{n/a}};
JavaScript;{{n/a}};{{n/a}};;
S-Lang;{{n/a}};{{n/a}};;
Fortran;;COMPLEX(KIND = n){{ref|complex kinds|[a]}};
Ruby;Complex;{{n/a}};Complex;
Scala;{{n/a}};{{n/a}};{{n/a}};
Seed7;{{n/a}};{{n/a}};complex;
Smalltalk;Complex;Complex;Complex;
Windows PowerShell;{{n/a}};{{n/a}};;
OCaml;{{n/a}};{{n/a}};Complex.t;
F#;;;System.Numerics.Complex (.NET 4.0);
Standard ML;{{n/a}};{{n/a}};{{n/a}};
Haskell (GHC);{{n/a}};Complex{{Not a typo|.}}Complex Float;Complex{{Not a typo|.}}Complex Double;
Eiffel;{{n/a}};{{n/a}};{{n/a}};
COBOL;{{n/a}};{{n/a}};{{n/a}};
Mathematica;Complex;{{n/a}};{{n/a}};Complex;
