Research Networking Tool;Thesaurus/Controlled Vocabulary Used;Ontology/Ontologies Supported;Automatic Author Disambiguation;
Academic Room;unknown;unknown;{{no}};
Activity Insight;{{yes}};Fully customizable data collection screens; campus, college and department-defined ontologies;{{yes}};
C-IKNOW;Not applicable;Uses elements of FOAF and Dublin Core in RDF; uses Pellet reasoning engine;{{no}} (but can be done in conjunction with software developed at Northwestern University);
PROFILES by Mentis® (formerly Collaborative Partnership / Profile System);{{yes}};Dublin Core, Social Media and compatible with VIVO and other popular ontologies;{{yes}};
Community Academic Profiles - CAP;MeSH;Unknown;{{Yes}} (partial);
Converis;In some fields;CASRAI, VIVO;{{yes}} (Author clustering capabilities used to match authors with papers);
CurvitaTM Profile Manager;Unknown;Unknown;{{no}};
CUSP - Columbia University Scientific Profiles;Unknown;Unknown;{{yes}};
Digital Vita;Unknown;Unknown;{{no}} (but can be done manually by authors);
Elsevier's Pure (now integrated with SciVal Experts);The "Elsevier Fingerprinting Engine" uses ten thesauri including MeSH to match and identify key concepts for an individual or group of people. Thesauri updates and expansion are ongoing.;Maps to VIVO ontology;{{yes}};
Elsevier's SciVal;The "Elsevier Fingerprinting Engine" uses ten thesauri including MeSH to match and identify key concepts for an individual or group of people. Thesauri updates and expansion are ongoing.;Maps to VIVO ontology;{{yes}};
Epernicus Solutions & Epernicus Network;Unknown;Unknown;{{no}} (can be done manually by authors);
ERIM Member Profile System (ERIM MIS);Unknown;Unknown;{{yes}} (uses author ID numbers);
EUREKA!TM Enhancing Student Research;Unknown;Unknown;{{no}};
Expertise @ Maryland;Unknown;Unknown;{{yes}};
Faculty Profile System;Unknown;Unknown;{{no}};
Faculty Research Information Profile (FRIP);N/A;N/A;N/A;
Faculty Scholarly Productivity Index;Unknown;Unknown;Unknown;
GENIUS;Unknown;Unknown;{{no}};
Google;None (Google uses generic keywords);Unknown;{{no}} (but can be done manually through Google Scholar "My Citations" functionality);
HUBzero;Unknown;Unknown;{{no}};
iamResearcher;Unknown;Unknown;{{no}};
iAMscientist;Unknown;Unknown;{{no}};
i2iConnect;Unknown;Unknown;{{no}};
InCites;In some fields;Unknown;{{no}} (Though InCites can accept data from ResearcherID and Converis profiling systems for disambiguation);
INDURE;Unknown;Unknown;N/A;
LatticeGrid;MeSH;Uses elements of FOAF and other ontologies;{{no}} (but can be done manually by authors);
Lattes Database;Unknown;Unknown;Unknown;
LinkedIn;None;Unknown;{{no}};
Life Science Network;Unknown;Unknown;{{no}} (but can be done manually);
Loki;Unknown;Unknown;{{yes}} (uses campus directory for authentication);
Lyterati;{{yes}};Fully customizable ontology that maps to VIVO;{{yes}} (using parsing algorithm on free text);
McCormick Collaboration Visualization Tool;None;Unknown;{{yes}};
MizzouLinks;Unknown;Unknown;{{no}};
MyScienceWork;Unknown;Unknown;{{no}};
ORCID (Open Researcher and Contributor ID);Unknown;Unknown;{{yes}};
OSU:pro;Unknown;Unknown;Unknown;
Pivot;Unknown;Unknown;{{yes}};
Profiles;MeSH, others are being developed to go beyond the life and biomedical sciences;VIVO RDF ontology with additional Profiles RDF classes and properties;{{yes}} Harvard Profiles uses an XML-based "disambiguation service" to import Medline publications and uses configurable heuristics in its disambiguation algorithm;
ReachNC;Scopus taxonomy uses MeSH and general keywords;Maps to VIVO ontology;{{yes}};
Research Accelerator;Unknown;Unknown;{{no}};
ResearcherID;Unknown;Unknown;{{no}} (although authors can build their publication list and manually disambiguate);
SciENcv;No thesaurus used;Unknown;{{no}};
Symplectic Elements;MeSH, Fields of Research, ScienceMetrix.;Supports mapping of publication, person and grants data to the VIVO ontology via their open source VIVO Harvester Extension, as well as Harvard Catalyst's Profiles RNS.;{{yes}};
VIVO;VIVO uses several thesauri that are available through Semantic Web, including MeSH;The VIVO Ontology was developed and supported by NIH-funded efforts and continues to be developed and built by its open source community at GitHub and in collaboration with the eagle-i project.;{{yes}};
Yaffle;Unknown;Unknown;Unknown;
