English;Danish;Norwegian;
Albania;Albanien;Albania;
Algeria;Algeriet;Algerie;
Australia;Australien;Australia;
Austria;Østrig;Østerrike;
Belarus;Hviderusland;Hviterussland;
Belgium;Belgien;Belgia;
Bosnia and Herzegovina;Bosnien-Hercegovina;Bosnia-Hercegovina;
Brazil;Brasilien;Brasil;
Bulgaria;Bulgarien;Bulgaria;
Cambodia;Cambodja;Kambodsja;
Cameroon;Cameroun;Kamerun;
Cape Verde;Kap Verde;Kapp Verde;
Central African Republic;Den Centralafrikanske Republik;Den sentralafrikanske republikk;
Chad;Tchad;Tsjad;
Comoros;Comorerne;Komorene;
Congo, Republic of;Republikken Congo;Republikken Kongo;
Croatia;Kroatien;Kroatia;
Cyprus;Cypern;Kypros;
Czech Republic, Czechia;Den Tjekkiske Republik, Tjekkiet;Den tsjekkiske republikk, Tsjekkia;
Democratic Republic of Congo;Den Demokratiske Republik Congo;Den demokratiske republikken Kongo;
East Timor;Østtimor;Øst-Timor;
Egypt;Egypten, Ægypten;Egypt;
Equatorial Guinea;Ækvatorialguinea;Ekvatorial-Guinea;
Ethiopia;Etiopien;Etiopia;
France;Frankrig;Frankrike;
Greece;Grækenland;Hellas;
India;Indien;India;
Indonesia;Indonesien;Indonesia;
Italy;Italien;Italia;
Latvia;Letland;Latvia;
Libya;Libyen;Libya;
Macedonia;Makedonien;Makedonia;
Mauritania;Mauretanien;Mauritania;
Micronesia, Federated States of;Føderale statsforbund Mikronesien;Mikronesiaføderasjonen;
Mongolia;Mongoliet;Mongolia;
Mozambique;Mozambique;Mosambik;
North Korea;Nordkorea;Nord-Korea;
Philippines;Filippinerne;Filippinene;
Romania;Rumænien;Romania;
Saudi Arabia;Saudi Arabien;Saudi-Arabia;
Serbia;Serbien;Serbia;
Slovakia;Slovakiet;Slovakia;
Slovenia;Slovenien;Slovenia;
Solomon Islands;Salomonøerne;Salomonøyene;
South Africa;Sydafrika;Sør-Afrika;
South Korea;Sydkorea;Sør-Korea;
South Sudan;Sydsudan;Sør-Sudan;
Spain;Spanien;Spania;
Switzerland;Schweiz;Sveits;
Syria;Syrien;Syria;
Tunisia;Tunisien;Tunisia;
Ukraine;Ukraine;Ukraina;
United Kingdom of Great Britain and Northern Ireland;Det Forenede Kongerige Storbritannien og Nordirland;Det forente kongerike Storbritannia og Nord-Irland;
