Research Networking Tool;h-index;Citation count;Altmetrics;SNIP and SJR;Journal Impact Factor*;Other;Comment;
Academic Room;;;;;;;;
Activity Insight;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;;
C-IKNOW;;;;;;;;
PROFILES by Mentis® (formerly Collaborative Partnership / Profile System);{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;;
Community Academic Profiles - CAP;;;;;;;;
InCites;{{yes}};{{yes}};{{yes}} Can integrate with altmetric data feed;{{no}};{{yes}};;;
CurvitaTM Profile Manager;;;;;;;;
CUSP - Columbia University Scientific Profiles;;;;;;;;
Digital Vita;;;;;;;;
Elsevier's Pure (integrated with SciVal);{{yes}};{{yes}};{{yes}} Altmetric and PlumX;{{yes}};{{no}};Field-weighted Citation Impact, Number of Authors, CiteScore;;;
Elsevier's SciVal;{{yes}};{{yes}};{{Yes}} Views data from ScienceDirect and Scopus;{{yes}};{{no}};20+ indicators ranging from h, g & m indices, to Publications in Top Journal Percentiles, Field-Weighted Citation Impact, Academic-Corporate Collaboration Impact & Views per Publication;;
Epernicus Solutions & Epernicus Network;;;;;;;;
ERIM Member Profile System (ERIM MIS);;;;;;;;
EUREKA!TM Enhancing Student Research;;;;;;;;
Expertise @ Maryland;;;;;;;;
Faculty Profile System;;;;;;;;
Faculty Research Information Profile (FRIP);;;;;;;;
Faculty Scholarly Productivity Index;;;;;;;;
GENIUS;;;;;;;;
Google Scholar;{{yes}};;;;;;;
HUBzero;;;;;;;;
iamResearcher;;;;;;;;
iAMscientist;;;;;;;;
i2iConnect;;;;;;;;
InCites;{{yes}};{{yes}};{{yes}} Recorded Future partnership provides customized newsfeed and instition activity from web content;{{no}};{{yes}};;;
INDURE;;;;;;;;
LatticeGrid;;;;;;;;
Lattes Database;;;;;;;;
LinkedIn;{{no}};{{no}};None;;;;;
Life Science Network;{{no}};{{no}};{{yes}} (views counts, recommendations, rating scores calculated from anonymous and non-anonymous contributions);{{no}};{{no}} (but journals can be entered into the database and their IF indicated);;;
Loki;;;;;;;;
Lyterati;!;!;!;;McCormick Collaboration Visualization Tool;;;;;;;;
MizzouLinks;;;;;;;;
MyScienceWork;;;;;;;;
OSU:pro;;;;;;;;
Pivot;;;;;;;;
Profiles;;;;;;;;
ReachNC;{{yes}};;;;;;;
Research Accelerator;;;;;;;;
ResearcherID;{{yes}};{{yes}};;;;;;
SciENcv;;;;;;;;
Symplectic Elements;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;;
VIVO;;;{{yes}};;;;;
Yaffle;;;;;;;;
