Research Networking Tool;Profiled User Population;Can Users Update Their Own Profile Data?;Type of Networking (Active or Passive);Includes Functionality to Match Expertise with Funding Opportunities;
Academic Room;Anyone can create a profile. Profiled categories include "Faculty", "Grad Students", "Undergrads", "Professionals";{{yes}};Active;{{no}};
Activity Insight;Faculty, Staff, Graduate Students;{{yes}};Active and Passive;{{yes}};
C-IKNOW;Defined using Web of science ID or on an ad hoc basis;{{no}};Active and Passive;{{no}};
PROFILES by Mentis® (formerly Collaborative Partnership / Profile System);Faculty, Students, Staff, Equipment Owners, Research Centers, Facilities, Technologies, Units etc. as per institution's needs;{{yes}};Active and Passive;{{yes}};
Community Academic Profiles - CAP;Active Stanford physicians, School of Medicine faculty, students, staff and postdocs.;{{Yes}};Active and Passive;Unknown;
CurvitaTM Profile Manager;All;Unknown;No networking;Unknown;
CUSP - Columbia University Scientific Profiles;All Columbia faculty;{{yes}};Active;Unknown;
Digital Vita;All;{{yes}};Passive;Unknown;
Elsevier's Pure;Any researchers can be included;{{yes}} the Administration module enables users to enter content into their profiles via forms, uploads or imports. Content types supported include (but not limited to): Persons, awarded grants, journals, org units, projects, events, equipment, activities, press clippings, funding opportunities, research outputs (from journal articles to memorandums of understanding), impacts, applications, datasets, student theses, courses taught and prizes;Passive;{{yes}} the Funding Discovery module within Pure automatically recommends funding opportunities from SciVal Funding and suggested collaborators to profiled researchers with no manual effort.;
Elsevier's SciVal;All published researchers;Yes, SciVal links to profiles in Scopus and researchers can submit feedback on profiles within Scopus to have papers added or removed.;Passive;{{no}};
Epernicus Solutions & Epernicus Network;Anyone who enters a profile (for Epernicus Network);{{yes}} (for Epernicus Network);Passive;Unknown;
Epistemio;Any researcher who creates a profile;{{yes}};N/A;{{no}};
ERIM Member Profile System (ERIM MIS);Multiple faculties at Erasmus use it;Unknown;Active;Unknown;
EUREKA!TM Enhancing Student Research;University of Texas at Austin faculty;Unknown;No networking;Unknown;
Expertise @ Maryland;All;Unknown;Currently passive, but building active;Unknown;
Faculty Profile System;Any faculty at UC Irvine;{{yes}};No networking;Unknown;
Faculty Research Information Profile (FRIP);N/A;N/A;N/A;N/A;
Faculty Scholarly Productivity Index;Federally funded, published faculty;Unknown;No networking;Unknown;
GENIUS;Any faculty member who creates a profile on the system;{{yes}};Passive;Unknown;
Google;Anyone can be searched on Google;N/A;No networking;{{no}};
HUBzero;Indiana University, Indiana University School of Medicine, Purdue University, U. of Notre Dame, Regenstrief;Unknown;Active;Unknown;
iamResearcher;Any researcher who creates a profile;{{yes}};Passive (?);Unknown;
iAMscientist;Any researcher who creates a profile;{{yes}};Passive;Unknown;
i2iConnect;Industry licensing representatives;Unknown;Passive;Unknown;
InCites;All published;{{yes}};Passive;{{no}};
INDURE;All faculty at 4 Indiana institutions;Unknown;Passive;Unknown;
LatticeGrid;Currently Medical School faculty only. Developed for biomedical research organizations;{{yes}} (Users can update the Medical School faculty database, which then feeds LatticeGrid;Passive);{{yes}} (Connected to a Northwestern tool called FacultyConnect to match faculty with a special limited set of Northwestern-specific non-federal funding opportunities in the life and biomedical sciences domains);
Lattes Database;Curriculum and institutions database of Science and Technology areas in Brazil. Anyone can create a profile.;{{yes}};No apparent networking;Unknown;
LinkedIn;Anyone who creates a LinkedIn profile;{{yes}};Passive and Active;Unknown;
Life Science Network;Anyone who creates a profile;{{yes}};Active and Passive;{{no}};
Loki;All faculty at University of Iowa;{{yes}};Passive;Unknown;
Loop;Anyone who creates a profile;{{yes}};Passive and Active;Unknown;
Lyterati;Faculty, academic administrators (department chairs, deans, provost), center directors, grad students, staff;{{Yes}};Active and Passive;{{yes}} (through advanced searching and web profile exploration);
McCormick Collaboration Visualization Tool;All Northwestern publications from Web of Science;{{no}};Passive;{{no}};
MizzouLinks;Currently a pilot group from two Missouri interdisciplinary centers;Unknown;Passive;Unknown;
MyScienceWork;Anyone who creates a profile;{{yes}};Active and Passive;Unknown;
OSU:pro;All OSU faculty;Unknown;No apparent networking;Unknown;
Pivot;3 million profiles (and growing, according to the publisher). Profiles are compiled even without user registration, but can only be viewed by registered users;{{yes}};Passive;{{yes}} through a direct connection with the COS product;
Profiles;All users as defined by each institution. "Profiles" are also created for institutions, departments, concepts, publications, networks, events or any other class defined in the ontology;{{yes}};Passive and Active;{{no}};
ReachNC;UNC faculty in various disciplines, Duke, and RTI Fellows;{{yes}};Passive;{{no}};
Research Accelerator;Any member of the Yale research enterprise;{{yes}} (?);Passive;Unknown;
ResearcherID;Anyone who creates a profile;{{yes}};Passive and Active;Unknown;
SciENcv;Not yet established;Not yet established;No apparent networking;{{no}};
Symplectic Elements;All users may be included (as defined by institution).;{{yes}} (Profiles are automatically populated with data, as dictated by internal and external data feeds. Some profile data can be manually curated by end users, proxy users, or administrators. Users can create new relationships between elements.);Passive and Active;{{yes}} - Through integrations with research news and funding information provider Research, researchers are able to get tailored funding opportunities linked to their Elements accounts.;
VIVO;All users (as defined by the institution);{{yes}};Passive and Active;Possibly;
Yaffle;All Memorial University faculty;{{yes}};Passive;Unknown;
