;Windows;OS X;Linux;BSD;Unix;
Ddoc;{{Yes}};{{Yes}}{{efn|name=fn1}};{{Yes}};{{Yes}}{{efn|name=fn1}};{{No}};
Document! X;{{Yes}};{{No}};{{No}};{{No}};{{No}};
Doxygen;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Epydoc;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Haddock;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
HeaderDoc;{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Imagix 4D;{{Yes}};{{No}};{{Yes}};{{No}};{{Yes}};
Javadoc;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
JSDoc;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
JsDoc Toolkit;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
mkd;{{Yes}};{{No}}?;{{Yes}};{{Yes}};{{Yes}};
Natural Docs;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
NDoc;{{Yes}};{{No}};{{No}};{{No}};{{No}};
Pandoc;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
perldoc;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
phpDocumentor;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
pydoc;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
RDoc;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
ROBODoc;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Sandcastle;{{Yes}};{{No}};{{No}};{{No}};{{No}};
Sphinx;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Visual Expert;{{Yes}};{{No}};{{No}};{{No}};{{No}};
VSdocman;{{Yes}};{{No}};{{No}};{{No}};{{No}};
! Windows;OS X;Linux;BSD;Unix;
