Calculator;TI-BASIC;Native code;Lua;
TI-73, TI-73 Explorer;{{yes}};{{yes}};{{no}};
TI-80;{{yes}};{{no}};{{no}};
TI-81;{{yes}};Only using exploits;{{no}};
TI-82;{{yes}};Only using exploits;{{no}};
TI-83;{{yes}};{{yes}};{{no}};
TI-83 Plus;{{yes}};{{yes}};{{no}};
TI-83 Plus Silver Edition;{{yes}};{{yes}};{{no}};
TI-84 Plus;{{yes}};{{yes}};{{no}};
TI-84 Plus Silver Edition;{{yes}};{{yes}};{{no}};
TI-84 Plus C Silver Edition;{{yes}};{{yes}};{{no}};
TI-84 Plus CE;{{yes}};{{yes}};{{no}};
TI-85;{{yes}};Only using exploits;{{no}};
TI-86;{{yes}};{{yes}};{{no}};
TI-89;{{yes}};{{yes}};{{no}};
TI-89 Titanium;{{yes}};{{yes}};{{no}};
TI-92, TI-92 II;{{yes}};Only using exploits;{{no}};
TI-92 Plus;{{yes}};{{yes}};{{no}};
Voyage 200;{{yes}};{{yes}};{{no}};
TI-Nspire, TI-Nspire CAS;{{yes}};Only using exploits;{{yes}};
TI-Nspire CX, TI-Nspire CX CAS;{{yes}};Only using exploits;{{yes}};
