Meaning;Portuguese < French;Spanish;
lampshade, lamp;abajur, abat-jour < abat-jour;lámpara < Gr. {{sm|??????}};
dam;barragem < barrage;dársena < Arabic {{sm| ??? ??????? (d?r a?-?in??a)}};
boutique;boutique, butique < boutique;tienda < Lat {{sm|tendere}};
roadside, berm;berma < berme;arcén< Lat {{sm|arger}};
skid;derrapagem < dérapage;resbalo < Lat. {{sm|re + exvarare}};
clutch (car);embraiagem, embreagem < embrayage < Gaulish/Celtic 'braca';embrague < Lat. 'braca' < Gaulish/Celtic 'braca';
electric drill;berbequim < vilebrequin;taladradora eléctrica < Lat. + Greek {{sm|taratrum + ???????? + ikos}};
lipstick;batom, baton < bâton;pintalabios < Lat. {{sm|pingere+labium}};
crib;berço < berceau;cuna < Lat. {{sm|cunam}};
appearance-money (artists, performers);caché, cachet < cachet;emolumento< Lat. {{sm|mol?re}};
shop window;montra < montre;escaparate < Dutch {{sm|schraprade}};
grey-haired;grisalho < grison;canoso < Lat. {{sm|canosus}};
flower basket;corbelha < corbeille;cesta < Lat. {{sm|cista}};
beetroot, beet;beterraba < betterave;remolacha < Ita. ramolaccio, < Lat. armorac?um, < Gr. {{sm|?????????}};
swing;balancé < balancé;columpio < Gr. {{sm|????????}};
brioche;brioche < brioche;bollo de leche < Lat. {{sm|bulla + lacte}};
candy, sweet;bombom, bombons < bonbon(s);dulce < Lat. {{sm|dulcis}};
club, (police) baton;cassetete, casse-tête < casse-tête;porra (de policía) < Lat. {{sm|porrum}};
cap;boné < bonnet;gorra < (unknown);
coat;casaco < casaque < Ukrainian ?????;abrigo < Lat. {{sm|apricus < aperire}};
reciter (poetry);diseur < diseur;recitador < Lat. {{sm|recit?tor}};
basket, shopping-basket;cabaz < cabas < Old Provençal/Occitan cabas;cesta < Lat. cista;
delicatessen;charcuteria/charcutaria < charcuterie;embutidos < Lat. {{sm|in + buttis}};
gaffe;gafe < gaffe;metedura de pata < Lat. + Ar. {{sm| mitt?re + ?? ba??}};
gauze;gaze < gaze;gasa < Pers. {{sm| kaz}};
gouache;guache < gouache;aguada < Lat. {{sm| aqua}};
crane, hoist;guindaste < guindeau < guindas;grúa < Lat. {{sm| gruae}};
helmet;capacete < cabasset < Old Provençal/Occitan cabas;casco < Lat. quassare;
to tidy up (verb);arrumar < arrimer < arrumer;arreglar < Lat. regulare;
to roll (verb);rolar < rouler;rodar < Lat. rot?re;
buffet;bufete, bufê, buffet < buffet;mostrador de comidas, buffet < Lat. monstr?tor + prefix 'com'+edere;
earbuds, cotton buds;cotonetes < cotonnettes;bastoncillos (de algodón) < Lat. bastum + suffix illo;
scarf (ladies);echarpe, écharpe < écharpe;bufanda < Probably Old Fr. {{sm|bouffante}};
éclair (pastry);éclair, ecler < éclair;pastelillo de crema < Lat. {{sm|pastellus + suffix illo}};
badge;crachá < crachat;distintivo < Lat. {{sm|distinctus + suffix 'ivo'}};
quay, wharf;cais < quai;muelle < Lat. {{sm|mollis}};
hat;chapéu < chapeau;sombrero < sombra 'shade';
pushpin, thumbtack;pionés, pionese < punaise;chincheta < Lat. {{sm|cimex + suffix eta}};
advert board, placard;placar, placard < placard;cartel < Lat. {{sm|charta}};
gypsy, roma/romani, traveller;cigano < Old French cigain < Rus ????? (tsigan);gitano < Lat. {{sm|aegyptano}};
dodgy, crappy;reles, ralé < relais;chungo(a) < Caló < Romani {{sm|tung}};
cliff;falésia < falaise;acantilado < Lat. {{sm|cantus + Sp. suffix 'ado'}};
creche;creche < crèche;guardería (infantil) < Germanic {{sm|wardon}};
croquette, quenelle;croquete < croquette;albóndiga < Hisp. Ar. albúnduqa < Arabic ????? (bunduqah) (Sp. also has croqueta);
crunchy, crisp;crocante < croquant;crujiente < probably Lat. {{sm|crusc?re}};
