;Windows;macOS;Linux;BSD;UNIX;AmigaOS;z/OS;iOS;Android;OpenVMS;
4th Dimension;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
ADABAS;{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};
Adaptive Server Enterprise;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};
Advantage Database Server;{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Altibase;{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
Apache Derby;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{dunno}};{{no}};{{no}};
ClustrixDB;{{no}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
CUBRID;{{yes}};{{partial}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
DB2;{{yes}};{{yes}} (Express C);{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};
Empress Embedded Database;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};
EXASolution;{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
FileMaker;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{Yes}};{{No}};{{no}};
Firebird;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{partial|Maybe}};{{no}};{{yes}}[33];{{no}};
HSQLDB;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{dunno}};{{dunno}};{{no}};
H2;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{dunno}};{{yes}};{{no}};
Informix Dynamic Server;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
