Name;Creator;Initial public release;Predecessor;Current stable version;Release date;Cost, availability;Preferred license[1];Target system type;
AIX;IBM;1986;UNIX System V Release 3;7.2;2015, October 5;{{Nonfree|Bundled with hardware}};{{Proprietary}};Server, NAS, workstation;
Android;Android, Inc., Google;2008;Linux;9.0 Pie;2018, August 6;{{Free}};{{Free|Apache 2.0, GNU GPLv2}};Smartphone, tablet computer, education;
AmigaOS classic;Commodore International, Haage & Partner, Hyperion Entertainment;1985;TRIPOS (as the disk operating component of AmigaOS);3.9 BB2;2002, March 20;{{Nonfree|Discontinued; Bundled with hardware up to version 3.0 (Amiga International hardware came with 3.1); versions 2.1, 3.0, 3.1, 3.5, 3.9 also available as separate packages}};{{Proprietary}}, open source clone available under AROS Public License;Workstation, personal computer;
AmigaOS 4;Hyperion Entertainment;2004;AmigaOS classic;4.1 Final Edition;2014;{{Nonfree|4.0 bundled with hardware; 4.0 for classic and 4.1 available as standalone package at €29}};{{Proprietary}};Workstation, personal computer;
Chrome OS;Google;2009;Gentoo[2];70.0.3538.76;2018, October 26;{{Nonfree|Bundled with hardware}};{{Proprietary}}: Google OS Terms of Service;Chromebook;
DragonFly BSD;Matthew Dillon;2003;FreeBSD;5.2.2;2018, June 18;{{Free}};{{Free|BSD}};Server, workstation, NAS, embedded;
FreeBSD;The FreeBSD Project;1993;386BSD;12.0;2018, December 11;{{Free}};{{Free|BSD}};Server, workstation, NAS, embedded;
Genode;Genode Labs;2008;None;18.05[3];2018, May;{{Free| Free, source code only}};{{Free|AGPL}};Desktop, Embedded, Server;
GhostBSD;Eric Turgeon;2009;FreeBSD;10.1;2015, September 13;{{Free}};{{Free|BSD}};Desktop, workstation;
eComStation;Serenity Systems, Mensys BV;2001;OS/2;2.1;2011;{{Nonfree|Home-student edition (max. three per site) {{US$|145.00|2011}} business edition $290.00}};{{Proprietary}};Server, workstation, personal computer;
EPOC32;Psion PLC;1996;;ER5;1999;{{Nonfree|Discontinued; Commercial}};{{Proprietary}};PDA;
GNU/Linux;Notable contributors include: Richard Stallman for GNU Project and Linus Torvalds for Linux and the Unixes they emulated; Red Hat, Debian Project See: Comparison of Linux distributions and Linux Kernel;1991 (kernel), See: Comparison of Linux distributions and History of Linux;None;4.19 (kernel);2018, October 22 (kernel);{{Free}};{{Free|GNU GPLv2}} (kernel);See: Comparison of Linux distributions;
Haiku;Haiku Inc.;2009;BeOS R5;R1/Beta;2018, September 29;{{Free}};{{Free|MIT}};Personal computer;
HP-UX;Hewlett-Packard;1983;UNIX System V;11i v3 Update 16;2017, May;{{Nonfree|US$400}};{{Proprietary}};Server;
IBM i;IBM;1988;OS/400;7.3;2016, April 15;{{Nonfree|Bundled with hardware}};{{Proprietary}};Server;
Inferno;Bell Labs;1997;Plan 9;Fourth Edition;2009, June 30;{{Free}};{{Free|MIT, GNU GPL, GNU LGPL, LPL}};NAS, server, embedded;
iOS;Apple Inc.;2007;macOS;12.1;2018, October 30;{{Nonfree|Bundled with hardware and free updates given to most existing users, subject to hardware requirements}};{{Proprietary}} higher level API layers; open source core system (ARM versions): APSL, GNU GPL, others;Smartphone, music player, tablet computer;
IRIX;SGI;1988;UNIX System V;6.5.30;2006;{{Nonfree|Discontinued; Bundled with hardware}};{{Proprietary}};Server, workstation;
Classic Mac OS;Apple Inc.;1984;None[4][5];9.2.2;2000;{{Nonfree|Discontinued; Was bundled with 68k and PowerPC Macs; versions 7-9 sold as retail upgrades[6]}};{{Proprietary}};Workstation, personal computer;
MVS;IBM;1972;OS/360;MVS/ESA SP - JES3 Version 5 R2.2;1995, September 29;{{Nonfree|Bundled with hardware}};{{Proprietary}};IBM mainframe;
macOS;Apple Inc.;2001;NeXTSTEP, BSD;10.14.1 Mojave;2018, October 30;{{Nonfree|Bundled with hardware; No-cost update via Mac App Store for users of Mac OS X 10.6 or later, assuming hardware requirements are met}};{{Proprietary}} higher level API layers; open source core system (Intel-PowerPC versions): APSL, GNU GPL, others;Workstation, personal computer, embedded;
macOS Server;Apple Inc.;2001;NeXTSTEP, BSD;10.12 / September 20, 2016;2016, September 20;{{Nonfree|Previously bundled with hardware; No longer a separate operating system, but a group of services installed atop any current version of Mac OS X; US$19.99 on the Mac App Store}};{{Proprietary}} higher level API layers; open source core system (Intel-PowerPC versions): APSL, GNU GPL, others;Server;
MPE;HP;1974;None;MPE-V;1988;{{Nonfree|Discontinued; Was bundled with HP-3000 CISC hardware "Classic"}};{{Proprietary}};Server;
MCP;Unisys;1961;None;CP OS 17.0;2015, April;{{Nonfree|Bundled with hardware}};{{Proprietary}};Server;
MPE/XL;HP;1987;MPE;7.5;2002;{{Nonfree|Discontinued; Was bundled with HP-3000 PA-RISC hardware}};{{Proprietary}};Server;
MINIX 3;Andrew S. Tanenbaum;2005;Minix2;3.3.0;2014;{{Free}};{{Free|BSD}};Workstation;
